"HHID","A10itemcod","Farm_Implement","A10Q1_other","a10q1","a10q2","a10q3","a10q4","a10q5","a10q6","a10q7","a10q8","hh","wgt_X"
1020401,11,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,12,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,13,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,14,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,15,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,16,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,17,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,18,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,19,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,20,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,21,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,22,2,,,,,,,,,,"H00102-04-01",2792.466796875
1040401,1,1,,2,7000,1,1,,2,,,"H00104-04-01",2792.466796875
1040401,2,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,3,1,,1,4000,1,1,,1,1,0,"H00104-04-01",2792.466796875
1040401,4,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,5,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,6,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,7,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,8,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,9,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,10,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,11,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,12,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,13,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,14,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,15,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,16,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,17,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,18,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,19,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,20,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,21,2,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,22,2,,,,,,,,,,"H00104-04-01",2792.466796875
1100401,1,1,,2,16000,2,1,,2,,,"H00110-04-01",2792.466796875
1100401,2,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,3,1,,3,6000,3,1,,2,,,"H00110-04-01",2792.466796875
1100401,4,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,5,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,6,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,7,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,8,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,9,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,10,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,11,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,12,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,13,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,14,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,15,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,16,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,17,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,18,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,19,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,20,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,21,2,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,22,2,,,,,,,,,,"H00110-04-01",2792.466796875
8010401,1,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,2,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,3,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,4,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,5,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,6,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,7,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,8,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,9,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,10,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,11,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,12,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,13,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,14,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,15,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,16,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,17,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,18,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,19,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,20,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,21,2,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,22,2,,,,,,,,,,"H00801-04-01",1874.79821777344
16070401,1,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,2,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,3,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,4,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,5,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,6,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,7,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,8,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,9,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,10,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,11,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,12,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,13,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,14,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,15,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,16,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,17,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,18,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,19,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,20,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,21,2,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,22,2,,,,,,,,,,"H01607-04-01",1874.79821777344
21100401,1,1,,2,10000,2,1,,2,,,"H02110-04-01",1874.79821777344
21100401,2,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,3,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,4,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,5,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,6,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,7,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,8,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,9,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,10,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,11,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,12,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,13,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,14,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,15,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,16,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,17,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,18,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,19,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,20,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,21,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,22,2,,,,,,,,,,"H02110-04-01",1874.79821777344
21130401,1,1,,1,6000,0,1,,2,,,"H02113-04-01",1874.79821777344
21130401,2,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,3,1,,1,5000,1,1,,2,,,"H02113-04-01",1874.79821777344
21130401,4,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,5,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,6,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,7,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,8,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,9,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,10,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,11,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,12,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,13,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,14,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,15,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,16,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,17,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,18,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,19,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,20,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,21,2,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,22,2,,,,,,,,,,"H02113-04-01",1874.79821777344
22070401,1,1,,2,12500,2,1,,2,,,"H02207-04-01",1874.79821777344
22070401,2,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,3,1,,1,4000,1,1,,2,,,"H02207-04-01",1874.79821777344
22070401,4,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,5,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,6,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,7,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,8,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,9,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,10,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,11,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,12,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,13,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,14,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,15,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,16,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,17,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,18,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,19,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,20,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,21,2,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,22,2,,,,,,,,,,"H02207-04-01",1874.79821777344
23100401,1,1,,2,19000,2,1,,2,,,"H02310-04-01",1874.79821777344
23100401,2,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,3,1,,0,,0,1,,1,1,5000,"H02310-04-01",1874.79821777344
23100401,4,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,5,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,6,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,7,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,8,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,9,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,10,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,11,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,12,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,13,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,14,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,15,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,16,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,17,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,18,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,19,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,20,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,21,2,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,22,2,,,,,,,,,,"H02310-04-01",1874.79821777344
27110401,1,1,,1,4000,1,1,,2,,,"H02711-04-01",624.932739257813
27110401,2,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,3,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,4,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,5,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,6,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,7,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,8,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,9,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,10,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,11,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,12,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,13,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,14,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,15,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,16,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,17,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,18,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,19,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,20,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,21,2,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,22,2,,,,,,,,,,"H02711-04-01",624.932739257813
30050401,1,1,,1,5000,1,1,,2,,,"H03005-04-01",1874.79821777344
30050401,2,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,3,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,4,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,5,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,6,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,7,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,8,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,9,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,10,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,11,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,12,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,13,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,14,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,15,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,16,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,17,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,18,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,19,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,20,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,21,2,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,22,2,,,,,,,,,,"H03005-04-01",1874.79821777344
34080401,1,1,,2,17000,2,1,,2,,,"H03408-04-01",1874.79821777344
34080401,2,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,3,1,,1,6000,1,1,,2,,,"H03408-04-01",1874.79821777344
34080401,4,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,5,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,6,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,7,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,8,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,9,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,10,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,11,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,12,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,13,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,14,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,15,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,16,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,17,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,18,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,19,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,20,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,21,2,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,22,2,,,,,,,,,,"H03408-04-01",1874.79821777344
36010401,1,1,,2,13000,2,1,,1,1,0,"H03601-04-01",2551.70141601563
36010401,2,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,3,1,,1,2000,2,1,,2,,,"H03601-04-01",2551.70141601563
36010401,4,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,5,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,6,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,7,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,8,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,9,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,10,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,11,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,12,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,13,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,14,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,15,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,16,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,17,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,18,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,19,1,,0,,0,1,,1,1,0,"H03601-04-01",2551.70141601563
36010401,20,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,21,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,22,2,,,,,,,,,,"H03601-04-01",2551.70141601563
36020404,1,1,,4,20000,4,1,,2,,,"H03602-04-04",2551.70141601563
36020404,2,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,3,1,,1,3000,1,1,,1,1,0,"H03602-04-04",2551.70141601563
36020404,4,1,,1,3000,1,1,,2,,,"H03602-04-04",2551.70141601563
36020404,5,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,6,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,7,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,8,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,9,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,10,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,11,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,12,1,,1,4000,1,1,,2,,,"H03602-04-04",2551.70141601563
36020404,13,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,14,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,15,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,16,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,17,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,18,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,19,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,20,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,21,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,22,2,,,,,,,,,,"H03602-04-04",2551.70141601563
36030405,1,1,,5,20000,4,1,,2,,,"H03603-04-05",2551.70141601563
36030405,2,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,3,1,,1,2000,1,1,,2,,,"H03603-04-05",2551.70141601563
36030405,4,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,5,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,6,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,7,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,8,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,9,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,10,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,11,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,12,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,13,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,14,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,15,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,16,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,17,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,18,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,19,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,20,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,21,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,22,2,,,,,,,,,,"H03603-04-05",2551.70141601563
36040404,1,1,,3,17000,3,1,,2,,,"H03604-04-04",850.567138671875
36040404,2,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,3,1,,1,3000,1,1,,2,,,"H03604-04-04",850.567138671875
36040404,4,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,5,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,6,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,7,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,8,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,9,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,10,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,11,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,12,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,13,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,14,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,15,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,16,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,17,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,18,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,19,1,,0,,0,1,,1,1,0,"H03604-04-04",850.567138671875
36040404,20,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,21,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,22,2,,,,,,,,,,"H03604-04-04",850.567138671875
36040408,1,1,,3,18000,2,1,,1,1,0,"H03604-04-08",850.567138671875
36040408,2,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,3,1,,1,2000,1,1,,2,,,"H03604-04-08",850.567138671875
36040408,4,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,5,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,6,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,7,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,8,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,9,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,10,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,11,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,12,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,13,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,14,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,15,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,16,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,17,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,18,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,19,1,,1,50000,1,1,,1,1,0,"H03604-04-08",850.567138671875
36040408,20,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,21,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040408,22,2,,,,,,,,,,"H03604-04-08",850.567138671875
36040409,1,1,,6,45000,3,1,,2,,,"H03604-04-09",850.567138671875
36040409,2,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,3,1,,2,2000,2,1,,2,,,"H03604-04-09",850.567138671875
36040409,4,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,5,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,6,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,7,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,8,2,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,9,2,,,,,,,,,,"H03604-04-09",850.567138671875
