"PID","HHID","h6q23_1","h6q23","wgt_X"
"P01210-010","H01210-04-01",6,2,1874.79809570313
"P01210-010","H01210-04-01",14,2,1874.79809570313
"P01210-010","H01210-04-01",11,2,1874.79809570313
"P01210-010","H01210-04-01",13,2,1874.79809570313
"P01210-010","H01210-04-01",2,1,1874.79809570313
"P01612-008","H01612-04-01",6,2,1874.79821777344
"P01612-008","H01612-04-01",11,2,1874.79821777344
"P01612-008","H01612-04-01",2,2,1874.79821777344
"P01612-008","H01612-04-01",14,2,1874.79821777344
"P01612-008","H01612-04-01",13,2,1874.79821777344
"P01612-008","H01612-04-01",19,2,1874.79821777344
"P01612-008","H01612-04-01",17,2,1874.79821777344
"P01612-008","H01612-04-01",12,2,1874.79821777344
"P01612-008","H01612-04-01",7,2,1874.79821777344
"P01612-008","H01612-04-01",15,2,1874.79821777344
"P01612-008","H01612-04-01",18,2,1874.79821777344
"P01612-008","H01612-04-01",8,2,1874.79821777344
"P01612-008","H01612-04-01",1,1,1874.79821777344
"P01612-008","H01612-04-01",99,2,1874.79821777344
"P01612-008","H01612-04-01",16,2,1874.79821777344
"P02608-010","H02608-04-01",14,2,937.399108886719
"P02608-010","H02608-04-01",2,2,937.399108886719
"P02608-010","H02608-04-01",17,2,937.399108886719
"P02608-010","H02608-04-01",1,2,937.399108886719
"P02608-010","H02608-04-01",19,2,937.399108886719
"P02608-010","H02608-04-01",8,2,937.399108886719
"P02608-010","H02608-04-01",15,2,937.399108886719
"P02608-010","H02608-04-01",7,2,937.399108886719
"P02608-010","H02608-04-01",18,2,937.399108886719
"P02608-010","H02608-04-01",6,2,937.399108886719
"P02608-010","H02608-04-01",12,2,937.399108886719
"P02608-010","H02608-04-01",11,2,937.399108886719
"P02608-010","H02608-04-01",99,2,937.399108886719
"P02608-010","H02608-04-01",16,1,937.399108886719
"P02608-010","H02608-04-01",13,2,937.399108886719
"P02711-011","H02711-04-03",19,2,624.932739257813
"P02711-011","H02711-04-03",1,2,624.932739257813
"P02711-011","H02711-04-03",13,2,624.932739257813
"P02711-011","H02711-04-03",16,2,624.932739257813
"P02711-011","H02711-04-03",15,1,624.932739257813
"P02711-011","H02711-04-03",6,2,624.932739257813
"P02711-011","H02711-04-03",8,2,624.932739257813
"P02711-011","H02711-04-03",2,2,624.932739257813
"P02711-011","H02711-04-03",11,2,624.932739257813
"P02711-011","H02711-04-03",14,2,624.932739257813
"P02711-011","H02711-04-03",99,2,624.932739257813
"P02711-011","H02711-04-03",7,2,624.932739257813
"P02711-011","H02711-04-03",17,2,624.932739257813
"P02711-011","H02711-04-03",12,2,624.932739257813
"P02711-011","H02711-04-03",18,2,624.932739257813
"P03604-049","H03604-04-04",12,2,850.567138671875
"P03604-049","H03604-04-04",14,2,850.567138671875
"P03604-049","H03604-04-04",19,2,850.567138671875
"P03604-049","H03604-04-04",2,2,850.567138671875
"P03604-049","H03604-04-04",11,2,850.567138671875
"P03604-049","H03604-04-04",99,2,850.567138671875
"P03604-049","H03604-04-04",1,2,850.567138671875
"P03604-049","H03604-04-04",13,2,850.567138671875
"P03604-049","H03604-04-04",15,2,850.567138671875
"P03604-049","H03604-04-04",8,2,850.567138671875
"P03604-049","H03604-04-04",6,2,850.567138671875
"P03604-049","H03604-04-04",18,2,850.567138671875
"P03604-049","H03604-04-04",16,1,850.567138671875
"P03604-049","H03604-04-04",7,2,850.567138671875
"P03604-049","H03604-04-04",17,2,850.567138671875
"P03711-028","H03711-04-02",14,2,637.925354003906
"P03711-028","H03711-04-02",16,2,637.925354003906
"P03711-028","H03711-04-02",6,2,637.925354003906
"P03711-028","H03711-04-02",19,2,637.925354003906
"P03711-028","H03711-04-02",12,2,637.925354003906
"P03711-028","H03711-04-02",17,2,637.925354003906
"P03711-028","H03711-04-02",13,2,637.925354003906
"P03711-028","H03711-04-02",1,2,637.925354003906
"P03711-028","H03711-04-02",2,2,637.925354003906
"P03711-028","H03711-04-02",8,2,637.925354003906
"P03711-028","H03711-04-02",11,2,637.925354003906
"P03711-028","H03711-04-02",7,2,637.925354003906
"P03711-028","H03711-04-02",18,2,637.925354003906
"P03711-028","H03711-04-02",99,2,637.925354003906
"P03711-028","H03711-04-02",15,2,637.925354003906
"P03711-027","H03711-04-04",16,2,637.925354003906
"P03711-027","H03711-04-04",18,2,637.925354003906
"P03711-027","H03711-04-04",8,2,637.925354003906
"P03711-027","H03711-04-04",14,2,637.925354003906
"P03711-027","H03711-04-04",15,2,637.925354003906
"P03711-027","H03711-04-04",2,2,637.925354003906
"P03711-027","H03711-04-04",7,2,637.925354003906
"P03711-027","H03711-04-04",6,2,637.925354003906
"P03711-027","H03711-04-04",1,1,637.925354003906
"P03711-027","H03711-04-04",13,2,637.925354003906
"P03711-027","H03711-04-04",12,2,637.925354003906
"P03711-027","H03711-04-04",99,2,637.925354003906
"P03711-027","H03711-04-04",11,2,637.925354003906
"P03711-027","H03711-04-04",19,2,637.925354003906
"P03711-027","H03711-04-04",17,2,637.925354003906
"P03807-007","H03807-04-01",11,2,2551.70141601563
"P03807-007","H03807-04-01",2,1,2551.70141601563
"P03807-007","H03807-04-01",1,2,2551.70141601563
"P03807-007","H03807-04-01",7,2,2551.70141601563
"P03807-007","H03807-04-01",12,2,2551.70141601563
"P03807-007","H03807-04-01",14,2,2551.70141601563
"P03807-007","H03807-04-01",13,2,2551.70141601563
"P03807-007","H03807-04-01",19,2,2551.70141601563
"P03807-007","H03807-04-01",16,2,2551.70141601563
"P03807-007","H03807-04-01",6,2,2551.70141601563
"P03807-007","H03807-04-01",17,2,2551.70141601563
"P03807-007","H03807-04-01",18,2,2551.70141601563
"P03807-007","H03807-04-01",15,2,2551.70141601563
"P03807-007","H03807-04-01",99,2,2551.70141601563
"P03807-007","H03807-04-01",8,2,2551.70141601563
"P03810-012","H03810-04-01",2,2,2551.70141601563
"P03810-012","H03810-04-01",11,2,2551.70141601563
"P03810-012","H03810-04-01",99,2,2551.70141601563
"P03810-012","H03810-04-01",14,2,2551.70141601563
"P03810-012","H03810-04-01",12,2,2551.70141601563
"P03810-012","H03810-04-01",1,2,2551.70141601563
"P03810-012","H03810-04-01",8,1,2551.70141601563
"P03810-012","H03810-04-01",6,2,2551.70141601563
"P03810-012","H03810-04-01",16,2,2551.70141601563
"P03810-012","H03810-04-01",18,2,2551.70141601563
"P03810-012","H03810-04-01",15,2,2551.70141601563
"P03810-012","H03810-04-01",19,2,2551.70141601563
"P03810-012","H03810-04-01",17,2,2551.70141601563
"P03810-012","H03810-04-01",13,2,2551.70141601563
"P03810-012","H03810-04-01",7,2,2551.70141601563
"P03811-006","H03811-04-01",6,2,2551.70141601563
"P03811-006","H03811-04-01",2,2,2551.70141601563
"P03811-006","H03811-04-01",12,2,2551.70141601563
"P03811-006","H03811-04-01",8,2,2551.70141601563
"P03811-006","H03811-04-01",13,2,2551.70141601563
"P03811-006","H03811-04-01",11,2,2551.70141601563
"P03811-006","H03811-04-01",19,2,2551.70141601563
"P03811-006","H03811-04-01",15,2,2551.70141601563
"P03811-006","H03811-04-01",18,2,2551.70141601563
"P03811-006","H03811-04-01",14,2,2551.70141601563
"P03811-006","H03811-04-01",16,1,2551.70141601563
"P03811-006","H03811-04-01",17,2,2551.70141601563
"P03811-006","H03811-04-01",99,2,2551.70141601563
"P03811-006","H03811-04-01",7,2,2551.70141601563
"P03811-006","H03811-04-01",1,1,2551.70141601563
"P04005-017","H04005-04-01",11,2,2551.70141601563
"P04005-017","H04005-04-01",12,2,2551.70141601563
"P04005-017","H04005-04-01",18,2,2551.70141601563
"P04005-017","H04005-04-01",14,2,2551.70141601563
"P04005-017","H04005-04-01",6,2,2551.70141601563
"P04005-017","H04005-04-01",1,2,2551.70141601563
"P04005-017","H04005-04-01",99,2,2551.70141601563
"P04005-017","H04005-04-01",19,2,2551.70141601563
"P04005-017","H04005-04-01",2,2,2551.70141601563
"P04005-017","H04005-04-01",7,2,2551.70141601563
"P04005-017","H04005-04-01",8,2,2551.70141601563
"P04005-017","H04005-04-01",16,1,2551.70141601563
"P04005-017","H04005-04-01",13,2,2551.70141601563
"P04005-017","H04005-04-01",17,2,2551.70141601563
"P04005-017","H04005-04-01",15,2,2551.70141601563
"P04508-013","H04508-04-02",99,2,698.11669921875
"P04508-013","H04508-04-02",13,2,698.11669921875
"P04508-013","H04508-04-02",2,2,698.11669921875
"P04508-013","H04508-04-02",15,2,698.11669921875
"P04508-013","H04508-04-02",17,2,698.11669921875
"P04508-013","H04508-04-02",1,2,698.11669921875
"P04508-013","H04508-04-02",14,2,698.11669921875
"P04508-013","H04508-04-02",18,2,698.11669921875
"P04508-013","H04508-04-02",11,2,698.11669921875
"P04508-013","H04508-04-02",19,2,698.11669921875
"P04508-013","H04508-04-02",6,2,698.11669921875
"P04508-013","H04508-04-02",16,1,698.11669921875
"P04508-013","H04508-04-02",12,2,698.11669921875
"P04508-013","H04508-04-02",7,2,698.11669921875
"P04508-013","H04508-04-02",8,2,698.11669921875
"P04610-011","H04610-04-01",13,2,930.822265625
"P04610-011","H04610-04-01",99,2,930.822265625
"P04610-011","H04610-04-01",19,2,930.822265625
"P04610-011","H04610-04-01",6,2,930.822265625
"P04610-011","H04610-04-01",14,2,930.822265625
"P04610-011","H04610-04-01",12,2,930.822265625
"P04610-011","H04610-04-01",1,2,930.822265625
"P04610-011","H04610-04-01",17,2,930.822265625
"P04610-011","H04610-04-01",11,2,930.822265625
"P04610-011","H04610-04-01",18,2,930.822265625
"P04610-011","H04610-04-01",2,1,930.822265625
"P04610-011","H04610-04-01",16,2,930.822265625
"P04610-011","H04610-04-01",15,2,930.822265625
"P04610-011","H04610-04-01",7,2,930.822265625
"P04610-011","H04610-04-01",8,2,930.822265625
"P04806-011","H04806-04-01",12,2,2792.466796875
"P04806-011","H04806-04-01",99,2,2792.466796875
"P04806-011","H04806-04-01",19,2,2792.466796875
"P04806-011","H04806-04-01",1,2,2792.466796875
"P04806-011","H04806-04-01",14,2,2792.466796875
"P04806-011","H04806-04-01",2,2,2792.466796875
"P04806-011","H04806-04-01",7,2,2792.466796875
"P04806-011","H04806-04-01",15,2,2792.466796875
"P04806-011","H04806-04-01",13,2,2792.466796875
"P04806-011","H04806-04-01",17,2,2792.466796875
"P04806-011","H04806-04-01",18,2,2792.466796875
"P04806-011","H04806-04-01",8,1,2792.466796875
"P04806-011","H04806-04-01",6,2,2792.466796875
"P04806-011","H04806-04-01",11,2,2792.466796875
"P04806-011","H04806-04-01",16,2,2792.466796875
"P04913-026","H04913-04-02",11,2,465.4111328125
"P04913-026","H04913-04-02",7,2,465.4111328125
"P04913-026","H04913-04-02",19,2,465.4111328125
"P04913-026","H04913-04-02",17,2,465.4111328125
"P04913-026","H04913-04-02",8,2,465.4111328125
"P04913-026","H04913-04-02",14,2,465.4111328125
"P04913-026","H04913-04-02",6,2,465.4111328125
"P04913-026","H04913-04-02",99,2,465.4111328125
"P04913-026","H04913-04-02",13,2,465.4111328125
"P04913-026","H04913-04-02",12,2,465.4111328125
"P04913-026","H04913-04-02",18,2,465.4111328125
"P04913-026","H04913-04-02",2,2,465.4111328125
"P04913-026","H04913-04-02",1,2,465.4111328125
"P04913-026","H04913-04-02",16,1,465.4111328125
"P04913-026","H04913-04-02",15,2,465.4111328125
"P04913-027","H04913-04-03",6,2,465.4111328125
"P04913-027","H04913-04-03",99,2,465.4111328125
"P04913-027","H04913-04-03",8,2,465.4111328125
"P04913-027","H04913-04-03",18,2,465.4111328125
"P04913-027","H04913-04-03",7,2,465.4111328125
"P04913-027","H04913-04-03",2,2,465.4111328125
"P04913-027","H04913-04-03",1,2,465.4111328125
"P04913-027","H04913-04-03",19,2,465.4111328125
"P04913-027","H04913-04-03",13,2,465.4111328125
"P04913-027","H04913-04-03",15,2,465.4111328125
"P04913-027","H04913-04-03",17,2,465.4111328125
"P04913-027","H04913-04-03",12,2,465.4111328125
"P04913-027","H04913-04-03",11,2,465.4111328125
"P04913-027","H04913-04-03",16,1,465.4111328125
"P04913-027","H04913-04-03",14,2,465.4111328125
"P05003-011","H05003-04-01",17,2,1396.23327636719
"P05003-011","H05003-04-01",7,2,1396.23327636719
"P05003-011","H05003-04-01",11,2,1396.23327636719
"P05003-011","H05003-04-01",12,2,1396.23327636719
"P05003-011","H05003-04-01",8,1,1396.23327636719
"P05003-011","H05003-04-01",6,2,1396.23327636719
"P05003-011","H05003-04-01",2,2,1396.23327636719
"P05003-011","H05003-04-01",14,2,1396.23327636719
"P05003-011","H05003-04-01",15,2,1396.23327636719
"P05003-011","H05003-04-01",16,2,1396.23327636719
"P05003-011","H05003-04-01",19,2,1396.23327636719
"P05003-011","H05003-04-01",13,2,1396.23327636719
"P05003-011","H05003-04-01",99,2,1396.23327636719
"P05003-011","H05003-04-01",18,2,1396.23327636719
"P05003-011","H05003-04-01",1,2,1396.23327636719
"P05108-009","H05108-04-01",14,2,2792.466796875
"P05108-009","H05108-04-01",6,2,2792.466796875
"P05108-009","H05108-04-01",18,2,2792.466796875
"P05108-009","H05108-04-01",7,2,2792.466796875
"P05108-009","H05108-04-01",2,2,2792.466796875
"P05108-009","H05108-04-01",17,2,2792.466796875
"P05108-009","H05108-04-01",12,2,2792.466796875
"P05108-009","H05108-04-01",19,2,2792.466796875
"P05108-009","H05108-04-01",11,2,2792.466796875
"P05108-009","H05108-04-01",8,2,2792.466796875
"P05108-009","H05108-04-01",15,2,2792.466796875
"P05108-009","H05108-04-01",99,2,2792.466796875
"P05108-009","H05108-04-01",16,1,2792.466796875
"P05108-009","H05108-04-01",1,2,2792.466796875
"P05108-009","H05108-04-01",13,2,2792.466796875
"P05305-041","H05305-04-03",13,2,465.4111328125
"P05305-041","H05305-04-03",15,2,465.4111328125
"P05305-041","H05305-04-03",18,2,465.4111328125
"P05305-041","H05305-04-03",6,2,465.4111328125
"P05305-041","H05305-04-03",7,2,465.4111328125
"P05305-041","H05305-04-03",16,1,465.4111328125
"P05305-041","H05305-04-03",1,2,465.4111328125
"P05305-041","H05305-04-03",17,2,465.4111328125
"P05305-041","H05305-04-03",99,2,465.4111328125
"P05305-041","H05305-04-03",19,2,465.4111328125
"P05305-041","H05305-04-03",11,2,465.4111328125
"P05305-041","H05305-04-03",14,2,465.4111328125
"P05305-041","H05305-04-03",12,2,465.4111328125
"P05305-041","H05305-04-03",2,2,465.4111328125
"P05305-041","H05305-04-03",8,2,465.4111328125
"P05305-044","H05305-04-05",12,2,465.4111328125
"P05305-044","H05305-04-05",6,2,465.4111328125
"P05305-044","H05305-04-05",8,1,465.4111328125
"P05305-044","H05305-04-05",17,2,465.4111328125
"P05305-044","H05305-04-05",16,2,465.4111328125
"P05305-044","H05305-04-05",18,2,465.4111328125
"P05305-044","H05305-04-05",13,2,465.4111328125
"P05305-044","H05305-04-05",11,2,465.4111328125
"P05305-044","H05305-04-05",1,1,465.4111328125
"P05305-044","H05305-04-05",99,2,465.4111328125
"P05305-044","H05305-04-05",14,2,465.4111328125
"P05305-044","H05305-04-05",19,2,465.4111328125
"P05305-044","H05305-04-05",15,2,465.4111328125
"P05305-044","H05305-04-05",7,2,465.4111328125
"P05305-044","H05305-04-05",2,2,465.4111328125
"P05406-004","H05406-04-01",6,2,2792.46655273438
"P05406-004","H05406-04-01",8,2,2792.46655273438
"P05406-004","H05406-04-01",99,2,2792.46655273438
"P05406-004","H05406-04-01",13,2,2792.46655273438
"P05406-004","H05406-04-01",19,2,2792.46655273438
"P05406-004","H05406-04-01",11,1,2792.46655273438
"P05406-004","H05406-04-01",12,2,2792.46655273438
"P05406-004","H05406-04-01",1,2,2792.46655273438
"P05406-004","H05406-04-01",7,2,2792.46655273438
"P05406-004","H05406-04-01",18,2,2792.46655273438
"P05406-004","H05406-04-01",15,2,2792.46655273438
"P05406-004","H05406-04-01",17,2,2792.46655273438
"P05406-004","H05406-04-01",14,2,2792.46655273438
"P05406-004","H05406-04-01",2,2,2792.46655273438
"P05406-004","H05406-04-01",16,1,2792.46655273438
"P05705-012","H05705-04-01",15,2,2792.466796875
"P05705-012","H05705-04-01",2,1,2792.466796875
"P05705-012","H05705-04-01",12,2,2792.466796875
"P05705-012","H05705-04-01",18,2,2792.466796875
"P05705-012","H05705-04-01",7,2,2792.466796875
"P05705-012","H05705-04-01",8,2,2792.466796875
"P05705-012","H05705-04-01",17,2,2792.466796875
"P05705-012","H05705-04-01",19,2,2792.466796875
"P05705-012","H05705-04-01",6,2,2792.466796875
"P05705-012","H05705-04-01",11,2,2792.466796875
"P05705-012","H05705-04-01",16,2,2792.466796875
"P05705-012","H05705-04-01",14,2,2792.466796875
"P05705-012","H05705-04-01",99,2,2792.466796875
"P05705-012","H05705-04-01",1,1,2792.466796875
"P05705-012","H05705-04-01",13,2,2792.466796875
"P05706-011","H05706-04-01",11,2,2792.466796875
"P05706-011","H05706-04-01",12,2,2792.466796875
"P05706-011","H05706-04-01",99,2,2792.466796875
"P05706-011","H05706-04-01",1,2,2792.466796875
"P05706-011","H05706-04-01",13,2,2792.466796875
"P05706-011","H05706-04-01",2,2,2792.466796875
"P05706-011","H05706-04-01",16,1,2792.466796875
"P05706-011","H05706-04-01",17,2,2792.466796875
"P05706-011","H05706-04-01",7,2,2792.466796875
"P05706-011","H05706-04-01",14,2,2792.466796875
"P05706-011","H05706-04-01",6,2,2792.466796875
"P05706-011","H05706-04-01",15,2,2792.466796875
"P05706-011","H05706-04-01",8,2,2792.466796875
"P05706-011","H05706-04-01",19,2,2792.466796875
"P05706-011","H05706-04-01",18,2,2792.466796875
"P06001-008","H06001-04-01",11,2,2551.70141601563
"P06001-008","H06001-04-01",1,2,2551.70141601563
"P06001-008","H06001-04-01",8,1,2551.70141601563
"P06001-008","H06001-04-01",17,2,2551.70141601563
"P06001-008","H06001-04-01",12,2,2551.70141601563
"P06001-008","H06001-04-01",18,2,2551.70141601563
"P06001-008","H06001-04-01",15,2,2551.70141601563
"P06001-008","H06001-04-01",99,2,2551.70141601563
"P06001-008","H06001-04-01",19,2,2551.70141601563
"P06001-008","H06001-04-01",7,2,2551.70141601563
"P06001-008","H06001-04-01",2,2,2551.70141601563
"P06001-008","H06001-04-01",6,2,2551.70141601563
"P06001-008","H06001-04-01",16,2,2551.70141601563
"P06001-008","H06001-04-01",14,2,2551.70141601563
"P06001-008","H06001-04-01",13,2,2551.70141601563
"P06105-023","H06105-04-02",7,2,1275.85070800781
"P06105-023","H06105-04-02",1,2,1275.85070800781
"P06105-023","H06105-04-02",17,2,1275.85070800781
"P06105-023","H06105-04-02",18,2,1275.85070800781
"P06105-023","H06105-04-02",13,2,1275.85070800781
"P06105-023","H06105-04-02",12,2,1275.85070800781
"P06105-023","H06105-04-02",2,2,1275.85070800781
"P06105-023","H06105-04-02",99,2,1275.85070800781
"P06105-023","H06105-04-02",8,2,1275.85070800781
"P06105-023","H06105-04-02",14,2,1275.85070800781
"P06105-023","H06105-04-02",11,2,1275.85070800781
"P06105-023","H06105-04-02",19,2,1275.85070800781
"P06105-023","H06105-04-02",6,2,1275.85070800781
"P06105-023","H06105-04-02",15,2,1275.85070800781
"P06105-023","H06105-04-02",16,1,1275.85070800781
"P06201-010","H06201-04-01",11,2,2551.701171875
"P06201-010","H06201-04-01",16,1,2551.701171875
"P06201-010","H06201-04-01",13,2,2551.701171875
"P06201-010","H06201-04-01",99,2,2551.701171875
"P06201-010","H06201-04-01",2,2,2551.701171875
"P06201-010","H06201-04-01",17,2,2551.701171875
"P06201-010","H06201-04-01",12,2,2551.701171875
"P06201-010","H06201-04-01",15,2,2551.701171875
"P06201-010","H06201-04-01",18,2,2551.701171875
"P06201-010","H06201-04-01",14,2,2551.701171875
"P06201-010","H06201-04-01",8,2,2551.701171875
"P06201-010","H06201-04-01",7,2,2551.701171875
"P06201-010","H06201-04-01",1,2,2551.701171875
"P06201-010","H06201-04-01",19,2,2551.701171875
"P06201-010","H06201-04-01",6,2,2551.701171875
"P06406-007","H06406-04-01",17,2,2551.70141601563
"P06406-007","H06406-04-01",12,2,2551.70141601563
"P06406-007","H06406-04-01",14,2,2551.70141601563
"P06406-007","H06406-04-01",99,2,2551.70141601563
"P06406-007","H06406-04-01",19,2,2551.70141601563
"P06406-007","H06406-04-01",18,2,2551.70141601563
"P06406-007","H06406-04-01",8,1,2551.70141601563
"P06406-007","H06406-04-01",11,2,2551.70141601563
"P06406-007","H06406-04-01",16,1,2551.70141601563
"P06406-007","H06406-04-01",2,2,2551.70141601563
"P06406-007","H06406-04-01",15,2,2551.70141601563
"P06406-007","H06406-04-01",6,2,2551.70141601563
"P06406-007","H06406-04-01",13,2,2551.70141601563
"P06406-007","H06406-04-01",7,2,2551.70141601563
"P06406-007","H06406-04-01",1,2,2551.70141601563
"P06411-014","H06411-04-01",17,2,2551.70141601563
"P06411-014","H06411-04-01",12,2,2551.70141601563
"P06411-014","H06411-04-01",18,2,2551.70141601563
"P06411-014","H06411-04-01",19,2,2551.70141601563
"P06411-014","H06411-04-01",16,1,2551.70141601563
"P06411-014","H06411-04-01",99,2,2551.70141601563
"P06411-014","H06411-04-01",15,2,2551.70141601563
"P06411-014","H06411-04-01",7,2,2551.70141601563
"P06411-014","H06411-04-01",13,2,2551.70141601563
"P06411-014","H06411-04-01",2,2,2551.70141601563
"P06411-014","H06411-04-01",1,2,2551.70141601563
"P06411-014","H06411-04-01",6,2,2551.70141601563
"P06411-014","H06411-04-01",8,2,2551.70141601563
"P06411-014","H06411-04-01",14,2,2551.70141601563
"P06411-014","H06411-04-01",11,2,2551.70141601563
"P06603-012","H06603-04-01",15,2,2551.70141601563
"P06603-012","H06603-04-01",17,2,2551.70141601563
"P06603-012","H06603-04-01",99,2,2551.70141601563
"P06603-012","H06603-04-01",8,2,2551.70141601563
"P06603-012","H06603-04-01",11,2,2551.70141601563
"P06603-012","H06603-04-01",16,2,2551.70141601563
"P06603-012","H06603-04-01",7,2,2551.70141601563
"P06603-012","H06603-04-01",19,2,2551.70141601563
"P06603-012","H06603-04-01",14,2,2551.70141601563
"P06603-012","H06603-04-01",2,1,2551.70141601563
"P06603-012","H06603-04-01",6,2,2551.70141601563
"P06603-012","H06603-04-01",12,2,2551.70141601563
"P06603-012","H06603-04-01",18,2,2551.70141601563
"P06603-012","H06603-04-01",13,2,2551.70141601563
"P06603-012","H06603-04-01",1,1,2551.70141601563
"P06608-012","H06608-04-01",13,2,2551.70141601563
"P06608-012","H06608-04-01",2,2,2551.70141601563
"P06608-012","H06608-04-01",14,2,2551.70141601563
"P06608-012","H06608-04-01",11,2,2551.70141601563
"P06608-012","H06608-04-01",6,2,2551.70141601563
"P06608-012","H06608-04-01",18,2,2551.70141601563
"P06608-012","H06608-04-01",7,2,2551.70141601563
"P06608-012","H06608-04-01",16,2,2551.70141601563
"P06608-012","H06608-04-01",19,2,2551.70141601563
"P06608-012","H06608-04-01",17,2,2551.70141601563
"P06608-012","H06608-04-01",12,2,2551.70141601563
"P06608-012","H06608-04-01",15,2,2551.70141601563
"P06608-012","H06608-04-01",8,1,2551.70141601563
"P06608-012","H06608-04-01",99,2,2551.70141601563
"P06608-012","H06608-04-01",1,2,2551.70141601563
"P06707-022","H06707-04-02",13,2,1275.8505859375
"P06707-022","H06707-04-02",17,2,1275.8505859375
"P06707-022","H06707-04-02",12,2,1275.8505859375
"P06707-022","H06707-04-02",7,2,1275.8505859375
"P06707-022","H06707-04-02",99,2,1275.8505859375
"P06707-022","H06707-04-02",14,2,1275.8505859375
"P06707-022","H06707-04-02",16,1,1275.8505859375
"P06707-022","H06707-04-02",1,2,1275.8505859375
"P06707-022","H06707-04-02",18,2,1275.8505859375
"P06707-022","H06707-04-02",19,2,1275.8505859375
"P06707-022","H06707-04-02",8,2,1275.8505859375
"P06707-022","H06707-04-02",6,2,1275.8505859375
"P06707-022","H06707-04-02",11,2,1275.8505859375
"P06707-022","H06707-04-02",2,2,1275.8505859375
"P06707-022","H06707-04-02",15,2,1275.8505859375
"P07203-009","H07203-04-01",1,2,2551.70141601563
