"HHID","PID","h6q18","h6q18_1","wgt_X"
"H03605-04-02","P03605-005",2,,2551.70141601563
"H03605-04-02","P03605-005",1,,2551.70141601563
"H03706-04-01","P03706-008",1,,2551.70141601563
"H03706-04-01","P03706-010",8,,2551.70141601563
"H03706-04-01","P03706-008",10,,2551.70141601563
"H03706-04-01","P03706-008",2,,2551.70141601563
"H03706-04-01","P03706-010",9,,2551.70141601563
"H03706-04-01","P03706-010",10,,2551.70141601563
"H03706-04-01","P03706-008",8,,2551.70141601563
"H03706-04-01","P03706-010",1,,2551.70141601563
"H03706-04-01","P03706-010",2,,2551.70141601563
"H03706-04-01","P03706-008",9,,2551.70141601563
"H03707-04-02","P03707-015",8,,1275.85070800781
"H03707-04-02","P03707-015",10,,1275.85070800781
"H03707-04-02","P03707-015",2,,1275.85070800781
"H03707-04-02","P03707-015",1,,1275.85070800781
"H03707-04-02","P03707-015",9,,1275.85070800781
"H03711-04-02","P03711-014",2,,637.925354003906
"H03711-04-02","P03711-028",8,,637.925354003906
"H03711-04-02","P03711-028",1,,637.925354003906
"H03711-04-02","P03711-014",8,,637.925354003906
"H03711-04-02","P03711-028",9,,637.925354003906
"H03711-04-02","P03711-014",10,,637.925354003906
"H03711-04-02","P03711-014",9,,637.925354003906
"H03711-04-02","P03711-014",1,,637.925354003906
"H03711-04-02","P03711-028",2,,637.925354003906
"H03711-04-02","P03711-028",10,,637.925354003906
"H03711-04-03","P03711-004",8,,637.925354003906
"H03711-04-03","P03711-004",9,,637.925354003906
"H03711-04-03","P03711-004",10,,637.925354003906
"H03711-04-03","P03711-004",1,,637.925354003906
"H03711-04-03","P03711-012",2,,637.925354003906
"H03711-04-03","P03711-012",1,,637.925354003906
"H03711-04-03","P03711-012",9,,637.925354003906
"H03711-04-03","P03711-012",8,,637.925354003906
"H03711-04-03","P03711-004",2,,637.925354003906
"H03711-04-03","P03711-012",10,,637.925354003906
"H03711-04-04","P03711-015",10,,637.925354003906
"H03711-04-04","P03711-027",2,,637.925354003906
"H03711-04-04","P03711-015",9,,637.925354003906
"H03711-04-04","P03711-015",1,,637.925354003906
"H03711-04-04","P03711-015",8,,637.925354003906
"H03711-04-04","P03711-027",10,,637.925354003906
"H03711-04-04","P03711-027",9,,637.925354003906
"H03711-04-04","P03711-015",2,,637.925354003906
"H03711-04-04","P03711-027",1,,637.925354003906
"H03711-04-04","P03711-027",8,,637.925354003906
"H03807-04-01","P03807-007",1,,2551.70141601563
"H03807-04-01","P03807-007",10,,2551.70141601563
"H03807-04-01","P03807-007",9,,2551.70141601563
"H03807-04-01","P03807-007",3,,2551.70141601563
"H03807-04-01","P03807-007",8,,2551.70141601563
"H03807-04-01","P03807-007",2,,2551.70141601563
"H03809-04-01","P03809-011",10,,2551.70141601563
"H03809-04-01","P03809-011",3,,2551.70141601563
"H03809-04-01","P03809-011",1,,2551.70141601563
"H03809-04-01","P03809-011",9,,2551.70141601563
"H03809-04-01","P03809-011",8,,2551.70141601563
"H03809-04-01","P03809-011",2,,2551.70141601563
"H03810-04-01","P03810-012",9,,2551.70141601563
"H03810-04-01","P03810-012",2,,2551.70141601563
"H03810-04-01","P03810-011",2,,2551.70141601563
"H03810-04-01","P03810-011",1,,2551.70141601563
"H03810-04-01","P03810-012",1,,2551.70141601563
"H03810-04-01","P03810-011",9,,2551.70141601563
"H03810-04-01","P03810-011",10,,2551.70141601563
"H03810-04-01","P03810-011",8,,2551.70141601563
"H03810-04-01","P03810-012",8,,2551.70141601563
"H03810-04-01","P03810-012",10,,2551.70141601563
"H03811-04-01","P03811-006",9,,2551.70141601563
"H03811-04-01","P03811-006",8,,2551.70141601563
"H03811-04-01","P03811-006",2,,2551.70141601563
"H03811-04-01","P03811-006",1,,2551.70141601563
"H03811-04-01","P03811-006",10,,2551.70141601563
"H03902-04-01","P03902-008",9,,2551.70141601563
"H03902-04-01","P03902-008",3,,2551.70141601563
"H03902-04-01","P03902-008",2,,2551.70141601563
"H03902-04-01","P03902-008",1,,2551.70141601563
"H03902-04-01","P03902-008",8,,2551.70141601563
"H03902-04-01","P03902-008",10,,2551.70141601563
"H03903-04-01","P03903-010",1,,2551.70141601563
"H03903-04-01","P03903-011",1,,2551.70141601563
"H03903-04-01","P03903-010",10,,2551.70141601563
"H03903-04-01","P03903-011",10,,2551.70141601563
"H03903-04-01","P03903-010",3,,2551.70141601563
"H03903-04-01","P03903-011",9,,2551.70141601563
"H03903-04-01","P03903-010",2,,2551.70141601563
"H03903-04-01","P03903-010",8,,2551.70141601563
"H03903-04-01","P03903-011",8,,2551.70141601563
"H03903-04-01","P03903-010",9,,2551.70141601563
"H03903-04-01","P03903-011",3,,2551.70141601563
"H03903-04-01","P03903-011",2,,2551.70141601563
"H03908-04-01","P03908-004",10,,2551.70141601563
"H03908-04-01","P03908-005",2,,2551.70141601563
"H03908-04-01","P03908-005",8,,2551.70141601563
"H03908-04-01","P03908-004",2,,2551.70141601563
"H03908-04-01","P03908-004",9,,2551.70141601563
"H03908-04-01","P03908-005",9,,2551.70141601563
"H03908-04-01","P03908-004",1,,2551.70141601563
"H03908-04-01","P03908-004",8,,2551.70141601563
"H03908-04-01","P03908-005",1,,2551.70141601563
"H03908-04-01","P03908-005",10,,2551.70141601563
"H03909-04-01","P03909-033",9,,1275.85070800781
"H03909-04-01","P03909-033",8,,1275.85070800781
"H03909-04-01","P03909-033",1,,1275.85070800781
"H03909-04-01","P03909-033",2,,1275.85070800781
"H03909-04-01","P03909-033",10,,1275.85070800781
"H03909-04-02","P03909-039",9,,1275.85070800781
"H03909-04-02","P03909-039",2,,1275.85070800781
"H03909-04-02","P03909-039",8,,1275.85070800781
"H03909-04-02","P03909-039",10,,1275.85070800781
"H03909-04-02","P03909-039",1,,1275.85070800781
"H04002-04-01","P04002-008",2,,2551.70141601563
"H04002-04-01","P04002-008",10,,2551.70141601563
"H04002-04-01","P04002-008",8,,2551.70141601563
"H04002-04-01","P04002-008",1,,2551.70141601563
"H04002-04-01","P04002-008",9,,2551.70141601563
"H04005-04-01","P04005-017",8,,2551.70141601563
"H04005-04-01","P04005-016",10,,2551.70141601563
"H04005-04-01","P04005-016",2,,2551.70141601563
"H04005-04-01","P04005-016",1,,2551.70141601563
"H04005-04-01","P04005-017",2,,2551.70141601563
"H04005-04-01","P04005-017",1,,2551.70141601563
"H04005-04-01","P04005-016",9,,2551.70141601563
"H04005-04-01","P04005-017",10,,2551.70141601563
"H04005-04-01","P04005-017",9,,2551.70141601563
"H04005-04-01","P04005-016",8,,2551.70141601563
"H04011-04-02","P04011-010",9,,1275.85070800781
"H04011-04-02","P04011-010",1,,1275.85070800781
"H04011-04-02","P04011-010",10,,1275.85070800781
"H04011-04-02","P04011-010",8,,1275.85070800781
"H04011-04-02","P04011-010",2,,1275.85070800781
"H04201-04-01","P04201-013",9,,2551.70141601563
"H04201-04-01","P04201-010",1,,2551.70141601563
"H04201-04-01","P04201-013",10,,2551.70141601563
"H04201-04-01","P04201-010",10,,2551.70141601563
"H04201-04-01","P04201-010",2,,2551.70141601563
"H04201-04-01","P04201-013",8,,2551.70141601563
"H04201-04-01","P04201-013",1,,2551.70141601563
"H04201-04-01","P04201-013",2,,2551.70141601563
"H04201-04-01","P04201-010",8,,2551.70141601563
"H04201-04-01","P04201-010",9,,2551.70141601563
"H04203-04-01","P04203-007",1,,2551.70141601563
"H04203-04-01","P04203-007",2,,2551.70141601563
"H04203-04-01","P04203-007",9,,2551.70141601563
"H04203-04-01","P04203-007",8,,2551.70141601563
"H04203-04-01","P04203-007",3,,2551.70141601563
"H04203-04-01","P04203-007",10,,2551.70141601563
"H04204-04-01","P04204-006",8,,2551.70141601563
"H04204-04-01","P04204-007",2,,2551.70141601563
"H04204-04-01","P04204-007",1,,2551.70141601563
"H04204-04-01","P04204-006",10,,2551.70141601563
"H04204-04-01","P04204-007",9,,2551.70141601563
"H04204-04-01","P04204-007",8,,2551.70141601563
"H04204-04-01","P04204-006",2,,2551.70141601563
"H04204-04-01","P04204-006",1,,2551.70141601563
"H04204-04-01","P04204-007",3,,2551.70141601563
"H04204-04-01","P04204-007",10,,2551.70141601563
"H04204-04-01","P04204-006",3,,2551.70141601563
"H04204-04-01","P04204-006",9,,2551.70141601563
"H04205-04-01","P04205-005",8,,2551.70141601563
"H04205-04-01","P04205-006",9,,2551.70141601563
"H04205-04-01","P04205-006",2,,2551.70141601563
"H04205-04-01","P04205-005",9,,2551.70141601563
"H04205-04-01","P04205-004",10,,2551.70141601563
"H04205-04-01","P04205-006",1,,2551.70141601563
"H04205-04-01","P04205-005",1,,2551.70141601563
"H04205-04-01","P04205-006",3,,2551.70141601563
"H04205-04-01","P04205-006",10,,2551.70141601563
"H04205-04-01","P04205-004",9,,2551.70141601563
"H04205-04-01","P04205-004",3,,2551.70141601563
"H04205-04-01","P04205-005",3,,2551.70141601563
"H04205-04-01","P04205-006",8,,2551.70141601563
"H04205-04-01","P04205-004",1,,2551.70141601563
"H04205-04-01","P04205-005",2,,2551.70141601563
"H04205-04-01","P04205-004",8,,2551.70141601563
"H04205-04-01","P04205-004",2,,2551.70141601563
"H04205-04-01","P04205-005",10,,2551.70141601563
"H04207-04-01","P04207-007",9,,2551.70141601563
"H04207-04-01","P04207-007",10,,2551.70141601563
"H04207-04-01","P04207-006",1,,2551.70141601563
"H04207-04-01","P04207-006",10,,2551.70141601563
"H04207-04-01","P04207-007",2,,2551.70141601563
"H04207-04-01","P04207-006",2,,2551.70141601563
"H04207-04-01","P04207-007",8,,2551.70141601563
"H04207-04-01","P04207-006",9,,2551.70141601563
"H04207-04-01","P04207-006",8,,2551.70141601563
"H04207-04-01","P04207-006",3,,2551.70141601563
"H04207-04-01","P04207-007",1,,2551.70141601563
"H04207-04-01","P04207-007",3,,2551.70141601563
"H04208-04-02","P04208-010",2,,1275.85070800781
"H04208-04-02","P04208-010",1,,1275.85070800781
"H04208-04-02","P04208-010",9,,1275.85070800781
"H04208-04-02","P04208-010",10,,1275.85070800781
"H04208-04-02","P04208-010",8,,1275.85070800781
"H04209-04-01","P04209-012",1,,2551.70141601563
"H04209-04-01","P04209-012",9,,2551.70141601563
"H04209-04-01","P04209-014",8,,2551.70141601563
"H04209-04-01","P04209-014",1,,2551.70141601563
"H04209-04-01","P04209-014",2,,2551.70141601563
"H04209-04-01","P04209-012",8,,2551.70141601563
"H04209-04-01","P04209-012",10,,2551.70141601563
"H04209-04-01","P04209-012",2,,2551.70141601563
"H04209-04-01","P04209-014",9,,2551.70141601563
"H04209-04-01","P04209-014",10,,2551.70141601563
"H04210-04-01","P04210-007",3,,2551.70141601563
