"HHID","h9q0","h9q1","h9q2","h9q3","h9q4","h9q5","h9q6","h9q7","h9q8","h9q9a","h9q9b","h9q10","h9q11b","h9q12","h9q13","h9q14","h9q15a","h9q15b","h9q15c","h9q16","h9q17","h9q18","h9q19","h9q20","h9q21","h9q22","h9q22a","h9q22b","h9q23","wgt_X"
"H00704-04-01",1,10,12,1,10,12,13,10,,,,,10,1,1,9000,,,,1,2,2,1,,3,13,1,3,1,1874.79821777344
"H00707-04-01",1,10,10,4,10,12,16,11,,,,,5,1,1,20000,,,,1,2,2,1,,5,11,2,,1,1874.79821777344
"H00710-04-01",1,10,10,2,10,11,10,14,1,50,30,1,5,2,,,"P00710-004","P00710-005","P00710-007",1,2,2,1,1,5,12,2,,1,1874.79821777344
"H00712-04-01",1,10,10,5,10,12,13,10,,,,,5,1,1,20000,,,,9,2,2,1,,3,12,2,,1,1874.79821777344
"H00801-04-01",2,10,16,2,11,12,16,10,,,,,3,1,1,40000,,,,2,2,2,1,,5,10,2,,3,1874.79821777344
"H00802-04-01",1,11,16,1,10,12,10,12,96,6,5,0.5,3,1,8,25000,"P00802-002","P00802-003","P00802-006",9,2,2,1,9,2,12,1,8,1,1874.79821777344
"H00803-04-01",1,10,10,3,10,12,13,11,,,,,10,1,1,36000,,,,2,2,2,1,,3,11,2,,1,1874.79821777344
"H00805-04-01",1,15,12,1,10,13,13,12,2,20,5,1,2,1,1,12000,"P00805-002","P00805-001",,9,1,2,1,2,2,12,1,4,1,1874.79821777344
"H00809-04-01",1,15,12,1,10,12,13,11,,,,,5,1,1,30000,,,,9,2,2,1,,3,10,1,4,3,1874.79821777344
"H00810-04-02",1,10,10,5,10,11,13,10,,,,,2,1,1,80000,,,,2,2,2,1,,5,10,2,,3,937.399108886719
"H00810-04-03",1,10,16,2,10,12,13,10,,,,,1.5,1,1,20000,,,,2,2,2,1,,5,10,2,,3,937.399108886719
"H00811-04-01",,10,10,6,10,12,13,11,,,,,3,1,1,20000,,,,9,2,2,1,,3,12,1,3,1,1874.79821777344
"H01209-04-01",1,10,14,5,10,11,13,11,,,,,5,1,1,15000,,,,1,2,2,1,,2,12,2,,2,624.932739257813
"H01209-04-02",1,11,12,1,10,12,13,17,96,15,5,0.25,5,2,,,"P01209-023","P01209-024",,2,2,2,1,2,2,12,1,4,2,624.932739257813
"H01209-04-03",1,10,10,2,10,12,16,11,,,,,5,1,1,30000,,,,9,2,2,1,,2,10,2,,2,624.932739257813
"H01210-04-01",1,11,16,1,10,16,13,17,2,20,8,1,5,2,,,"P01210-004","P01210-005","P01210-006",2,2,2,1,2,2,13,1,6,1,1874.79809570313
"H01401-04-01",1,10,10,5,11,12,16,10,,,,,5,1,1,20000,,,,2,1,2,1,,5,10,2,,3,1874.79821777344
"H01402-04-01",1,15,16,2,10,12,13,12,5,5,0,0,5,1,1,3000,"P01402-008","P01402-009",,2,2,2,1,2,5,96,1,50,3,1874.79821777344
"H01406-04-01",1,15,15,2,10,13,13,12,1,1,1,0,5,1,1,10000,"P01406-002","P01406-003","P01406-004",9,1,2,1,1,5,12,2,,1,1874.79821777344
"H01409-04-01",1,10,10,1,10,12,13,12,1,1,0,0,1.5,1,2,15000,"P01409-001",,,1,2,2,1,1,5,12,1,3,1,1874.79821777344
"H01601-04-01",1,10,12,1,10,16,14,12,6,10,2,0.200000002980232,5,1,1,24000,"P01601-007","Z02","Z01",2,1,2,1,1,5,12,1,2,1,1874.79821777344
"H01604-04-01",1,10,10,6,11,12,13,10,,,,,3,1,1,50000,,,,2,1,2,1,,5,10,2,,3,1874.79821777344
"H01605-04-01",1,10,10,3,10,12,13,10,,,,,15,1,1,50000,,,,2,2,2,1,,5,12,2,,3,1874.79821777344
"H01607-04-01",1,11,10,2,10,12,13,12,6,5,0,0.0500000007450581,5,1,1,24000,"P01607-005","P01607-006","P01607-001",1,2,2,1,2,5,12,1,3,1,1874.79821777344
"H01612-04-01",1,15,16,1,10,16,13,12,96,5,1,0.100000001490116,5,1,1,6000,"P01612-002","P01612-003","P01612-004",1,2,1,1,2,5,12,1,4,1,1874.79821777344
"H01801-04-01",1,10,10,1,10,12,16,10,,,,,5,1,1,20000,,,,1,2,2,1,,5,11,2,,2,1874.79821777344
"H01806-04-01",1,15,15,1,10,12,10,15,,60,2,2.5,3,2,,,"P01806-004","P01806-011","P01806-012",2,2,2,1,,1,11,1,5,1,937.399108886719
"H01806-04-02",2,11,10,1,10,12,14,18,,,,,3,1,1,45000,"Z03","Z03","Z03",9,2,2,1,,5,12,1,3,1,937.399108886719
"H01809-04-01",1,10,10,2,10,12,13,12,6,5,2,0.100000001490116,8,1,1,18000,"P01809-004","P01809-003","P01809-002",1,2,2,1,3,3,12,2,,1,1874.79821777344
"H01813-04-01",1,10,10,3,10,12,13,11,,,,,7,1,1,35000,,,,2,2,8,1,,5,11,1,6,1,1874.79821777344
"H02108-04-01",1,15,11,1,10,12,13,12,2,20,4,0.5,3,1,1,4500,"P02108-001","P02108-002","P02108-002",2,1,2,1,2,5,12,1,5,1,1874.79821777344
"H02110-04-01",1,10,10,2,10,12,13,20,,10,30,0.25,10,2,,,"P02110-003","P02110-004",,1,2,2,1,,3,12,1,7,3,1874.79821777344
"H02111-04-01",1,15,16,2,10,12,13,15,,10,0,0.5,3,2,,,"P02111-002","P02111-003","P02111-004",2,2,2,1,,5,12,1,1,1,1874.79821777344
"H02113-04-01",1,10,10,3,10,13,13,15,,15,25,0.5,5,2,,,,,,1,2,2,1,,5,11,1,4,1,1874.79821777344
"H02203-04-01",1,15,10,2,10,12,13,11,,,,,5,1,1,7000,,,,9,2,2,1,,5,12,1,1,1,1874.79821777344
"H02205-04-01",1,10,10,5,11,10,16,10,,,,,5,1,1,60000,,,,2,2,8,1,,5,10,2,,3,1874.79821777344
"H02206-04-01",1,15,10,2,10,12,13,12,6,6,1,0,5,1,2,6000,"P02206-002","P02206-003","P02206-005",1,2,2,1,1,5,12,1,2,1,1874.79821777344
"H02207-04-01",1,10,10,3,10,12,13,11,,,,,3,1,1,10000,,,,2,2,2,1,,5,11,2,,1,1874.79821777344
"H02304-04-01",2,15,16,1,10,12,13,12,4,2,0,0,1,1,1,3000,"P02304-001",,,2,4,5,1,1,5,11,1,5,1,1874.79821777344
"H02305-04-01",1,15,11,2,10,11,13,11,,,,,5,1,1,25000,,,,2,2,2,1,,2,11,1,6,2,1874.79821777344
"H02310-04-01",1,10,10,3,10,12,13,11,,,,,5,1,1,15000,,,,2,2,2,1,,5,12,2,,2,1874.79821777344
"H02401-04-01",2,10,15,1,10,12,13,12,5,5,15,0.200000002980232,2,1,1,2000,"P02401-001",,,9,2,2,1,2,2,12,1,5,1,1874.79821777344
"H02407-04-01",1,15,16,1,10,16,14,12,2,10,0,0.0500000007450581,2,1,1,6000,"P02407-001",,,1,4,2,1,2,5,13,1,16,1,1874.79821777344
"H02409-04-01",1,15,16,1,10,14,13,12,2,5,0,0.00499999988824129,2,1,1,10000,"P02409-001",,,1,2,1,1,2,5,12,1,4,1,1874.79821777344
"H02412-04-01",1,11,10,2,10,16,13,16,6,5,1,0.0500000007450581,5,2,,,"P02412-001","P02412-001","P02412-002",2,2,2,1,2,5,12,1,4,3,1874.79821777344
"H02507-04-01",1,11,10,2,10,12,13,11,,,,,4,1,1,10000,,,,2,2,2,1,,5,11,2,,1,1874.79809570313
"H02601-04-01",3,12,16,1,11,12,16,10,,,,,2,1,1,3000,,,,2,2,2,1,,5,10,2,,3,937.399108886719
"H02601-04-02",1,11,16,2,10,12,13,11,,,,,5,1,1,18000,,,,2,2,2,1,,3,12,1,5,1,937.399108886719
"H02602-04-01",1,10,10,4,10,11,14,11,,,,,18,1,1,70000,,,,2,2,2,1,,5,13,2,,1,1874.79821777344
"H02608-04-01",1,11,10,2,10,12,13,15,,5,2,0,3,2,,,"P02608-009",,,1,2,2,1,,2,12,1,3,1,937.399108886719
"H02608-04-02",3,10,12,2,10,12,13,10,,,,,5,1,2,10000,,,,1,1,2,1,,5,10,2,,3,937.399108886719
"H02609-04-01",1,15,16,1,10,16,13,12,96,5,5,0,2,1,1,12000,"P02609-002",,,1,1,2,1,2,2,12,1,2,1,1874.79821777344
"H02703-04-02",1,15,16,1,10,11,13,10,,,,,2,1,1,5000,,,,2,2,2,1,,5,12,1,2,1,1874.79821777344
"H02705-04-01",1,10,10,2,10,11,13,11,,,,,3,1,1,5000,,,,2,2,2,1,,5,12,2,,1,937.399108886719
"H02705-04-02",3,10,16,1,10,12,13,15,,4,5,0.5,5,2,,,"P02705-003",,,1,2,2,2,,2,13,1,6,1,937.399108886719
"H02706-04-01",,15,10,1,10,11,13,11,,,,,2,1,1,6000,,,,2,2,2,1,,5,12,1,4,1,1874.79821777344
"H02710-04-01",1,10,10,3,10,12,13,15,,5,10,0.100000001490116,20,2,,,"P02710-002","P02710-005","P02710-004",2,2,1,1,,8,12,2,,1,1874.79821777344
"H02711-04-01",2,10,10,1,10,16,14,15,,10,5,0.5,0.5,2,,,"P02711-001","Z04",,1,2,2,1,,5,11,2,,1,624.932739257813
"H02711-04-02",2,13,16,1,10,10,13,10,,,,,1,2,,,,,,9,2,2,1,,5,12,1,1,1,624.932739257813
"H02711-04-03",2,15,16,2,10,10,13,12,6,5,5,0.100000001490116,2,1,1,15000,"P02711-005","P02711-012",,9,2,2,1,1,5,11,2,,1,624.932739257813
"H02802-04-01",1,10,10,4,10,12,13,15,,30,40,0.300000011920929,7,2,,,"P02802-004","P02802-005","P02802-007",1,2,2,1,,2,12,2,,3,1874.79821777344
"H02803-04-01",1,10,10,3,10,12,13,11,,,,,3,1,1,12000,,,,2,2,2,1,,5,11,2,,1,1874.79821777344
"H02811-04-01",1,10,10,3,10,14,13,12,5,10,2,0.00999999977648258,2,1,1,18000,"P02811-004","P02811-003","P02811-005",1,1,2,1,1,3,14,2,,3,1874.79821777344
"H03001-04-01",1,10,10,3,10,12,10,15,,10,5,0.200000002980232,5,2,,,"P03001-002","P03001-004",,1,2,2,1,,2,12,2,,1,1874.79821777344
"H03003-04-01",2,10,10,2,10,12,13,11,,,,,5,1,1,0,,,,2,2,2,1,,5,12,2,,1,1874.79821777344
"H03005-04-01",1,10,10,3,10,11,13,15,,10,30,0,5,2,,,"P03005-004","P03005-006",,2,1,2,1,,2,12,2,,1,1874.79821777344
"H03006-04-01",1,10,10,5,10,12,13,11,,,,,8,1,1,30000,,,,2,2,2,1,,5,12,2,,1,1874.79821777344
"H03010-04-01",1,15,10,2,10,12,13,12,6,5,3,0.00999999977648258,10,1,1,18000,"P03010-003","P03010-005","P03010-002",2,2,2,1,1,5,12,1,3,1,1874.79821777344
"H03401-04-01",1,10,10,3,10,12,13,11,,,,,5,1,1,15000,,,,9,2,1,1,,5,11,1,6,1,1874.79821777344
"H03408-04-01",2,10,12,2,10,16,14,14,2,30,5,0.800000011920929,3,2,,,"P03408-001","P03408-003","P03408-004",9,2,2,1,2,2,13,2,,1,1874.79821777344
"H03409-04-01",1,10,10,5,10,12,13,15,,2,3,0.00999999977648258,10,2,,,"P03409-018","P03409-034","P03409-005",9,2,2,1,,5,12,1,3,1,937.399108886719
"H03409-04-02",3,15,16,1,10,11,13,12,6,5,2,0.100000001490116,3,1,1,18000,"P03409-002","Z04","Z03",2,1,2,1,9,5,12,1,4,1,937.399108886719
"H03410-04-01",1,10,10,3,10,12,13,11,,,,,10,1,1,80000,,,,1,2,2,1,,5,12,2,,1,937.399108886719
"H03410-04-02",2,15,16,2,10,12,13,21,,,,,5,1,1,18000,,,,1,2,2,1,,5,12,1,2,1,937.399108886719
"H03503-04-01",1,15,10,3,10,12,13,15,,30,1,1,5,1,1,8000,"P03503-002","P03503-008","P03503-009",1,2,2,1,,5,12,1,6,1,1874.79809570313
"H03511-04-01",1,10,10,1,10,12,13,15,,5,10,0.0399999991059303,3,2,,,"P03511-002",,,2,8,2,1,,5,12,1,3,1,1874.79809570313
"H03512-04-01",2,15,16,1,10,10,13,15,,20,5,0.200000002980232,2,2,,,"P03512-002","P03512-001",,9,2,2,1,,5,11,1,8,1,1874.79809570313
"H03515-04-01",1,10,10,1,10,16,14,15,,10,1,0,0,2,,,"P03515-001","P03515-002","P03515-003",1,2,2,1,,5,12,1,4,1,1874.79809570313
"H03601-04-01",1,10,10,3,10,12,14,16,4,120,60,3.20000004768372,5,2,,,"P03601-009","P03601-001",,9,2,5,1,3,2,17,,,,2551.70141601563
"H03602-04-04",1,10,12,3,10,16,14,15,,30,5,1.5,5,2,,,"P03602-004","P03602-006","P03602-005",1,2,2,1,,1,15,1,1,1,2551.70141601563
"H03603-04-05",2,10,10,3,10,16,14,16,2,30,5,0.600000023841858,4,2,,,"P03603-003","P03603-002","P03603-005",9,2,2,2,2,2,15,2,,1,2551.70141601563
"H03604-04-04",1,10,10,3,10,12,14,16,4,20,0,0.5,5,2,,,"P03604-003","P03604-005","P03604-004",2,2,2,1,3,1,13,2,,1,850.567138671875
"H03604-04-08",1,10,10,1,10,12,13,15,,1,0,1,5,2,,,"P03604-022","P03604-022","P03604-025",1,2,1,1,,5,13,2,,1,850.567138671875
"H03604-04-09",1,10,10,3,10,16,14,16,96,10,2,2,5,2,,,"P03604-033","P03604-034","P03604-038",2,2,2,1,3,8,15,2,,1,850.567138671875
"H03605-04-02",1,10,10,2,10,12,14,15,,15,10,1.5,3,1,1,45000,"Z01",,,1,2,2,1,,1,15,1,1,1,2551.70141601563
"H03607-04-01",1,10,10,3,10,16,14,16,1,20,5,1.5,4,2,,,"P03607-008","P03607-007","P03607-004",1,2,2,1,3,1,13,2,,1,2551.70141601563
"H03608-04-01",1,11,10,1,10,14,14,16,1,60,2,2,1,2,,,"P03608-001","P03608-001",,1,2,2,1,2,5,13,2,,1,2551.70141601563
"H03704-04-01",2,10,10,1,10,14,14,16,1,10,0,1,0,2,,,"P03704-001","P03704-003","P03704-002",9,4,2,2,2,1,14,2,,1,2551.70141601563
"H03705-04-01",1,10,10,3,10,14,14,14,1,60,60,2,5,1,2,2000,"P03705-005","Z02","Z04",1,2,8,1,1,5,13,2,,2,2551.70141601563
"H03706-04-01",1,10,10,3,10,12,14,16,2,60,1,4.80000019073486,5,2,,,"P03706-003","P03706-004",,2,2,2,2,2,1,12,2,,1,2551.70141601563
"H03707-04-01",1,10,10,5,10,12,14,14,1,20,20,0.25,4,2,,,"P03707-005","P03707-006","P03707-011",1,2,2,1,2,5,13,2,,1,1275.85070800781
"H03707-04-02",2,15,16,1,10,12,14,14,6,4,2,0.25,3,1,2,1000,"P03707-013",,,1,2,8,1,2,5,12,1,5,1,1275.85070800781
"H03709-04-01",1,10,10,3,10,14,14,14,1,30,5,1,2,2,,,"P03709-003","P03709-004","P03709-001",1,2,1,1,2,5,13,2,,2,2551.70141601563
"H03711-04-02",1,10,10,1,10,12,14,14,2,30,5,0.800000011920929,2,2,,,"P03711-006","P03711-008",,2,4,3,1,2,2,13,2,,1,637.925354003906
"H03711-04-03",1,15,15,1,10,12,13,14,6,3,20,0.200000002980232,3,2,,,"P03711-002","P03711-003",,1,2,2,1,1,5,12,1,2,1,637.925354003906
"H03711-04-04",1,10,10,2,10,14,14,14,6,60,2,2,5,2,,,"P03711-024","P03711-025","P03711-011",1,2,2,2,1,5,13,2,,1,637.925354003906
"H03804-04-01",1,10,15,1,10,12,13,18,,,,,1,2,,,"Z01",,,1,8,8,1,,5,12,1,4,1,2551.70141601563
"H03807-04-01",1,10,10,3,10,12,13,16,6,3,1,0.400000005960464,5,2,,,"P03807-005","P03807-006",,2,2,1,1,2,5,12,1,7,1,2551.70141601563
"H03809-04-01",1,10,10,3,10,12,13,14,2,15,20,0.300000011920929,5,2,,,"P03809-003","P03809-004","P03809-010",1,2,2,1,2,2,11,2,,2,2551.70141601563
"H03810-04-01",1,10,10,1,10,12,13,14,6,8,4,0.300000011920929,5,2,,,"P03810-010",,,9,2,2,2,2,5,12,2,,1,2551.70141601563
"H03811-04-01",1,12,12,1,10,11,13,12,6,3,0,0.5,3,2,,,"P03811-002","P03811-003","P03811-004",1,2,2,1,2,5,10,2,,1,2551.70141601563
"H03813-04-01",1,15,15,2,10,12,13,15,,5,10,0.100000001490116,5,1,1,9000,"P03813-002","P03813-003","P03813-001",1,2,2,1,,5,12,1,15,1,2551.70141601563
"H03901-04-01",1,15,16,1,10,12,13,18,,,,,1,1,1,15000,"Z01",,,9,4,2,2,,1,14,1,7,1,2551.70141601563
"H03902-04-01",1,10,10,2,10,12,10,16,1,10,3,0.5,2,2,,,"P03902-002","P03902-007",,1,4,2,2,2,5,13,2,,1,2551.70141601563
"H03903-04-01",1,10,12,4,10,16,14,12,2,40,6,0.600000023841858,4,2,,,"P03903-001","P03903-007","P03903-008",2,2,2,1,2,2,12,2,,1,2551.70141601563
"H03906-04-01",1,16,10,1,15,16,14,16,1,3,20,0.100000001490116,2,2,,,"P03906-002","P03906-006","P03906-001",2,4,2,2,2,1,17,,,,2551.70141601563
"H03907-04-01",1,10,10,3,10,12,13,21,,,,,4,2,,,,,,1,2,5,1,,2,12,1,1,1,2551.70141601563
"H03908-04-01",1,10,10,1,10,12,13,18,,,,,3,1,1,18000,"Z03",,,1,2,2,1,,1,12,1,2,1,2551.70141601563
"H03909-04-01",1,10,10,2,10,12,13,14,96,10,30,0.5,5,1,2,5000,"P03909-002","P03909-005","P03909-006",1,2,2,1,2,8,13,1,3,2,1275.85070800781
"H03909-04-02",1,10,10,2,10,12,13,14,96,7,25,0.25,5,2,,,"P03909-029","P03909-028","P03909-031",1,2,1,1,1,8,12,2,,2,1275.85070800781
"H03910-04-01",2,10,10,4,10,12,10,13,,,,,10,2,,,,,,2,4,2,2,,5,12,2,,1,2551.70141601563
"H04001-04-01",1,10,10,3,10,12,13,14,1,5,5,0.125,2,2,,,"P04001-007","P04001-005","P04001-006",2,2,2,1,1,5,13,2,,1,2551.70141601563
"H04002-04-01",1,10,12,3,10,12,13,14,6,10,15,0.25,3,2,,,"P04002-009","P04002-002","P04002-006",1,2,8,1,2,2,12,2,,1,2551.70141601563
"H04003-04-01",1,10,10,2,10,12,13,14,6,4,3,0.300000011920929,5,2,,,"P04003-006","P04003-007","P04003-008",1,2,5,1,1,5,12,2,,2,850.567138671875
"H04003-04-03",1,15,15,1,10,12,13,22,,,,,1,1,1,30000,,,,2,4,8,1,,5,11,1,2,1,850.567138671875
"H04004-04-01",1,10,10,2,10,12,14,14,6,30,15,0.25,3,2,,,"P04004-002","P04004-003",,1,2,1,1,1,2,12,2,,3,2551.70141601563
"H04005-04-01",2,16,10,2,15,16,14,14,1,5,0,0.125,2,2,,,"P04005-003","P04005-014","P04005-015",1,2,1,1,1,5,13,2,,1,2551.70141601563
"H04006-04-01",1,10,10,1,15,16,14,14,2,2,6,0.125,1,2,,,"P04006-001",,,1,4,2,2,2,2,15,2,,1,2551.70141601563
"H04007-04-01",1,10,10,1,10,14,14,14,1,10,5,1,1,2,,,"P04007-002","P04007-001",,1,2,2,1,2,5,12,2,,1,2551.70141601563
"H04009-04-01",1,10,12,1,10,16,14,14,96,60,10,1.5,3,2,,,"P04009-001",,,1,2,1,1,1,5,14,2,,1,2551.70141601563
"H04010-04-01",1,10,10,3,15,16,14,14,2,30,7,2,10,2,,,"P04010-005","P04010-007","P04010-008",2,2,2,2,2,2,12,2,,2,1275.85070800781
"H04010-04-02",3,15,16,1,10,12,13,12,2,10,2,0.200000002980232,1,1,1,3000,"P04010-004",,,2,2,5,1,1,5,12,2,,1,1275.85070800781
"H04011-04-01",2,10,10,2,10,12,10,14,2,10,5,0.5,3,2,,,"P04011-003","P04011-004","P04011-006",2,2,1,1,2,2,11,2,,2,1275.85070800781
"H04011-04-02",2,15,14,1,10,12,13,11,,,,,1,2,,,,,,2,2,2,1,,5,12,2,,2,1275.85070800781
"H04201-04-01",1,10,10,3,10,12,14,14,1,10,20,0.5,5,2,,,"P04201-003","P04201-004","P04201-005",1,2,2,1,3,2,13,2,,1,2551.70141601563
"H04202-04-01",1,15,11,1,13,12,13,14,5,60,20,1,3,1,1,33600,"Z01","Z01","Z01",1,2,2,1,3,2,12,1,1,1,2551.70141601563
"H04203-04-01",1,10,10,3,10,12,13,18,,,,,3,1,8,24000,"Z01",,,9,2,2,1,,1,12,2,,1,2551.70141601563
"H04204-04-01",1,10,10,4,10,13,14,14,1,40,5,1,5,1,2,1000,"P04204-001","P04204-004","P04204-021",1,4,2,2,2,5,13,2,,1,2551.70141601563
"H04205-04-01",1,10,10,1,10,12,14,14,6,4,2,1.5,3,2,,,"Z01",,,1,4,2,2,2,2,14,2,,1,2551.70141601563
"H04206-04-01",1,10,10,1,10,16,14,14,4,60,20,1.60000002384186,1,2,,,"Z01",,,9,4,2,2,2,3,15,2,,2,2551.70141601563
"H04207-04-01",1,10,10,4,10,12,13,14,5,20,1,0.5,60,1,2,500,"Z01",,,1,2,1,1,1,5,12,2,,1,2551.70141601563
"H04208-04-01",1,10,12,1,10,12,14,14,1,40,10,1.5,1.5,2,,,"P04208-012",,,2,4,2,2,2,1,13,2,,1,1275.85070800781
"H04208-04-02",1,10,10,2,10,12,14,14,1,60,15,0.5,5,2,,,"P04208-003","P04208-004","P04208-005",1,4,2,2,2,1,13,2,,1,1275.85070800781
"H04209-04-01",1,10,10,4,10,16,14,14,5,25,30,0.400000005960464,6,2,,,"P04209-010","P04209-005","P04209-013",1,2,2,2,2,2,12,2,,1,2551.70141601563
"H04210-04-01",1,15,15,1,10,12,14,14,4,30,30,0.800000011920929,5,2,,,"P04210-001","P04210-002",,9,4,2,1,2,3,13,1,4,2,2551.70141601563
"H04501-04-01",2,10,12,2,10,12,13,12,2,2,1,0.200000002980232,40,1,1,6000,"P04501-002","P04501-004","P04501-003",2,2,2,1,1,5,12,2,,2,2792.466796875
"H04505-04-01",1,10,10,2,10,12,13,11,,,,,3,1,1,10000,,,,1,2,2,1,,5,12,2,,1,2792.466796875
"H04508-04-02",1,10,10,1,10,12,13,12,4,5,6,0.200000002980232,2,1,1,15000,"P04508-011","P04508-003",,2,2,1,1,2,2,12,1,4,1,698.11669921875
"H04508-04-03",1,15,10,4,10,12,13,12,6,5,2,0,5,1,1,6000,"P04508-010","P04508-015","P04508-016",2,2,2,1,1,3,12,2,,2,698.11669921875
"H04508-04-04",2,15,16,1,10,12,13,12,6,2,2,0,0.0199999995529652,2,,,"P04508-022",,,2,2,2,1,9,5,12,1,2,1,698.11669921875
"H04509-04-01",1,10,10,2,10,12,13,10,,,,,3,1,1,10000,,,,2,2,1,1,,5,12,2,,2,2792.466796875
"H04602-04-01",1,10,10,3,10,13,14,15,,30,5,0.800000011920929,3,2,,,"P04602-005","P04602-007","P04602-006",2,2,2,1,,2,12,2,,1,2792.466796875
"H04603-04-01",1,10,10,3,10,12,14,14,1,10,5,0.5,3,2,,,"P04603-014","P04603-006","P04603-002",2,2,2,1,2,5,12,2,,1,2792.466796875
"H04604-04-01",1,10,10,3,10,16,14,14,1,25,10,0.5,10,1,2,10000,"Z03",,,1,2,5,1,1,1,13,2,,2,2792.466796875
"H04606-04-01",1,10,10,3,10,12,14,15,,60,10,0.5,3,2,,,"P04606-011","P04606-012","P04606-015",2,2,2,1,,5,13,2,,1,1396.2333984375
"H04606-04-02",1,10,10,4,10,12,13,16,96,20,6,0.5,5,2,,,"P04606-029","P04606-023","P04606-024",2,2,2,2,2,8,13,2,,1,1396.2333984375
"H04607-04-01",1,10,10,3,10,14,14,16,3,10,2,0.5,10,2,,,"P04607-004","P04607-006",,2,2,2,1,2,8,15,2,,1,2792.466796875
"H04608-04-01",1,10,10,6,10,12,14,14,1,60,5,0.75,10,2,,,"P04608-001","P04608-002","P04608-004",1,4,2,2,1,5,13,2,,1,2792.466796875
"H04609-04-01",1,10,10,3,10,14,14,14,4,80,120,5,5,2,,,"P04609-006","P04609-004","P04609-008",1,2,2,2,2,3,13,2,,1,2792.466796875
"H04610-04-01",1,10,10,3,10,16,14,14,4,40,20,0.5,5,2,,,"P04610-002",,,9,2,2,2,2,3,13,2,,1,930.822265625
"H04610-04-02",2,10,15,2,10,12,14,14,4,10,5,1,2,2,,,"P04610-005",,,9,4,2,1,9,2,13,2,,1,930.822265625
"H04610-04-03",1,15,15,1,10,12,14,14,6,30,10,0.25,1,2,,,"P04610-003",,,9,2,2,1,2,3,13,1,4,2,930.822265625
"H04801-04-01",1,15,11,1,10,12,13,14,5,5,3,2,6,2,,,"P04801-001",,,2,2,2,1,1,2,12,1,2,1,2792.466796875
"H04802-04-01",2,10,12,2,10,16,14,14,6,15,0,0.25,2,2,,,"P04802-002","P04802-001",,1,4,2,2,2,2,13,2,,1,930.822265625
"H04802-04-02",1,10,12,2,10,12,14,15,,10,0,0.25,2,2,,,"P04802-004","P04802-006","P04802-013",2,2,2,2,,1,13,2,,1,930.822265625
"H04802-04-03",1,15,16,1,10,12,13,11,,,,,2,1,1,18000,,,,2,2,2,1,,3,12,1,2,1,930.822265625
