"HHID","ACrop2_ID","parcelID","plotID","cropID","cropID_other","a4bq6_1","a4bq7","a4bq8","a4bq9","a4bq9_1","a4bq9_2","a4bq16","a4bq11a","a4bq11b","a4bq12a","a4bq12b","a4bq13","a4bq14","a4bq10","a4bq15","hh","wgt_X"
36010401,5,1,4,620,,3601009,0.125,1,,10,14,2,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,6,1,5,742,,3601009,0.5,1,,99,1,2,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,7,1,6,630,,3601009,0.125,1,,99,13,2,,,,,,,,,"H03601-04-01",2551.70141601563
36020404,2,1,1,812,,3602001,0.75,2,30,99,1,2,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,3,1,1,210,,3602001,0.75,2,30,8,14,1,10,1,25,1,1,,2,,"H03602-04-04",2551.70141601563
36020404,1,1,1,741,,3602001,0.75,2,40,99,1,2,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,4,1,2,630,,3602001,0.5,1,,99,13,2,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,5,1,3,310,,3602001,0.75,2,50,8,14,1,9,1,20,1,1,,2,,"H03602-04-04",2551.70141601563
36020404,6,1,3,130,,3602001,0.75,2,50,8,14,1,5,1,10,1,1,,2,,"H03602-04-04",2551.70141601563
36020404,7,2,4,210,,3602001,1,1,,9,14,1,12,1,,,1,,2,,"H03602-04-04",2551.70141601563
36020404,8,2,5,130,,3602001,1,1,,9,14,1,20,1,,,1,,2,,"H03602-04-04",2551.70141601563
36030405,2,1,1,812,,3603001,0.5,2,20,1,11,2,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,1,1,1,741,,3603001,0.5,2,80,1,4,2,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,3,1,2,812,,3603001,0.25,1,,99,10,2,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,4,1,3,630,,3603001,0.5,2,40,99,14,2,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,5,1,3,210,,3603001,0.5,2,30,8,14,1,25,1,35,1,1,,2,,"H03603-04-05",2551.70141601563
36030405,6,1,3,130,,3603001,0.5,2,30,9,14,1,2,1,5,1,2,2,2,,"H03603-04-05",2551.70141601563
36030405,7,1,4,620,,3603001,0.200000002980232,1,,12,14,2,,,,,,,,,"H03603-04-05",2551.70141601563
36040404,2,1,1,630,,3604003,1,2,20,99,14,2,,,,,,,,,"H03604-04-04",850.567138671875
36040404,1,1,1,130,,3604003,1,2,80,8,14,1,15,1,30,1,1,,2,,"H03604-04-04",850.567138671875
36040404,4,1,2,130,,3604003,0.5,2,20,8,14,1,5,1,10,1,1,,2,,"H03604-04-04",850.567138671875
36040404,3,1,2,210,,3604003,0.5,2,80,8,14,1,10,1,20,1,1,,2,,"H03604-04-04",850.567138671875
36040404,5,1,3,741,,3604003,0.25,2,60,99,1,2,,,,,,,,,"H03604-04-04",850.567138671875
36040404,6,1,3,812,,3604003,0.25,2,40,99,1,2,,,,,,,,,"H03604-04-04",850.567138671875
36040404,7,1,4,620,,3604003,0.125,1,,9,14,2,,,,,,,,,"H03604-04-04",850.567138671875
36040408,1,1,1,130,,3604023,1,1,,8,14,1,1,20,,,1,,2,,"H03604-04-08",850.567138671875
36040408,2,1,2,210,,3604023,0.25,1,,8,14,1,1,20,,,1,,2,,"H03604-04-08",850.567138671875
36040408,4,1,3,222,,3604023,0.125,2,30,8,14,1,0.5,1,5,1,1,,1,1500,"H03604-04-08",850.567138671875
36040408,3,1,3,310,,3604023,0.125,2,70,8,14,1,2,1,5,1,1,,1,4000,"H03604-04-08",850.567138671875
36040408,5,1,4,620,,3604023,0.125,1,,9,14,2,,,,,,,,,"H03604-04-08",850.567138671875
36040408,8,2,5,630,,3604023,1,2,10,99,13,2,,,,,,,,,"H03604-04-08",850.567138671875
36040408,7,2,5,812,,3604023,1,2,30,99,5,2,,,,,,,,,"H03604-04-08",850.567138671875
36040408,6,2,5,741,,3604023,1,2,70,99,5,2,,,,,,,,,"H03604-04-08",850.567138671875
36040409,1,1,1,630,,3604032,0.25,1,,1,14,2,,,,,,,,,"H03604-04-09",850.567138671875
36040409,2,2,2,130,,3604032,1.5,1,,8,14,1,,,,,,,,,"H03604-04-09",850.567138671875
36050402,1,1,1,741,,3605002,0.25,2,30,1,1,2,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,2,1,1,812,,3605002,0.25,2,70,1,1,2,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,3,1,2,210,,3605002,0.25,2,90,8,14,1,5,1,10,1,1,,2,,"H03605-04-02",2551.70141601563
36050402,4,1,2,130,,3605002,0.25,2,10,8,14,1,2,1,4,1,1,,2,,"H03605-04-02",2551.70141601563
36050402,5,1,2,630,,3605002,25,2,5,1,14,1,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,6,2,3,741,,3605002,0.5,1,,1,1,2,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,7,2,4,210,,3605002,2.5,2,40,8,14,1,10,1,20,1,1,,2,,"H03605-04-02",2551.70141601563
36050402,8,2,5,130,,3605002,2.5,2,60,8,14,1,6,1,12,1,1,,2,,"H03605-04-02",2551.70141601563
36050402,9,3,6,130,,3605002,1,1,,8,14,1,20,1,,,1,,1,6000,"H03605-04-02",2551.70141601563
36070401,1,1,1,741,,3607001,3,2,55,99,1,2,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,3,1,1,812,,3607001,3,2,25,99,1,2,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,2,1,1,744,,3607001,3,2,20,99,1,2,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,4,1,2,620,,3607001,0.5,1,,10,14,2,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,5,1,3,130,,3607001,0.5,1,,8,14,1,10,1,,,1,,2,,"H03607-04-01",2551.70141601563
36070401,7,1,4,630,,3607001,1,2,40,99,13,2,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,6,1,4,210,,3607001,1,2,60,8,14,1,20,1,30,1,1,,2,,"H03607-04-01",2551.70141601563
36080401,1,1,1,210,,3608001,1,1,,8,14,1,1,20,,,1,,2,,"H03608-04-01",2551.70141601563
36080401,2,2,2,130,,3608001,1,1,,8,14,1,7.5,1,,,1,,2,,"H03608-04-01",2551.70141601563
36080401,3,2,3,610,,3608001,0.25,1,,9,14,1,2,20,,,1,,1,24000,"H03608-04-01",2551.70141601563
37040401,6,1,1,130,,3704001,0.75,2,5,9,14,1,1,1,5,1,1,,2,,"H03704-04-01",2551.70141601563
37040401,4,1,1,640,,3704001,0.75,2,10,99,6,2,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,2,1,1,812,,3704001,0.75,2,40,99,6,2,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,3,1,1,741,,3704001,0.75,2,10,99,12,2,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,1,1,1,630,,3704001,0.75,2,30,99,6,2,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,5,1,1,210,,3704001,0.75,2,5,9,14,1,1,1,3,1,1,,2,,"H03704-04-01",2551.70141601563
37040401,7,1,2,620,,3704001,0.25,1,,9,14,2,,,,,,,,,"H03704-04-01",2551.70141601563
37050401,2,1,1,811,,3705002,1.25,2,60,1,1,2,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,1,1,1,741,,3705002,1.25,2,40,3,7,2,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,3,1,2,620,,3705002,0.25,1,,5,14,2,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,6,1,3,630,,3705002,0.75,2,40,8,13,2,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,4,1,3,210,,3705002,0.75,2,30,9,14,1,20,1,60,,1,,2,,"H03705-04-01",2551.70141601563
37050401,5,1,3,130,,3705002,0.75,2,30,9,14,1,10,1,35,,1,,2,,"H03705-04-01",2551.70141601563
37050401,7,1,4,310,,3705002,0.125,1,,9,14,1,1,20,,,1,,2,,"H03705-04-01",2551.70141601563
37050401,8,1,5,610,,3705002,0.125,2,,8,14,1,0.5,20,5,20,1,,2,,"H03705-04-01",2551.70141601563
37060401,1,1,1,812,,3706002,2,2,90,99,1,2,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,2,1,1,741,,3706002,2,2,10,1,1,2,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,3,1,2,210,,3706002,0.5,2,60,9,14,1,4,1,6,1,1,,2,,"H03706-04-01",2551.70141601563
37060401,4,1,2,130,,3706002,0.5,2,40,9,14,1,2,1,4,1,1,,2,,"H03706-04-01",2551.70141601563
37060401,5,1,3,630,,3706002,0.5,2,30,2,14,2,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,6,1,3,620,,3706002,0.5,2,70,10,14,2,,,,,,,,,"H03706-04-01",2551.70141601563
37070401,1,1,1,811,,3707002,1,1,,99,1,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,4,2,2,210,,3707002,0.75,2,10,9,14,1,10,1,50,1,1,,2,,"H03707-04-01",1275.85070800781
37070401,2,2,2,741,,3707002,0.75,2,50,99,6,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,5,2,2,630,,3707002,0.75,2,10,99,13,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,3,2,2,812,,3707002,0.75,2,30,99,1,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,6,2,3,620,,3707002,0.25,1,,9,14,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,7,3,4,210,,3707002,0.25,2,80,9,14,1,20,1,70,1,1,,2,,"H03707-04-01",1275.85070800781
37070401,9,3,4,630,,3707002,0.25,2,20,99,13,2,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,10,3,5,130,,3707002,0.75,1,,9,14,1,1,20,,,1,,2,,"H03707-04-01",1275.85070800781
37090401,3,1,1,210,,3709001,0.75,2,,,,1,10,1,20,1,1,,2,,"H03709-04-01",2551.70141601563
37090401,5,1,1,310,,3709001,0.75,2,,,,1,3,1,10,1,1,,1,12000,"H03709-04-01",2551.70141601563
37090401,1,1,1,630,,3709001,0.75,2,40,1,13,2,,,,,,,,,"H03709-04-01",2551.70141601563
37090401,4,1,1,130,,3709001,0.75,2,,,,1,4,1,0,,1,,2,,"H03709-04-01",2551.70141601563
37090401,2,1,1,741,,3709001,0.75,2,20,99,12,2,,,,,,,,,"H03709-04-01",2551.70141601563
37090401,6,1,2,620,,3709001,0.25,2,,,,2,,,,,,,,,"H03709-04-01",2551.70141601563
37110402,1,1,1,741,,3711006,1.5,2,40,3,14,2,,,,,,,,,"H03711-04-02",637.925354003906
37110402,2,1,1,811,,3711006,1.5,2,60,3,12,2,,,,,,,,,"H03711-04-02",637.925354003906
37110402,3,1,2,130,,3711006,1,1,,9,14,1,10,1,,,1,,2,,"H03711-04-02",637.925354003906
37110402,4,1,3,742,,3711006,0.5,1,,3,5,2,,,,,,,,,"H03711-04-02",637.925354003906
37110403,1,1,1,130,,3711002,1,1,,8,14,1,7,1,,,1,,2,,"H03711-04-03",637.925354003906
38070401,1,1,1,210,,3807005,0.25,2,50,9,14,1,2,1,4,1,1,,2,,"H03807-04-01",2551.70141601563
38070401,2,1,1,130,,3807005,0.25,2,50,9,14,1,1,1,2,1,1,,2,,"H03807-04-01",2551.70141601563
38070401,3,1,2,640,,3807005,0.25,1,,6,14,2,,,,,,,,,"H03807-04-01",2551.70141601563
38070401,4,1,3,620,,3807005,0.25,2,80,10,14,2,,,,,,,,,"H03807-04-01",2551.70141601563
38070401,5,1,3,630,,3807002,0.25,2,20,9,14,2,,,,,,,,,"H03807-04-01",2551.70141601563
38090401,1,1,1,741,,3809002,0.25,1,,99,13,2,,,,,,,,,"H03809-04-01",2551.70141601563
38090401,2,1,2,130,,3809002,0.25,1,,8,14,1,5,1,,,1,,2,,"H03809-04-01",2551.70141601563
38090401,3,1,3,210,,3809002,0.25,1,,8,14,1,10,1,,,1,,2,,"H03809-04-01",2551.70141601563
38090401,4,1,4,630,,3809002,0.25,1,,99,13,2,,,,,,,,,"H03809-04-01",2551.70141601563
38100401,2,1,1,130,,3810010,0.0199999995529652,2,50,8,14,,,,,,,,,,"H03810-04-01",2551.70141601563
38100401,1,1,1,210,,3810010,0.0199999995529652,2,50,9,14,1,1,1,1,1,1,,2,,"H03810-04-01",2551.70141601563
38100401,4,2,2,210,,3810010,1,2,30,9,14,1,5,1,35,1,1,,1,1000,"H03810-04-01",2551.70141601563
38100401,3,2,2,130,,3810010,1,2,70,9,14,1,20,1,30,1,1,,1,12000,"H03810-04-01",2551.70141601563
39020401,2,1,1,811,,3902002,0.300000011920929,2,50,10,11,2,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,1,1,1,741,,3902002,0.300000011920929,2,50,99,12,2,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,5,1,2,630,,3902002,0.400000005960464,2,30,3,14,2,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,3,1,2,210,,3902002,0.400000005960464,2,30,8,14,1,4,1,7,1,1,,2,,"H03902-04-01",2551.70141601563
39020401,4,1,2,130,,3902002,0.400000005960464,2,40,8,14,1,2,1,4,1,1,,2,,"H03902-04-01",2551.70141601563
39020401,6,1,3,620,,3902002,0.100000001490116,1,,11,14,2,,,,,,,,,"H03902-04-01",2551.70141601563
39030401,3,1,1,812,,3903003,1,2,10,99,1,2,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,1,1,1,741,,3903003,1,2,70,99,10,2,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,2,1,1,744,,3903003,1,2,20,99,10,2,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,6,1,2,130,,3903003,0.400000005960464,2,30,8,14,1,1,1,2,1,1,,2,,"H03903-04-01",2551.70141601563
39030401,4,1,2,630,,3903003,0.400000005960464,2,40,3,14,2,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,5,1,2,210,,3903003,0.400000005960464,2,30,8,14,1,3,1,4,1,1,,2,,"H03903-04-01",2551.70141601563
39030401,7,1,3,630,,3903003,0.600000023841858,1,,10,14,2,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,8,2,4,130,,3903003,0.25,2,60,8,14,1,2,1,2.5,1,1,,2,,"H03903-04-01",2551.70141601563
39030401,9,2,4,630,,3903003,0.25,2,40,6,14,2,,,,,,,,,"H03903-04-01",2551.70141601563
39060401,1,1,1,741,,3906001,0.100000001490116,2,40,99,10,2,,,,,,,,,"H03906-04-01",2551.70141601563
39060401,2,1,1,130,,3906001,0.400000005960464,2,60,8,14,1,4,1,7,1,1,,2,,"H03906-04-01",2551.70141601563
39060401,3,1,2,811,,3906001,0.400000005960464,1,,99,1,2,,,,,,,,,"H03906-04-01",2551.70141601563
39070401,2,1,1,210,,3907002,0.200000002980232,2,70,8,14,1,4,1,,,1,,2,,"H03907-04-01",2551.70141601563
39070401,1,1,1,741,,3907002,0.200000002980232,2,30,99,6,2,,,,,,,,,"H03907-04-01",2551.70141601563
39070401,3,1,2,620,,3907002,0.400000005960464,1,,9,14,2,,,,,,,,,"H03907-04-01",2551.70141601563
39070401,4,1,3,223,,3907002,0.100000001490116,1,,9,14,1,1.5,1,,,1,,2,,"H03907-04-01",2551.70141601563
39080401,1,1,1,630,,3908002,0.100000001490116,1,,9,14,2,,,,,,,,,"H03908-04-01",2551.70141601563
39080401,2,1,2,620,,3908002,0.100000001490116,1,,8,14,2,,,,,,,,,"H03908-04-01",2551.70141601563
39090401,2,1,1,210,,3909001,0.25,2,20,8,14,1,1.5,20,2,20,1,,2,,"H03909-04-01",1275.85070800781
39090401,3,1,1,130,,3909001,0.25,2,30,8,14,1,4,99,10,99,1,,2,,"H03909-04-01",1275.85070800781
39090401,4,1,1,811,,3909001,0.25,2,20,,,2,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,5,1,1,620,,3909001,0.25,2,20,9,14,2,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,1,1,1,741,,3909001,0.25,2,10,,,2,,,,,,,,,"H03909-04-01",1275.85070800781
39090402,1,1,1,741,,3909026,1.5,2,30,99,4,2,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,2,1,1,811,,3909026,1.5,2,70,99,1,2,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,3,1,2,210,,3909026,1.20000004768372,2,40,8,14,1,6,1,15,1,1,,2,,"H03909-04-02",1275.85070800781
39090402,4,1,2,130,,3909026,1.20000004768372,2,60,8,14,1,5,1,10,1,1,,2,,"H03909-04-02",1275.85070800781
39090402,5,3,4,620,,3909026,0.5,1,,9,14,2,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,7,3,5,630,,3909026,0.5,2,50,2,13,2,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,6,3,5,130,,3909026,0.5,2,50,8,14,1,5,1,13,1,1,,2,,"H03909-04-02",1275.85070800781
39100401,1,1,1,811,,3910001,0.5,1,,2,13,2,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,2,1,2,620,,3910001,1.5,1,,7,14,1,3,12,,,1,,2,,"H03910-04-01",2551.70141601563
39100401,3,2,4,630,,3910001,3,1,,8,13,2,,,,,,,,,"H03910-04-01",2551.70141601563
39100401,5,3,5,210,,3910001,1,2,30,8,14,1,2.5,20,5,20,1,,2,,"H03910-04-01",2551.70141601563
39100401,4,3,5,741,,3910001,1,2,70,9,14,1,300,85,340,85,2,1,2,,"H03910-04-01",2551.70141601563
40010401,1,1,1,130,,4001002,1,2,60,8,14,1,8,1,15,1,2,3,2,,"H04001-04-01",2551.70141601563
40010401,2,1,1,480,,4001002,1,2,40,8,14,1,1,1,3,1,2,1,1,5000,"H04001-04-01",2551.70141601563
40010401,3,2,2,741,,4001002,1.5,1,,3,8,2,,,,,,,,,"H04001-04-01",2551.70141601563
40010401,5,2,3,741,,4001002,1,2,60,8,14,1,,,,,1,,2,,"H04001-04-01",2551.70141601563
40010401,6,2,3,630,,4001002,0.100000001490116,2,125,8,14,2,,,,,,,,,"H04001-04-01",2551.70141601563
40010401,4,2,3,210,,4001002,1,2,75,3,14,1,10,1,15,1,1,,2,,"H04001-04-01",2551.70141601563
40020401,1,1,1,620,,4002002,0.25,1,,10,14,2,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,2,1,2,630,,4002002,0.25,2,90,5,14,2,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,3,1,2,130,,4002002,0.25,2,10,8,14,1,1,1,1,1,1,,2,,"H04002-04-01",2551.70141601563
40020401,4,2,3,741,,4002002,0.5,2,50,8,13,2,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,5,2,3,630,,4002002,0.5,2,40,8,13,2,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,6,2,4,130,,4002002,0.25,1,,8,14,1,7,1,,,1,,2,,"H04002-04-01",2551.70141601563
40020401,7,3,5,210,,4002002,0.25,1,,8,14,1,12,1,,,1,,2,,"H04002-04-01",2551.70141601563
40030401,1,2,1,130,,4003002,0.5,1,,8,14,1,5,1,,,1,,2,,"H04003-04-01",850.567138671875
40030401,2,2,2,630,,4003002,1,1,,3,14,2,,,,,,,,,"H04003-04-01",850.567138671875
40030401,3,3,3,630,,4003002,0.5,1,,5,14,2,,,,,,,,,"H04003-04-01",850.567138671875
40030401,4,4,4,741,,4003002,6,2,20,1,1,2,,,,,,,,,"H04003-04-01",850.567138671875
40030401,5,4,4,812,,4003002,6,2,80,1,1,2,,,,,,,,,"H04003-04-01",850.567138671875
40040401,2,1,1,812,,4004001,0.5,2,25,1,14,2,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,1,1,1,741,,4004001,0.5,2,75,1,1,2,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,5,2,2,130,,4004001,0.5,2,45,8,14,1,2.5,1,5,1,1,,2,,"H04004-04-01",2551.70141601563
40040401,4,2,2,630,,4004001,0.5,2,20,4,14,2,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,3,2,2,210,,4004001,0.5,2,35,8,14,1,5,1,,,1,,2,,"H04004-04-01",2551.70141601563
40040401,6,3,3,130,,4004001,0.25,1,,8,14,1,2,1,,,1,,2,,"H04004-04-01",2551.70141601563
40050401,2,1,1,741,,4005015,0.5,2,40,99,14,2,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,1,1,1,812,,4005015,0.5,2,60,99,1,2,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,3,1,2,130,,4005015,0.400000005960464,1,,8,14,1,9,1,,,1,,2,,"H04005-04-01",2551.70141601563
40050401,4,1,3,210,,4005015,0.400000005960464,2,45,8,14,1,3,1,10,1,1,,2,,"H04005-04-01",2551.70141601563
40050401,5,1,3,630,,4005015,0.100000001490116,2,60,99,13,2,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,6,1,4,620,,4005015,0.125,1,,8,14,2,,,,,,,,,"H04005-04-01",2551.70141601563
40050401,7,2,5,620,,4005015,0.5,1,,8,14,2,,,,,,,,,"H04005-04-01",2551.70141601563
40070401,2,1,1,812,,4007001,0.5,2,40,99,1,2,,,,,,,,,"H04007-04-01",2551.70141601563
40070401,1,1,1,741,,4007001,0.5,2,60,99,1,2,,,,,,,,,"H04007-04-01",2551.70141601563
40070401,5,1,2,310,,4007001,0.5,2,20,8,14,1,2,1,8,1,1,,2,,"H04007-04-01",2551.70141601563
40070401,3,1,2,130,,4007001,0.5,2,50,8,14,1,5,1,10,1,1,,2,,"H04007-04-01",2551.70141601563
40070401,4,1,2,210,,4007001,0.5,2,30,8,14,1,5,1,15,1,1,,2,,"H04007-04-01",2551.70141601563
40070401,6,1,3,620,,4007001,0.5,1,,8,14,2,,,,,,,,,"H04007-04-01",2551.70141601563
40100401,3,1,1,630,,4010001,1,2,10,9,14,2,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,1,1,1,741,,4010001,1,2,30,3,11,2,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,2,1,1,812,,4010001,1,2,50,3,5,2,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,4,1,1,720,,4010001,1,2,5,1,4,2,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,5,1,1,650,,4010001,1,2,5,3,14,,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,7,2,2,130,,4010001,1.5,2,70,9,14,1,12,1,18,,1,,2,,"H04010-04-01",1275.85070800781
40100401,6,2,2,630,,4010001,1.5,2,30,3,14,2,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,9,3,3,742,,4010001,1,2,30,8,6,,,,,,,,,,"H04010-04-01",1275.85070800781
40100401,8,3,3,812,,4010001,1,2,70,3,9,,,,,,,,,,"H04010-04-01",1275.85070800781
40110401,1,1,1,741,,4011001,0.25,1,,2,12,2,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,2,1,2,620,,4011001,0.5,1,,4,14,2,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,3,1,3,640,,4011001,0.5,1,,6,14,2,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,6,1,4,130,,4011001,0.25,2,40,7,14,1,2,1,4,1,1,,2,,"H04011-04-01",1275.85070800781
40110401,4,1,4,630,,4011001,0.25,2,20,4,14,2,,,,,,,,,"H04011-04-01",1275.85070800781
40110401,5,1,4,210,,4011001,0.25,2,50,7,14,1,6,1,12,1,1,,2,,"H04011-04-01",1275.85070800781
42010401,1,1,1,210,,4201001,0.5,2,60,8,14,1,13,1,20,1,1,,2,,"H04201-04-01",2551.70141601563
42010401,2,1,1,130,,4201001,0.5,2,40,8,14,1,8,1,9,1,1,,2,,"H04201-04-01",2551.70141601563
42010401,3,1,2,620,,4201001,0.25,1,,8,14,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,5,1,3,741,,4201001,1,2,50,99,1,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,6,1,3,630,,4201001,1,2,30,4,14,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,4,1,3,812,,4201001,1,2,20,99,1,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,7,2,4,620,,4201001,0.375,1,,7,14,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,8,2,6,210,,4201001,0.125,1,,8,14,1,4,1,,,1,,2,,"H04201-04-01",2551.70141601563
42010401,9,3,7,741,,4201001,0.5,2,60,99,1,2,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,10,3,7,812,,4201001,0.5,2,40,99,1,2,,,,,,,,,"H04201-04-01",2551.70141601563
42020401,1,1,1,620,,4202001,0.061999998986721,1,,3,14,2,,,,,,,,,"H04202-04-01",2551.70141601563
42020401,3,1,2,130,,4202001,0.187999993562698,2,40,8,14,1,4,11,6,1,1,,1,2000,"H04202-04-01",2551.70141601563
42020401,2,1,2,210,,4202001,0.187999993562698,2,60,8,14,1,10,1,10,1,1,,1,4000,"H04202-04-01",2551.70141601563
42030401,2,1,1,812,,4203002,0.25,2,40,99,1,2,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,1,1,1,741,,4203002,0.25,2,60,99,1,2,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,8,2,5,742,,4203002,1,2,20,4,14,2,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,7,2,5,741,,4203002,1,2,80,99,6,2,,,,,,,,,"H04203-04-01",2551.70141601563
