"HHID","AGroup_ID","a7aq1","a7bq1a","a7bq1b","a7bq1c","a7bq2a","a7bq2b","a7bq2c","a7bq2d_1","a7bq2d_2","a7bq2d_3","a7bq2d_4","a7bq2d_5","a7bq2d_6","a7bq2d_7","a7bq2d_8","a7bq2d_9","a7bq2d_10","a7bq2d_11","a7bq2d_12","a7bq2e","a7bq3a","a7bq3b","a7bq3c","a7bq3f","a7abq4","a7abq5a","a7abq5b","a7bq5c_1","a7bq5c_2","a7bq5c_3","a7bq5c_4","a7bq5c_5","a7bq5c_6","a7bq5c_7","a7bq5c_8","a7bq5c_9","a7bq5c_10","a7bq5c_11","a7bq5c_12","a7bq5c_13","a7bq5c_14","a7bq5c_14_other","a7bq5c_15","a7bq5d","a7bq6a","a7bq6b","a7bq6c","a7bq7a","a7bq7b","a7bq7c","a7bq8a","a7bq8b","a7bq8c","hh","wgt_X"
1040401,107,1,2,,,1,2,2,,,,,,,,,,,,,,1,5,5,0,7,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"H00104-04-01",2792.466796875
1040401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00104-04-01",2792.466796875
1040401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00104-04-01",2792.466796875
1100401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,102,1,2,,,1,6,2,,,,,,,,,,,,,,5,5,2,0,2,1,6,"N",,"N",,"N",,"N","N",,,,,"N","N",,"Y",400000,1,6,200000,1,6,100000,3,,,"H00110-04-01",2792.466796875
1100401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,107,1,2,,,1,1,2,,,,,,,,,,,,,,5,5,2,0,2,1,6,,,,,"N",,,,"N","N","N","N","N","N",,"Y",50000,1,6,50000,,,,3,,,"H00110-04-01",2792.466796875
1100401,108,1,2,,,3,6,2,,,,,,,,,,,,,,2,5,2,0,4,1,6,"N",,,,"N",,,,,,,,"N","N",,"N",20000,1,6,10000,1,6,5000,3,,,"H00110-04-01",2792.466796875
1100401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
8010401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,107,1,2,,,3,3,2,,,,,,,,,,,,,,1,1,1,0,2,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"H00801-04-01",1874.79821777344
8010401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
8010401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00801-04-01",1874.79821777344
16070401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,107,1,2,,,1,6,2,,,,,,,,,,,,,,5,1,1,5000,5,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"H01607-04-01",1874.79821777344
16070401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
16070401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01607-04-01",1874.79821777344
21100401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,103,1,2,,,4,4,1,"Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N",700000,5,1,1,100000,2,1,1,,,,,"N",,,,"N","N","N","N","N","N",,"Y",100000,1,1,100000,,,,3,,,"H02110-04-01",1874.79821777344
21100401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21100401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02110-04-01",1874.79821777344
21130401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
21130401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02113-04-01",1874.79821777344
22070401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,107,1,2,,,2,2,2,,,,,,,,,,,,,,2,1,1,0,2,1,6,,,,,"N",,,,"N","Y","N","N","N","N",,"N",3000,2,6,2000,,,,2,6,15000,"H02207-04-01",1874.79821777344
22070401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
22070401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02207-04-01",1874.79821777344
23100401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,104,1,2,,,4,4,2,,,,,,,,,,,,,,3,1,1,0,2,3,,,,,,,,,,,,,,,,,,,1,1,30000,3,,,3,,,"H02310-04-01",1874.79821777344
23100401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,106,1,2,,,5,5,2,,,,,,,,,,,,,,3,1,1,0,2,3,,,,,,,,,,,,,,,,,,,1,1,5000,3,,,3,,,"H02310-04-01",1874.79821777344
23100401,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
27110401,101,1,2,,,2,2,2,,,,,,,,,,,,,,3,6,6,0,4,1,2,"Y","N",,"N","N","N",,,,,,,"N","N",,"N",40000,1,2,15000,3,,,3,,,"H02711-04-01",624.932739257813
27110401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,106,1,2,,,1,1,2,,,,,,,,,,,,,,2,6,6,0,3,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,"H02711-04-01",624.932739257813
27110401,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
30050401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,104,1,1,14,1,3,3,2,,,,,,,,,,,,,,3,4,4,0,3,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,"H03005-04-01",1874.79821777344
30050401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
34080401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,106,1,2,,,2,2,2,,,,,,,,,,,,,,2,2,9,0,2,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,"H03408-04-01",1874.79821777344
34080401,107,1,2,,,1,1,2,,,,,,,,,,,,,,1,2,9,0,2,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"H03408-04-01",1874.79821777344
34080401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
36010401,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,107,1,2,,,2,3,2,,,,,,,,,,,,,,1,3,9,0,1,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,"H03601-04-01",2551.70141601563
36010401,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03601-04-01",2551.70141601563
36020404,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,106,1,2,,,1,2,2,,,,,,,,,,,,,,1,7,7,0,2,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,"H03602-04-04",2551.70141601563
36020404,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,108,1,2,,,1,1,2,,,,,,,,,,,,,,3,4,4,0,7,3,,,,,,,,,,,,,,,,,,,1,6,4000,3,,,3,,,"H03602-04-04",2551.70141601563
36020404,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36030405,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,106,1,2,,,1,1,2,,,,,,,,,,,,,,3,4,9,0,2,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,"H03603-04-05",2551.70141601563
36030405,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36040404,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-04",850.567138671875
36040404,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-04",850.567138671875
