"HHID","parcelID","plotID","a3aq3_1","a3aq3_2","a3aq3_3","a3aq3_4a","a3aq3_4b","a3aq3a","a3aq4","a3aq5","a3aq6","a3aq7","a3aq8","a3aq9","a3aq12","a3aq13","a3aq14","a3aq15","a3aq16","a3aq17","a3aq18","a3aq19","a3aq22","a3aq23","a3aq24b","a3aq24a","a3aq25","a3aq26","a3aq27","a3aq28","a3aq33a","a3aq33b","a3aq33c","a3aq33d","a3aq33e","a3aq33a_1","a3aq33b_1","a3aq33c_1","a3aq33d_1","a3aq33e_1","a3aq34","a3aq35a","a3aq35b","a3aq35c","a3aq36","a3aq33","hh","wgt_X"
34080401,1,1,3408001,1,3408001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3408001,3408003,3408004,,,38,26,20,,,2,,,,,3,"H03408-04-01",1874.79821777344
34080401,1,2,3408001,1,3408001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3408001,3408003,,,,32,20,,,,2,,,,,2,"H03408-04-01",1874.79821777344
36010401,1,1,3601001,2,,3601001,3601009,1,2,,,,,,,2,,,,,,,2,,,,,,,,3601001,,,,,20,,,,,1,2,0,0,75000,1,"H03601-04-01",2551.70141601563
36010401,1,2,3601001,2,,3601001,3601009,1,2,,,,,,,2,,,,,,,2,,,,,,,,3601009,,,,,20,,,,,1,0,2,0,20000,1,"H03601-04-01",2551.70141601563
36010401,1,3,3601009,2,,3601001,3601009,2,2,,,,,,,2,,,,,,,2,,,,,,,,3601001,3601009,,,,15,20,,,,2,,,,,2,"H03601-04-01",2551.70141601563
36010401,1,4,3601009,2,,3601001,3601009,2,2,,,,,,,2,,,,,,,2,,,,,,,,3601001,3601009,,,,10,15,,,,2,,,,,2,"H03601-04-01",2551.70141601563
36010401,1,5,3601009,2,,3601001,3601009,2,2,,,,,,,2,,,,,,,2,,,,,,,,3601001,3601009,,,,10,14,,,,2,,,,,2,"H03601-04-01",2551.70141601563
36010401,1,6,3601009,2,,3601001,3601009,2,2,,,,,,,2,,,,,,,2,,,,,,,,3601001,3601009,,,,10,16,,,,1,1,0,0,7000,2,"H03601-04-01",2551.70141601563
36020404,1,1,3602001,2,,3602001,3602010,2,2,,,,,,,2,,,,,,,2,,,,,,,,3602003,3602004,3602010,3602008,,14,14,14,14,,2,,,,,4,"H03602-04-04",2551.70141601563
36020404,1,2,3602001,2,,3602001,3602010,2,2,,,,,,,2,,,,,,,2,,,,,,,,3602003,3602004,3602005,3602010,,14,14,14,14,,2,,,,,4,"H03602-04-04",2551.70141601563
36020404,1,3,3602001,2,,3602001,3602010,2,2,,,,,,,2,,,,,,,2,,,,,,,,3602010,3602003,3602005,,,9,9,9,,,2,,,,,3,"H03602-04-04",2551.70141601563
36020404,1,4,3602001,2,,3602001,3602010,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03602-04-04",2551.70141601563
36020404,2,5,3602010,1,3602010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3602010,,,,,21,,,,,1,2,2,0,40000,1,"H03602-04-04",2551.70141601563
36020404,2,6,3602010,1,3602010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3602010,,,,,24,,,,,1,2,0,0,10000,1,"H03602-04-04",2551.70141601563
36030405,1,1,3603001,1,3603001,,,2,1,50,2,,,,1,2,,,,,,,2,,,,,,,,3603001,3603002,3603003,3603005,,39,39,30,23,,2,,,,,4,"H03603-04-05",2551.70141601563
36030405,1,2,3603001,1,3603001,,,2,1,100,2,,,,1,2,,,,,,,2,,,,,,,,3603001,3603002,3603003,3603005,,34,34,30,30,,2,,,,,4,"H03603-04-05",2551.70141601563
36030405,1,3,3603001,1,3603001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3603001,3603002,3603003,3603005,,23,23,20,20,,2,,,,,4,"H03603-04-05",2551.70141601563
36030405,1,4,3603001,1,3603001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03603-04-05",2551.70141601563
36040404,1,1,3604002,1,3604001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604002,3604003,3604004,3604005,3604007,18,17,18,14,11,2,,,,,5,"H03604-04-04",850.567138671875
36040404,1,2,3604002,1,3604001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604002,3604003,3604005,3604004,3604007,14,15,13,10,10,2,,,,,5,"H03604-04-04",850.567138671875
36040404,1,3,3604002,2,,3604001,3604002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604002,3604003,3604004,,,7,10,5,,,2,,,,,3,"H03604-04-04",850.567138671875
36040404,1,4,3604002,1,3604001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03604-04-04",850.567138671875
36040408,1,1,3604023,2,,3604022,3604023,2,2,,,,,,,2,,,,,,,1,4,1,2,1,1,15000,3,3604022,3604023,,,,30,25,,,,1,2,0,0,50000,2,"H03604-04-08",850.567138671875
36040408,1,2,3604023,2,,3604023,3604022,2,2,,,,,,,2,,,,,,,1,4,1,2,1,1,15000,3,3604022,3604023,,,,45,20,,,,1,2,0,0,50000,2,"H03604-04-08",850.567138671875
36040408,2,3,3604023,2,,3604022,3604023,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604022,3604023,3604025,,,10,15,10,,,2,,,,,3,"H03604-04-08",850.567138671875
36040409,1,1,3604032,2,,3604032,3604031,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604032,3604031,3604029,3604030,3604033,30,30,16,16,14,2,,,,,11,"H03604-04-09",850.567138671875
36040409,2,2,3604032,2,,3604032,3604031,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604031,3604032,3604034,3604033,3604038,18,12,18,14,7,2,,,,,11,"H03604-04-09",850.567138671875
36040409,2,3,3604032,2,,3604032,3604031,2,2,,,,,,,2,,,,,,,2,,,,,,,,3604031,3604032,3604036,3604037,3604038,14,14,14,7,8,2,,,,,8,"H03604-04-09",850.567138671875
36050402,1,1,3605002,2,,3605002,3605007,2,2,,,,,,,2,,,,,,,2,,,,,,,,3605002,3605007,3605003,3605004,,30,30,7,7,,2,,,,,4,"H03605-04-02",2551.70141601563
36050402,1,2,3605002,2,,3605002,3605007,2,2,,,,,,,2,,,,,,,2,,,,,,,,3605002,3605007,3605003,,,21,21,7,,,2,,,,,3,"H03605-04-02",2551.70141601563
36050402,2,3,3605002,2,,3605002,3605007,2,2,,,,,,,2,,,,,,,2,,,,,,,,3605002,3605007,,,,7,7,,,,2,,,,,2,"H03605-04-02",2551.70141601563
36050402,2,4,3605002,2,,3605002,3605007,2,2,,,,,,,2,,,,,,,2,,,,,,,,3605002,3605007,3605003,3605004,,28,30,7,7,,1,4,0,0,20000,4,"H03605-04-02",2551.70141601563
36050402,3,5,3605002,2,,3605002,3605007,2,2,,,,,,,2,,,,,,,1,4,1,2,1,1,15000,4,3605002,3605007,,,,52,45,,,,1,6,0,0,30000,2,"H03605-04-02",2551.70141601563
36070401,1,1,3607001,1,3607006,,,2,2,,,,,,,2,,,,,,,1,4,1,2,1,1,40000,3,3607006,3607001,3607007,3607008,,45,45,12,32,,2,,,,,4,"H03607-04-01",2551.70141601563
36070401,1,2,3607001,1,3607001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3607001,3607006,3607008,3607007,,24,24,24,13,,1,24,0,0,336000,4,"H03607-04-01",2551.70141601563
36080401,1,1,3608001,1,3608001,,,2,2,,,,,,,2,,,,,,,1,4,0.5,2,1,0.5,7500,3,3608001,3608008,,,,45,45,,,,2,,,,,2,"H03608-04-01",2551.70141601563
36080401,1,2,3608001,1,3608001,,,2,2,,,,,,,2,,,,,,,1,4,0.5,2,1,0.5,7500,3,3608001,3608008,,,,52,50,,,,2,,,,,2,"H03608-04-01",2551.70141601563
37040401,1,1,3704001,2,,3704001,3704002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3704001,3704002,,,,20,20,,,,2,,,,,2,"H03704-04-01",2551.70141601563
37040401,1,2,3704001,2,,3704001,3704002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3704001,3704002,,,,20,20,,,,2,,,,,2,"H03704-04-01",2551.70141601563
37050401,1,1,3705002,1,3705002,,,2,1,300,2,,,,1,2,,,,,,,2,,,,,,,,3705002,3705003,3705005,,,20,15,20,,,2,,,,,3,"H03705-04-01",2551.70141601563
37050401,1,2,3705002,1,3705002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3705002,3705003,3705005,,,35,23,15,,,2,,,,,3,"H03705-04-01",2551.70141601563
37050401,1,3,3705002,1,3705002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3705002,3705003,3705005,,,20,15,10,,,2,,,,,3,"H03705-04-01",2551.70141601563
37060401,1,1,3706002,1,3706001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3706001,,,,,45,,,,,1,4,0,0,18000,1,"H03706-04-01",2551.70141601563
37060401,1,2,3706002,2,,3706001,3706002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3706002,3706003,3706004,,,40,20,20,,,2,,,,,3,"H03706-04-01",2551.70141601563
37070401,1,1,3707002,1,3707001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3707005,3707006,,,,30,30,,,,2,,,,,2,"H03707-04-01",1275.85070800781
37070401,2,2,3707002,2,,3707001,3707002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3707002,3707003,3707005,3707007,,30,30,20,15,,2,,,,,4,"H03707-04-01",1275.85070800781
37070401,2,3,3707002,2,,3707002,3707005,2,2,,,,,,,2,,,,,,,2,,,,,,,,3707002,3707005,3707003,3707007,,30,20,29,25,,2,,,,,4,"H03707-04-01",1275.85070800781
37070401,3,4,3707002,1,3707002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3707002,3707005,3707003,,,30,20,20,,,2,,,,,3,"H03707-04-01",1275.85070800781
37070401,3,5,3707002,1,3707002,,,2,2,,,,,,,2,,,,,,,1,4,4,2,1,4,52000,2,3707005,,,,,20,,,,,2,,,,,1,"H03707-04-01",1275.85070800781
37090401,1,1,3709001,2,,3709001,3709002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3709001,3709002,3709003,3709004,,20,20,15,15,,2,,,,,4,"H03709-04-01",2551.70141601563
37090401,1,2,3709001,2,,3709001,3709002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3709001,3709002,3709003,3709004,,20,20,15,15,,2,,,,,4,"H03709-04-01",2551.70141601563
37110402,1,1,3711006,1,3711006,,,2,2,,,,,,,2,,,,,,,1,4,2,2,1,2,30000,2,3711006,,,,,23,,,,,1,9,0,0,30000,1,"H03711-04-02",637.925354003906
37110402,1,2,3711006,1,3711006,,,2,2,,,,,,,2,,,,,,,1,4,2,2,1,2,28000,2,3711006,,,,,35,,,,,2,,,,,1,"H03711-04-02",637.925354003906
37110402,1,3,3711006,1,3711006,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3711006,,,,,25,,,,,2,,,,,1,"H03711-04-02",637.925354003906
38070401,1,1,3807005,1,3807008,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3807002,3807005,3807003,,,30,30,14,,,2,,,,,3,"H03807-04-01",2551.70141601563
38070401,1,2,3807005,1,3807008,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3807002,3807005,3807003,,,20,20,9,,,2,,,,,3,"H03807-04-01",2551.70141601563
38070401,1,3,3807005,2,,3807002,3807005,2,2,,,,,,,2,,,,,,,2,,,,,,,,3807002,3807005,3807003,,,21,7,7,,,2,,,,,3,"H03807-04-01",2551.70141601563
38090401,1,1,3809010,1,3809010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3809010,,,,,18,,,,,2,,,,,1,"H03809-04-01",2551.70141601563
38090401,1,2,3809010,1,3809010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3809010,,,,,16,,,,,2,,,,,1,"H03809-04-01",2551.70141601563
38090401,1,3,3809010,1,3809010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3809010,,,,,28,,,,,2,,,,,1,"H03809-04-01",2551.70141601563
38090401,1,4,3809010,1,3809010,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3809010,,,,,10,,,,,2,,,,,1,"H03809-04-01",2551.70141601563
38100401,1,1,3810010,2,,3810001,3810010,2,2,,,,,,,2,,,,,,,2,,,,,,,,3810010,,,,,21,,,,,2,,,,,1,"H03810-04-01",2551.70141601563
39020401,1,1,3902002,1,3902002,,,1,2,,,,,,,2,,,,,,,2,,,,,,,,3902002,,,,,12,,,,,2,,,,,1,"H03902-04-01",2551.70141601563
39020401,1,2,3902002,1,3902002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3902002,,,,,8,,,,,2,,,,,1,"H03902-04-01",2551.70141601563
39020401,1,3,3902002,1,3902002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03902-04-01",2551.70141601563
39020401,1,4,3902002,1,3902002,,,1,2,,,,,,,2,,,,,,,2,,,,,,,,3902002,,,,,8,,,,,2,,,,,1,"H03902-04-01",2551.70141601563
39030401,1,1,3903003,2,,3903003,3903001,2,2,,,,,,,2,,,,,,,2,,,,,,,,3903003,3903001,,,,12,10,,,,2,,,,,2,"H03903-04-01",2551.70141601563
39030401,1,2,3903003,2,,3903003,3903007,2,2,,,,,,,2,,,,,,,2,,,,,,,,3903003,,,,,21,,,,,1,0,7,0,30000,1,"H03903-04-01",2551.70141601563
39030401,1,3,3903003,2,,3903003,3903001,2,2,,,,,,,2,,,,,,,2,,,,,,,,3903003,3903007,3903008,,,24,10,10,,,2,,,,,3,"H03903-04-01",2551.70141601563
39060401,1,1,3906002,1,3906001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3906001,3906006,3906002,,,25,30,18,,,2,,,,,3,"H03906-04-01",2551.70141601563
39060401,1,2,3906002,1,3906001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3906001,3906006,3906002,,,24,33,15,,,2,,,,,3,"H03906-04-01",2551.70141601563
39060401,1,3,3906002,1,3906001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03906-04-01",2551.70141601563
39070401,1,1,3907002,1,3907002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3907001,3907002,3907003,3907004,3907006,10,10,9,9,9,1,0,3,0,10000,5,"H03907-04-01",2551.70141601563
39070401,1,2,3907002,1,3907002,,,2,2,,,,,,,2,,,,,,,1,96,1,2,1,1,17000,2,3907001,3907002,3907003,3907004,3907006,10,8,9,9,9,2,,,,,5,"H03907-04-01",2551.70141601563
39070401,1,3,3907002,1,3907001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3907001,3907002,3907003,3907004,3907006,12,9,5,5,4,1,3,0,0,12000,5,"H03907-04-01",2551.70141601563
39070401,1,4,3907002,1,3907001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3907001,3907002,3907003,3907004,,11,8,11,9,,2,,,,,4,"H03907-04-01",2551.70141601563
39070401,1,5,3907002,1,3907001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03907-04-01",2551.70141601563
39080401,1,1,3908002,1,3908002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3908002,,,,,13,,,,,1,3,0,0,8000,1,"H03908-04-01",2551.70141601563
39080401,1,2,3908002,1,3908002,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3908002,,,,,20,,,,,2,,,,,1,"H03908-04-01",2551.70141601563
39090401,1,1,3909002,2,,3909001,3909002,2,2,,,,,,,2,,,,,,,2,,,,,,,,3909001,3909002,3909005,3909006,3909007,8,8,6,5,5,2,,,,,8,"H03909-04-01",1275.85070800781
39090402,1,1,3909026,2,,3909026,3909027,2,1,30,2,,,,1,2,,,,,,,2,,,,,,,,3909026,3909027,3909028,3909029,3909031,18,20,8,8,8,2,,,,,5,"H03909-04-02",1275.85070800781
39090402,1,2,3909026,2,,3909026,3909027,2,2,,,,,,,2,,,,,,,2,,,,,,,,3909026,3909027,3909028,3909029,3909031,12,18,6,5,5,2,,,,,5,"H03909-04-02",1275.85070800781
39090402,1,3,3909026,2,,3909026,3909027,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03909-04-02",1275.85070800781
39090402,3,4,3909026,2,,3909026,3909027,2,2,,,,,,,2,,,,,,,2,,,,,,,,3909026,3909027,3909028,3909029,3909031,8,12,6,5,4,2,,,,,5,"H03909-04-02",1275.85070800781
39090402,3,5,3909026,2,,3909026,3909027,2,2,,,,,,,2,,,,,,,2,,,,,,,,3909026,3909027,3909028,3909029,3909031,8,6,8,4,4,2,,,,,5,"H03909-04-02",1275.85070800781
39090402,3,6,3909026,2,,3909026,3909027,2,2,,,,,,,2,,,,,,,1,1,50,2,1,40,25000,2,3909028,,,,,24,,,,,2,,,,,1,"H03909-04-02",1275.85070800781
39100401,1,1,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3910001,3910002,3910003,3910004,3910005,20,14,23,19,15,2,,,,,5,"H03910-04-01",2551.70141601563
39100401,1,2,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H03910-04-01",2551.70141601563
39100401,1,5,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3910001,3910002,3910003,3910004,3910005,18,16,13,14,10,2,,,,,5,"H03910-04-01",2551.70141601563
39100401,1,6,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3910001,3910002,3910003,3910004,3910005,22,15,12,13,13,2,,,,,5,"H03910-04-01",2551.70141601563
39100401,2,3,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3910001,3910002,3910003,3910004,3910005,10,8,7,9,8,1,20,0,0,200000,5,"H03910-04-01",2551.70141601563
39100401,3,4,3910001,1,3910001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,3910001,3910002,3910003,3910004,3910005,10,9,7,8,7,2,,,,,5,"H03910-04-01",2551.70141601563
40010401,1,1,4001002,2,,4001001,4001002,1,1,5,1,5,50000,4,,2,,,,,,,1,1,10,1,1,10,80000,2,4001001,4001002,4001005,4001006,4001004,33,20,10,10,10,2,,,,,5,"H04001-04-01",2551.70141601563
40010401,2,2,4001002,2,,4001001,4001002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4001001,4001002,4001005,4001006,,22,30,15,15,,2,,,,,4,"H04001-04-01",2551.70141601563
40010401,2,3,4001002,2,,4001001,4001002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4001001,4001002,4001006,4001005,4001004,10,35,9,9,9,2,,,,,5,"H04001-04-01",2551.70141601563
40020401,1,1,4002002,2,,4002001,4002002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4002001,4002002,4002003,4002004,,15,12,11,10,,1,1,0,0,15000,4,"H04002-04-01",2551.70141601563
40020401,1,2,4002002,2,,4002001,4002002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4002001,4002002,4002003,4002004,,15,12,13,12,,2,,,,,4,"H04002-04-01",2551.70141601563
40020401,2,3,4002002,2,,4002001,4002002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4002001,4002002,4002003,4002004,,15,18,10,12,,2,,,,,4,"H04002-04-01",2551.70141601563
40020401,2,4,4002002,2,,4002001,4002002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4002001,4002002,4002003,4002004,,17,13,11,10,,2,,,,,4,"H04002-04-01",2551.70141601563
40030401,2,1,4003002,2,,4003002,4003001,2,2,,,,,,,2,,,,,,,2,,,,,,,,4003001,4003002,4003004,4003005,4003006,14,14,14,9,8,2,,,,,6,"H04003-04-01",850.567138671875
40030401,2,2,4003002,2,,4003001,4003002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4003001,4003002,4003005,4003004,4003006,8,6,8,8,8,2,,,,,6,"H04003-04-01",850.567138671875
40030401,3,3,4003002,2,,4003001,4003002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4003001,4003002,4003004,4003005,4003006,12,12,7,7,7,2,,,,,6,"H04003-04-01",850.567138671875
40030401,3,4,4003002,2,,4003002,4003001,2,2,,,,,,,2,,,,,,,2,,,,,,,,4003001,4003002,4003004,4003005,4003006,14,14,12,12,5,2,,,,,5,"H04003-04-01",850.567138671875
40030401,4,5,4003002,2,,4003001,4003002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4003001,4003002,4003004,4003005,4003006,14,14,8,10,7,2,,,,,6,"H04003-04-01",850.567138671875
40040401,1,1,4004001,2,,4004001,4004003,2,2,,,,,,,2,,,,,,,2,,,,,,,,4004001,4004002,4004003,,,9,7,9,,,2,,,,,3,"H04004-04-01",2551.70141601563
40040401,2,2,4004001,2,,4004001,4004003,2,2,,,,,,,2,,,,,,,2,,,,,,,,4004001,4004002,4004003,,,14,7,4,,,2,,,,,3,"H04004-04-01",2551.70141601563
40040401,2,3,4004001,1,4004001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,4004001,,,,,21,,,,,2,,,,,1,"H04004-04-01",2551.70141601563
40040401,3,4,4004001,1,4004001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,4004001,4004003,,,,21,14,,,,2,,,,,2,"H04004-04-01",2551.70141601563
40050401,1,1,4005015,2,,4005001,4005015,2,2,,,,,,,2,,,,,,,2,,,,,,,,4005001,4005015,4005003,4005014,4005004,10,10,10,10,10,2,,,,,7,"H04005-04-01",2551.70141601563
40050401,1,2,4005015,2,,4005001,4005015,2,2,,,,,,,2,,,,,,,2,,,,,,,,4005001,4005015,4005003,4005004,4005014,20,10,10,10,10,2,,,,,5,"H04005-04-01",2551.70141601563
40050401,1,3,4005015,2,,4005001,4005015,2,2,,,,,,,2,,,,,,,2,,,,,,,,4005001,4005015,4005003,4005014,4005004,10,10,10,8,9,2,,,,,5,"H04005-04-01",2551.70141601563
40050401,1,4,4005015,2,,4005001,4005015,2,2,,,,,,,2,,,,,,,2,,,,,,,,4005001,4005015,4005004,4005014,4005003,15,15,9,7,5,2,,,,,5,"H04005-04-01",2551.70141601563
40050401,2,5,4005015,2,,4005015,4005001,2,2,,,,,,,2,,,,,,,2,,,,,,,,4005015,4005001,4005003,4005014,,15,15,10,10,,2,,,,,4,"H04005-04-01",2551.70141601563
40070401,1,1,4007001,1,4007001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,4007001,4007002,,,,30,10,,,,2,,,,,2,"H04007-04-01",2551.70141601563
40070401,1,2,4007001,1,4007001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,4007001,4007002,,,,20,10,,,,2,,,,,2,"H04007-04-01",2551.70141601563
40070401,1,3,4007001,1,4007001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,4007001,4007002,,,,10,5,,,,2,,,,,2,"H04007-04-01",2551.70141601563
40100401,1,1,4010001,2,,4010001,4010002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4010002,4010001,4010005,4010006,4010007,20,15,10,10,10,2,,,,,5,"H04010-04-01",1275.85070800781
40100401,2,2,4010001,2,,4010001,4010002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4010001,4010002,4010005,4010006,4010007,20,25,18,18,16,2,,,,,5,"H04010-04-01",1275.85070800781
40100401,3,3,4010001,2,,4010001,4010002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4010002,4010001,4010005,4010006,4010007,10,8,5,5,5,2,,,,,5,"H04010-04-01",1275.85070800781
40110401,1,1,4011001,2,,4011001,4011002,2,2,,,,,,,2,,,,,,,2,,,,,,,,4011001,4011002,4011003,4011004,4011005,14,14,7,8,9,2,,,,,5,"H04011-04-01",1275.85070800781
