"District_Name","SubCounty","Parish","Villagecode","Health_Water_ID","C4KQ103","C4KQ103_Other","C4KQ104","C4KQ105","Health_Response","Reason_Health_Not_Done"
102,102103,10210302,1021030203,7,4,,,,1,
102,102103,10210304,1021030412,1,1,,0,1,3,"done by another team in trip 1"
102,102103,10210304,1021030412,2,4,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,3,4,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,4,2,,0,2,3,"done by another team in trip 1"
102,102103,10210304,1021030412,5,4,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,6,4,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,7,4,,,,3,"done by another team in trip 1"
102,102103,10210305,1021030504,1,1,,0,2,1,
102,102103,10210305,1021030504,2,4,,,,1,
102,102103,10210305,1021030504,3,4,,,,1,
102,102103,10210305,1021030504,4,4,,,,1,
102,102103,10210305,1021030504,5,4,,,,1,
102,102103,10210305,1021030504,6,4,,,,1,
102,102103,10210305,1021030504,7,2,"WATER  HARVEST",0,1,1,
102,102103,10210305,1021030509,1,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,2,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,3,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,4,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,5,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,6,,,,,3,"Hospital is most common Facility"
102,102103,10210305,1021030509,7,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,1,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,2,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,3,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,4,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,5,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,6,,,,,3,"the community uses a private hospital"
102,102103,10210306,1021030606,7,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,1,,,,,,
102,102103,10210308,1021030803,2,,,,,,
102,102103,10210308,1021030803,3,,,,,,
102,102103,10210308,1021030803,4,,,,,,
102,102103,10210308,1021030803,5,,,,,,
102,102103,10210308,1021030803,6,,,,,,
102,102103,10210308,1021030803,7,,,,,,
102,102103,10210309,1021030904,1,1,,0,1,1,
102,102103,10210309,1021030904,1,1,,0,1,1,
102,102103,10210309,1021030904,2,4,,,,1,
102,102103,10210309,1021030904,2,4,,,,1,
102,102103,10210309,1021030904,3,4,,,,1,
102,102103,10210309,1021030904,3,4,,,,1,
102,102103,10210309,1021030904,4,2,,0,2,1,
102,102103,10210309,1021030904,4,2,,0,2,1,
102,102103,10210309,1021030904,5,4,,,,1,
102,102103,10210309,1021030904,5,4,,,,1,
102,102103,10210309,1021030904,6,4,,,,1,
102,102103,10210309,1021030904,6,4,,,,1,
102,102103,10210309,1021030904,7,3,"TANK provided by a vehicle",0,1,1,
102,102103,10210309,1021030904,7,3,"TANK provided by a vehicle",0,1,1,
102,102103,10210312,1021031208,1,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,2,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,3,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,4,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,5,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,6,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102103,10210312,1021031208,7,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,1,1,,0,1,1,
102,102104,10210401,1021040102,2,4,,,,1,
102,102104,10210401,1021040102,3,4,,,,1,
102,102104,10210401,1021040102,4,2,,0,2,1,
102,102104,10210401,1021040102,5,4,,,,1,
102,102104,10210401,1021040102,6,4,,,,1,
102,102104,10210401,1021040102,7,4,,,,1,
102,102104,10210402,1021040203,1,,,,,3,
102,102104,10210402,1021040203,2,,,,,3,
102,102104,10210402,1021040203,3,,,,,3,
102,102104,10210402,1021040203,4,,,,,3,
102,102104,10210402,1021040203,5,,,,,3,
102,102104,10210402,1021040203,6,,,,,3,
102,102104,10210402,1021040203,7,,,,,3,
102,102104,10210410,1021041002,1,1,,0,1,2,
102,102104,10210410,1021041002,2,4,,,,2,
102,102104,10210410,1021041002,3,4,,,,2,
102,102104,10210410,1021041002,4,4,,,,2,
102,102104,10210410,1021041002,5,4,,,,2,
102,102104,10210410,1021041002,6,4,,,,2,
102,102104,10210410,1021041002,7,4,,,,2,
102,102104,10210411,1021041118,1,,,,,,
102,102104,10210411,1021041118,2,,,,,,
102,102104,10210411,1021041118,3,,,,,,
102,102104,10210411,1021041118,4,,,,,,
102,102104,10210411,1021041118,5,,,,,,
102,102104,10210411,1021041118,6,,,,,,
102,102104,10210411,1021041118,7,,,,,,
102,102104,10210417,1021041701,1,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,2,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,3,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,4,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,5,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,6,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210417,1021041701,7,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,1,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,2,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,3,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,4,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,5,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,6,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102104,10210419,1021041903,7,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,1,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,2,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,3,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,4,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,5,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,6,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210501,1021050106,7,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,1,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,2,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,3,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,4,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,5,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,6,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210503,1021050307,7,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,1,,,,,3,
102,102105,10210504,1021050405,2,,,,,3,
102,102105,10210504,1021050405,3,,,,,3,
102,102105,10210504,1021050405,4,,,,,3,
102,102105,10210504,1021050405,5,,,,,3,
102,102105,10210504,1021050405,6,,,,,3,
102,102105,10210504,1021050405,7,,,,,3,
102,102105,10210510,1021051004,1,1,,0,1,1,
102,102105,10210510,1021051004,2,4,,,,1,
102,102105,10210510,1021051004,3,4,,,,1,
102,102105,10210510,1021051004,4,2,,0,2,1,
102,102105,10210510,1021051004,5,4,,,,1,
102,102105,10210510,1021051004,6,4,,,,1,
102,102105,10210510,1021051004,7,4,,,,1,
102,102105,10210513,1021051305,1,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,2,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,3,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,4,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,5,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,6,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210513,1021051305,7,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,1,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,2,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,3,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,4,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,5,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,6,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210515,1021051506,7,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,1,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,2,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,3,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,4,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,5,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,6,,,,,3,"Available facility is a hospital NAGURU"
102,102105,10210518,1021051832,7,,,,,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,1,,,,,3,"Hospital level"
103,103105,10310505,1031050505,2,,,,,3,"Hospital level"
103,103105,10310505,1031050505,3,,,,,3,"Hospital level"
103,103105,10310505,1031050505,4,,,,,3,"Hospital level"
103,103105,10310505,1031050505,5,,,,,3,"Hospital level"
103,103105,10310505,1031050505,6,,,,,3,"Hospital level"
103,103105,10310505,1031050505,7,,,,,3,"Hospital level"
104,104102,10410204,1041020405,1,4,,,,1,
104,104102,10410204,1041020405,2,1,,0,1,1,
104,104102,10410204,1041020405,3,4,,,,1,
104,104102,10410204,1041020405,4,2,,0,2,1,
104,104102,10410204,1041020405,5,4,,,,1,
104,104102,10410204,1041020405,6,4,,,,1,
104,104102,10410204,1041020405,7,4,,,,1,
104,104104,10410403,1041040304,1,4,,,,1,
104,104104,10410403,1041040304,2,2,,0.5,1,1,
104,104104,10410403,1041040304,3,4,,,,1,
104,104104,10410403,1041040304,4,1,,0,2,1,
104,104104,10410403,1041040304,5,4,,,,1,
104,104104,10410403,1041040304,6,4,,,,1,
104,104104,10410403,1041040304,7,4,,,,1,
104,104105,10410504,1041050403,1,1,,0,2,1,
104,104105,10410504,1041050403,2,4,,,,1,
104,104105,10410504,1041050403,3,4,,,,1,
104,104105,10410504,1041050403,4,4,,,,1,
104,104105,10410504,1041050403,5,4,,,,1,
104,104105,10410504,1041050403,6,4,,,,1,
104,104105,10410504,1041050403,7,2,"BUYING FROM VENDORS",0,1,1,
104,104208,10420804,1042080404,1,4,,,,1,
104,104208,10420804,1042080404,2,1,,0,1,1,
104,104208,10420804,1042080404,3,4,,,,1,
104,104208,10420804,1042080404,4,2,,0,1,1,
104,104208,10420804,1042080404,5,4,,,,1,
104,104208,10420804,1042080404,6,4,,,,1,
104,104208,10420804,1042080404,7,4,,,,1,
105,105105,10510502,1051050201,1,4,,,,1,
105,105105,10510502,1051050201,2,4,,,,1,
105,105105,10510502,1051050201,3,4,,,,1,
105,105105,10510502,1051050201,4,1,,0,1,1,
105,105105,10510502,1051050201,5,4,,,,1,
105,105105,10510502,1051050201,6,4,,,,1,
105,105105,10510502,1051050201,7,4,,,,1,
106,106101,10610101,1061010108,1,4,,,,1,
106,106101,10610101,1061010108,2,4,,,,1,
106,106101,10610101,1061010108,3,4,,,,1,
106,106101,10610101,1061010108,4,1,,0,2,1,
106,106101,10610101,1061010108,5,4,,,,1,
106,106101,10610101,1061010108,6,4,,,,1,
106,106101,10610101,1061010108,7,2,"Vendors",1,1,1,
106,106101,10610109,1061010902,1,4,,,,1,
106,106101,10610109,1061010902,2,4,,,,1,
106,106101,10610109,1061010902,3,4,,,,1,
106,106101,10610109,1061010902,4,1,,0,2,1,
106,106101,10610109,1061010902,5,4,,,,1,
106,106101,10610109,1061010902,6,4,,,,1,
106,106101,10610109,1061010902,7,2,"Vendors",1,1,1,
106,106106,10610606,1061060602,1,4,,,,1,
106,106106,10610606,1061060602,2,2,,0,1,1,
106,106106,10610606,1061060602,3,4,,,,1,
106,106106,10610606,1061060602,4,1,,0,2,1,
106,106106,10610606,1061060602,5,4,,,,1,
106,106106,10610606,1061060602,6,4,,,,1,
106,106106,10610606,1061060602,7,4,,,,1,
107,107105,10710503,1071050302,1,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,2,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,3,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,4,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,5,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,6,,,,,3,"Refferal Hospital"
107,107105,10710503,1071050302,7,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,1,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,2,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,3,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,4,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,5,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,6,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,7,,,,,3,"Refferal Hospital"
107,107202,10720206,1072020601,1,,,,,3,"Hospital"
107,107202,10720206,1072020601,2,,,,,3,"Hospital"
107,107202,10720206,1072020601,3,,,,,3,"Hospital"
107,107202,10720206,1072020601,4,,,,,3,"Hospital"
107,107202,10720206,1072020601,5,,,,,3,"Hospital"
107,107202,10720206,1072020601,6,,,,,3,"Hospital"
107,107202,10720206,1072020601,7,,,,,3,"Hospital"
107,107302,10730203,1073020305,1,4,,,,1,
107,107302,10730203,1073020305,2,4,,,,1,
107,107302,10730203,1073020305,3,4,,,,1,
107,107302,10730203,1073020305,4,1,,0,2,1,
107,107302,10730203,1073020305,5,4,,,,1,
107,107302,10730203,1073020305,6,4,,,,1,
107,107302,10730203,1073020305,7,2,"Vendor",0.699999988079071,1,1,
107,107305,10730507,1073050702,1,4,,,,1,
107,107305,10730507,1073050702,2,4,,,,1,
107,107305,10730507,1073050702,3,4,,,,1,
107,107305,10730507,1073050702,4,1,,0,2,1,
107,107305,10730507,1073050702,5,4,,,,1,
107,107305,10730507,1073050702,6,4,,,,1,
107,107305,10730507,1073050702,7,2,"Vendors",0,1,1,
108,108106,10810603,1081060309,1,4,,,,1,
108,108106,10810603,1081060309,2,4,,,,1,
108,108106,10810603,1081060309,3,4,,,,1,
108,108106,10810603,1081060309,4,1,,0,2,1,
108,108106,10810603,1081060309,5,4,,,,1,
108,108106,10810603,1081060309,6,4,,,,1,
108,108106,10810603,1081060309,7,2,"Vendors",1,1,1,
108,108301,10830101,1083010101,1,4,,,,1,
108,108301,10830101,1083010101,2,1,,0.800000011920929,1,1,
108,108301,10830101,1083010101,3,4,,,,1,
108,108301,10830101,1083010101,4,2,,0,2,1,
108,108301,10830101,1083010101,5,4,,,,1,
108,108301,10830101,1083010101,6,4,,,,1,
108,108301,10830101,1083010101,7,4,,,,1,
108,108301,10830105,1083010505,1,4,,,,1,
108,108301,10830105,1083010505,2,1,,0.800000011920929,1,1,
108,108301,10830105,1083010505,3,4,,,,1,
108,108301,10830105,1083010505,4,2,,0,2,1,
108,108301,10830105,1083010505,5,4,,,,1,
108,108301,10830105,1083010505,6,4,,,,1,
108,108301,10830105,1083010505,7,4,,,,1,
108,108305,10830502,1083050204,1,1,,0,1,1,
108,108305,10830502,1083050204,2,4,,,,1,
108,108305,10830502,1083050204,3,4,,,,1,
108,108305,10830502,1083050204,4,2,,0,2,1,
108,108305,10830502,1083050204,5,4,,,,1,
108,108305,10830502,1083050204,6,4,,,,1,
108,108305,10830502,1083050204,7,4,,,,1,
110,110105,11010501,1101050107,1,4,,,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,2,1,,1.20000004768372,1,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,3,4,,,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,4,4,,,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,5,4,,,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,6,4,,,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,7,4,,,,3,"Facility not open. Staff absenteeism."
110,110203,11020306,1102030601,1,4,,,,1,
110,110203,11020306,1102030601,2,4,,,,1,
110,110203,11020306,1102030601,3,4,,,,1,
110,110203,11020306,1102030601,4,2,,0,1,1,
110,110203,11020306,1102030601,5,4,,,,1,
110,110203,11020306,1102030601,6,4,,,,1,
110,110203,11020306,1102030601,7,1,"vendors",0,1,1,
110,110204,11020401,1102040107,1,4,,,,1,
110,110204,11020401,1102040107,2,4,,,,1,
110,110204,11020401,1102040107,3,4,,,,1,
110,110204,11020401,1102040107,4,1,,0,2,1,
110,110204,11020401,1102040107,5,4,,,,1,
110,110204,11020401,1102040107,6,4,,,,1,
110,110204,11020401,1102040107,7,2,"Vendors",1,2,1,
110,110206,11020603,1102060309,1,4,,,,1,
110,110206,11020603,1102060309,2,4,,,,1,
110,110206,11020603,1102060309,3,3,,4.5,1,1,
110,110206,11020603,1102060309,4,1,,0,2,1,
110,110206,11020603,1102060309,5,2,,3,1,1,
110,110206,11020603,1102060309,6,4,,,,1,
110,110206,11020603,1102060309,7,4,,,,1,
110,110207,11020704,1102070403,1,4,,,,1,
110,110207,11020704,1102070403,2,4,,,,1,
110,110207,11020704,1102070403,3,4,,,,1,
110,110207,11020704,1102070403,4,1,,0,1,1,
110,110207,11020704,1102070403,5,4,,,,1,
110,110207,11020704,1102070403,6,4,,,,1,
110,110207,11020704,1102070403,7,4,,,,1,
110,110305,11030501,1103050102,1,4,,,,1,
110,110305,11030501,1103050102,2,4,,,,1,
110,110305,11030501,1103050102,3,2,,1.5,1,1,
110,110305,11030501,1103050102,4,1,,0,2,1,
110,110305,11030501,1103050102,5,4,,,,1,
110,110305,11030501,1103050102,6,4,,,,1,
110,110305,11030501,1103050102,7,4,,,,1,
110,110306,11030601,1103060102,1,1,,0,1,2,
110,110306,11030601,1103060102,2,4,,,,2,
110,110306,11030601,1103060102,3,4,,,,2,
110,110306,11030601,1103060102,4,3,,0,2,2,
110,110306,11030601,1103060102,5,4,,,,2,
110,110306,11030601,1103060102,6,4,,,,2,
110,110306,11030601,1103060102,7,2,"VENDORS",0,1,2,
111,111102,11110201,1111020105,1,4,,,,2,
111,111102,11110201,1111020105,2,4,,,,2,
111,111102,11110201,1111020105,3,4,,,,2,
111,111102,11110201,1111020105,4,1,,0,2,2,
111,111102,11110201,1111020105,5,4,,,,2,
111,111102,11110201,1111020105,6,4,,,,2,
111,111102,11110201,1111020105,7,2,"from vendors",0,1,2,
111,111202,11120204,1112020403,1,4,,,,1,
111,111202,11120204,1112020403,2,4,,,,1,
111,111202,11120204,1112020403,3,4,,,,1,
111,111202,11120204,1112020403,4,1,,0,2,1,
111,111202,11120204,1112020403,5,4,,,,1,
111,111202,11120204,1112020403,6,4,,,,1,
111,111202,11120204,1112020403,7,2,"BUY FROM VENDORS",0,1,1,
111,111202,11120206,1112020618,1,4,,,,1,
111,111202,11120206,1112020618,2,4,,,,1,
111,111202,11120206,1112020618,3,4,,,,1,
111,111202,11120206,1112020618,4,1,,0,2,1,
111,111202,11120206,1112020618,5,4,,,,1,
111,111202,11120206,1112020618,6,4,,,,1,
111,111202,11120206,1112020618,7,2,"BUY FROM VENDORS",0,1,1,
112,112102,11210203,1121020302,1,4,,,,1,
112,112102,11210203,1121020302,2,2,,0,2,1,
112,112102,11210203,1121020302,3,4,,,,1,
112,112102,11210203,1121020302,4,1,,0,2,1,
112,112102,11210203,1121020302,5,4,,,,1,
112,112102,11210203,1121020302,6,4,,,,1,
112,112102,11210203,1121020302,7,4,,,,1,
112,112104,11210402,1121040209,1,4,,,,1,
112,112104,11210402,1121040209,2,4,,,,1,
112,112104,11210402,1121040209,3,4,,,,1,
112,112104,11210402,1121040209,4,1,,0,2,1,
112,112104,11210402,1121040209,5,4,,,,1,
112,112104,11210402,1121040209,6,4,,,,1,
112,112104,11210402,1121040209,7,2,"BUYING FROM VENDORS",0,1,1,
112,112203,11220301,1122030104,1,4,,,,1,
112,112203,11220301,1122030104,2,1,,0.25,1,1,
112,112203,11220301,1122030104,3,4,,,,1,
112,112203,11220301,1122030104,4,2,,0,2,1,
112,112203,11220301,1122030104,5,4,,,,1,
112,112203,11220301,1122030104,6,4,,,,1,
112,112203,11220301,1122030104,7,4,,,,1,
112,112204,11220403,1122040303,1,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,2,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,3,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,4,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,5,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,6,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
112,112204,11220403,1122040303,7,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
113,113105,11310504,1131050402,1,4,,,,1,
113,113105,11310504,1131050402,2,4,,,,1,
113,113105,11310504,1131050402,3,4,,,,1,
113,113105,11310504,1131050402,4,1,,0,2,1,
113,113105,11310504,1131050402,5,4,,,,1,
113,113105,11310504,1131050402,6,4,,,,1,
113,113105,11310504,1131050402,7,2,"Public tap",0.100000001490116,1,1,
113,113105,11310505,1131050505,1,1,,0,1,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,2,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,3,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,4,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,5,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,6,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,7,4,,,,3,"The community members mainly go to Entebbe hospital"
113,113111,11311102,1131110205,1,1,,0,8,1,
113,113111,11311102,1131110205,2,4,,,,1,
113,113111,11311102,1131110205,3,4,,,,1,
113,113111,11311102,1131110205,4,4,,,,1,
113,113111,11311102,1131110205,5,4,,,,1,
113,113111,11311102,1131110205,6,4,,,,1,
113,113111,11311102,1131110205,7,2,"Vendor",0,1,1,
