"HHID","PID","h5q2","h5q3","h5q4","h5q5","h5q6","h5q7a","h5q7b","h5q8","h5q9","h5q10","h5q11","h5q12","wgt_X"
"H00213-04-01","P00213-005",2,"P00213-003",2,,,,,,,,,,1874.79821777344
"H00213-04-01","P00213-006",2,"P00213-003",2,,,,,,,,,,1874.79821777344
"H00213-04-01","P00213-007",2,"P00213-003",2,,,,,,,,,,1874.79821777344
"H00213-04-01","P00213-011",1,,2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-001",2,"P00301-003",2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-002",1,,2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-003",1,,2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-004",1,,2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-006",2,"P00301-003",2,,,,,,,,,,1874.79821777344
"H00301-04-01","P00301-008",2,"P00301-003",2,,,,,,,,,,1874.79821777344
"H00302-04-01","P00302-001",1,,1,14,0,1,9,1,,2,2,0,1874.79821777344
"H00302-04-01","P00302-003",1,,1,2,0,4,96,1,,12,0,1000,1874.79821777344
"H00303-04-01","P00303-001",1,,2,,,,,,,,,,1874.79821777344
"H00303-04-01","P00303-002",2,"P00303-001",2,,,,,,,,,,1874.79821777344
"H00303-04-01","P00303-005",2,"P00303-001",2,,,,,,,,,,1874.79821777344
"H00303-04-01","P00303-014",2,"P00303-001",2,,,,,,,,,,1874.79821777344
"H00303-04-01","P00303-015",2,"P00303-001",2,,,,,,,,,,1874.79821777344
"H00304-04-01","P00304-001",1,,1,7,0,6,40,1,,6,0.5,3000,1874.79821777344
"H00307-04-01","P00307-001",2,"P00307-002",2,,,,,,,,,,1874.79821777344
"H00307-04-01","P00307-002",1,,1,14,3,15,21,1,,1,4,48000,1874.79821777344
"H00307-04-01","P00307-003",2,"P00307-002",2,,,,,,,,,,1874.79821777344
"H00307-04-01","P00307-005",2,"P00307-002",2,,,,,,,,,,1874.79821777344
"H00312-04-01","P00312-001",2,"P00312-002",1,5,2,4,40,1,,2,1,3000,1874.79821777344
"H00312-04-01","P00312-002",1,,1,4,2,4,40,1,,6,0.05,5000,1874.79821777344
"H00312-04-01","P00312-003",2,"P00312-002",2,,,,,,,,,,1874.79821777344
"H00312-04-01","P00312-004",2,"P00312-002",2,,,,,,,,,,1874.79821777344
"H00312-04-01","P00312-006",1,,1,14,0,13,40,1,,6,1,3000,1874.79821777344
"H00312-04-01","P00312-007",2,"P00312-002",2,,,,,,,,,,1874.79821777344
"H00312-04-01","P00312-008",2,"P00312-002",2,,,,,,,,,,1874.79821777344
"H00313-04-01","P00313-001",1,,1,14,0,96,40,1,,6,0.3,40000,1874.79821777344
"H00313-04-01","P00313-002",2,"P00313-001",1,30,0,8,7,1,,7,0.5,150000,1874.79821777344
"H00313-04-01","P00313-005",2,"P00313-001",2,,,,,,,,,,1874.79821777344
"H00313-04-01","P00313-011",2,"P00313-001",2,,,,,,,,,,1874.79821777344
"H00313-04-01","P00313-013",2,"P00313-001",2,,,,,,,,,,1874.79821777344
"H00313-04-01","P00313-015",2,"P00313-001",2,,,,,,,,,,1874.79821777344
"H00606-04-01","P00606-001",2,"P00606-002",2,,,,,,,,,,1874.79821777344
"H00606-04-01","P00606-002",1,,2,,,,,,,,,,1874.79821777344
"H00606-04-01","P00606-003",2,"P00606-002",2,,,,,,,,,,1874.79821777344
"H00606-04-01","P00606-004",2,"P00606-002",2,,,,,,,,,,1874.79821777344
"H00606-04-01","P00606-005",2,"P00606-002",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-001",2,"P00704-002",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-002",1,,2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-003",2,"P00704-002",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-004",2,"P00704-005",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-005",1,,2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-006",2,"P00704-005",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-007",2,"P00704-005",2,,,,,,,,,,1874.79821777344
"H00704-04-01","P00704-008",2,"P00704-005",2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-001",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-002",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-008",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-009",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-010",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-017",1,,2,,,,,,,,,,1874.79821777344
"H00707-04-01","P00707-018",1,,2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-001",2,"P00710-005",2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-002",2,"P00710-005",2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-003",2,"P00710-005",2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-004",2,"P00710-005",1,7,4,4,9,1,,7,0.5,5000,1874.79821777344
"H00710-04-01","P00710-005",1,,2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-006",2,"P00710-005",2,,,,,,,,,,1874.79821777344
"H00710-04-01","P00710-007",2,"P00710-005",2,,,,,,,,,,1874.79821777344
"H00712-04-01","P00712-001",2,"P00712-006",2,,,,,,,,,,1874.79821777344
"H00712-04-01","P00712-002",2,"P00712-006",2,,,,,,,,,,1874.79821777344
"H00712-04-01","P00712-005",2,"P00712-006",2,,,,,,,,,,1874.79821777344
"H00712-04-01","P00712-006",1,,2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-001",1,,2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-002",2,"P00801-001",2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-003",2,"P00801-001",2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-008",2,"P00801-001",2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-014",2,"P00801-001",2,,,,,,,,,,1874.79821777344
"H00801-04-01","P00801-015",2,"P00801-001",2,,,,,,,,,,1874.79821777344
"H00802-04-01","P00802-001",1,,1,3,3,11,8,1,,6,0.3,26000,1874.79821777344
"H00802-04-01","P00802-002",2,"P00802-001",2,,,,,,,,,,1874.79821777344
"H00802-04-01","P00802-003",2,"P00802-001",2,,,,,,,,,,1874.79821777344
"H00802-04-01","P00802-006",2,"P00802-001",2,,,,,,,,,,1874.79821777344
"H00803-04-01","P00803-001",1,,2,,,,,,,,,,1874.79821777344
"H00803-04-01","P00803-002",2,"P00803-001",2,,,,,,,,,,1874.79821777344
"H00803-04-01","P00803-003",2,"P00803-001",2,,,,,,,,,,1874.79821777344
"H00803-04-01","P00803-007",2,"P00803-001",2,,,,,,,,,,1874.79821777344
"H00803-04-01","P00803-009",2,"P00803-001",1,3,0,13,40,1,,2,1,11000,1874.79821777344
"H00803-04-01","P00803-010",2,"P00803-001",2,,,,,,,,,,1874.79821777344
"H00805-04-01","P00805-001",1,,2,,,,,,,,,,1874.79821777344
"H00805-04-01","P00805-002",1,,2,,,,,,,,,,1874.79821777344
"H00805-04-01","P00805-003",2,"P00805-002",2,,,,,,,,,,1874.79821777344
"H00805-04-01","P00805-004",2,"P00805-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-001",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-002",1,,2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-003",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-004",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-005",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-006",2,"P00809-002",1,21,21,4,8,1,,1,0.8,74000,1874.79821777344
"H00809-04-01","P00809-007",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-008",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-009",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-010",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-011",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00809-04-01","P00809-012",2,"P00809-002",2,,,,,,,,,,1874.79821777344
"H00810-04-02","P00810-001",1,,2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-002",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-004",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-006",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-007",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-008",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-009",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-010",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-011",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-016",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-017",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-018",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-019",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-020",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-021",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-022",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-02","P00810-023",2,"P00810-001",2,,,,,,,,,,937.399108886719
"H00810-04-03","P00810-005",1,,2,,,,,,,,,,937.399108886719
"H00810-04-03","P00810-026",2,"P00810-005",1,30,3,6,23,1,,1,2,100000,937.399108886719
"H00811-04-01","P00811-001",2,"P00811-002",2,,,,,,,,,,1874.79821777344
"H00811-04-01","P00811-002",1,,2,,,,,,,,,,1874.79821777344
"H00811-04-01","P00811-003",2,"P00811-002",2,,,,,,,,,,1874.79821777344
"H00811-04-01","P00811-004",2,"P00811-002",2,,,,,,,,,,1874.79821777344
"H00811-04-01","P00811-005",2,"P00811-002",2,,,,,,,,,,1874.79821777344
"H00811-04-01","P00811-006",2,"P00811-002",1,7,2,4,12,1,,6,0.6,10000,1874.79821777344
"H01209-04-01","P01209-003",2,"P01209-012",2,,,,,,,,,,624.932739257813
"H01209-04-01","P01209-004",2,"P01209-012",2,,,,,,,,,,624.932739257813
"H01209-04-01","P01209-005",2,"P01209-012",2,,,,,,,,,,624.932739257813
"H01209-04-01","P01209-006",2,"P01209-012",2,,,,,,,,,,624.932739257813
"H01209-04-01","P01209-007",2,"P01209-012",1,1,1,12,11,1,,6,0.5,2000,624.932739257813
"H01209-04-01","P01209-008",2,"P01209-012",2,,,,,,,,,,624.932739257813
"H01209-04-01","P01209-011",2,"P01209-012",1,4,4,4,11,1,,6,0.5,8000,624.932739257813
"H01209-04-01","P01209-012",1,,1,5,5,19,96,1,,1,1,15000,624.932739257813
"H01209-04-02","P01209-023",1,,2,,,,,,,,,,624.932739257813
"H01209-04-02","P01209-024",1,,2,,,,,,,,,,624.932739257813
"H01209-04-02","P01209-025",2,"P01209-024",2,,,,,,,,,,624.932739257813
"H01209-04-02","P01209-026",2,"P01209-024",1,4,3,1,8,1,,6,0.5,5000,624.932739257813
"H01209-04-03","P01209-013",1,,2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-014",1,,2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-015",2,"P01209-013",2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-016",2,"P01209-013",2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-017",2,"P01209-013",2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-021",2,"P01209-013",2,,,,,,,,,,624.932739257813
"H01209-04-03","P01209-027",2,"P01209-014",1,5,2,13,12,1,,6,0.5,6000,624.932739257813
"H01210-04-01","P01210-001",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-002",1,,2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-003",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-004",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-005",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-006",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01210-04-01","P01210-010",2,"P01210-002",2,,,,,,,,,,1874.79809570313
"H01401-04-01","P01401-002",1,,2,,,,,,,,,,1874.79821777344
"H01401-04-01","P01401-009",1,,2,,,,,,,,,,1874.79821777344
"H01401-04-01","P01401-010",1,,2,,,,,,,,,,1874.79821777344
"H01402-04-01","P01402-001",1,,1,30,30,5,,1,,1,6,300000,1874.79821777344
"H01402-04-01","P01402-003",2,"P01402-001",1,14,12,4,9,1,,5,2,120000,1874.79821777344
"H01402-04-01","P01402-008",2,"P01402-001",2,,,,,,,,,,1874.79821777344
"H01402-04-01","P01402-009",2,"P01402-001",2,,,,,,,,,,1874.79821777344
"H01406-04-01","P01406-001",2,"P01406-002",2,,,,,,,,,,1874.79821777344
"H01406-04-01","P01406-002",1,,1,14,7,9,12,2,5,,,,1874.79821777344
"H01406-04-01","P01406-003",2,"P01406-002",2,,,,,,,,,,1874.79821777344
"H01406-04-01","P01406-004",2,"P01406-002",2,,,,,,,,,,1874.79821777344
"H01406-04-01","P01406-005",2,"P01406-002",1,3,1,4,9,1,,8,0.5,10000,1874.79821777344
"H01406-04-01","P01406-006",2,"P01406-002",1,14,7,13,5,1,,8,0.5,280000,1874.79821777344
"H01409-04-01","P01409-001",1,,1,21,15,2,5,1,,1,6,100000,1874.79821777344
"H01601-04-01","P01601-001",1,,2,,,,,,,,,,1874.79821777344
"H01601-04-01","P01601-007",2,"P01601-001",1,16,10,4,12,1,,1,5,32000,1874.79821777344
"H01601-04-01","P01601-008",2,"P01601-001",2,,,,,,,,,,1874.79821777344
"H01604-04-01","P01604-001",1,,2,,,,,,,,,,1874.79821777344
"H01604-04-01","P01604-013",2,"P01604-001",2,,,,,,,,,,1874.79821777344
"H01605-04-01","P01605-001",2,"P01605-008",1,30,14,19,8,1,,1,8,500000,1874.79821777344
"H01605-04-01","P01605-002",2,"P01605-008",2,,,,,,,,,,1874.79821777344
"H01605-04-01","P01605-008",1,,2,,,,,,,,,,1874.79821777344
"H01605-04-01","P01605-010",2,"P01605-008",2,,,,,,,,,,1874.79821777344
"H01605-04-01","P01605-015",2,"P01605-008",2,,,,,,,,,,1874.79821777344
"H01605-04-01","P01605-021",2,"P01605-008",1,4,3,4,9,2,96,,,,1874.79821777344
"H01605-04-01","P01605-026",1,,2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-001",1,,2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-002",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-003",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-004",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-005",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-006",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-007",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-010",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-011",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-012",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01607-04-01","P01607-013",2,"P01607-001",2,,,,,,,,,,1874.79821777344
"H01612-04-01","P01612-002",1,,2,,,,,,,,,,1874.79821777344
"H01612-04-01","P01612-003",2,"P01612-002",2,,,,,,,,,,1874.79821777344
"H01612-04-01","P01612-004",2,"P01612-002",2,,,,,,,,,,1874.79821777344
"H01612-04-01","P01612-007",2,"P01612-002",1,4,3,4,14,2,1,,,,1874.79821777344
"H01612-04-01","P01612-008",2,"P01612-002",1,7,6,4,8,1,,1,3,25000,1874.79821777344
"H01801-04-01","P01801-001",2,"P01801-002",2,,,,,,,,,,1874.79821777344
"H01801-04-01","P01801-002",1,,1,7,7,5,8,1,,6,0,7000,1874.79821777344
"H01801-04-01","P01801-004",2,"P01801-002",2,,,,,,,,,,1874.79821777344
"H01801-04-01","P01801-006",2,"P01801-002",2,,,,,,,,,,1874.79821777344
"H01801-04-01","P01801-007",2,"P01801-002",2,,,,,,,,,,1874.79821777344
"H01801-04-01","P01801-008",2,"P01801-002",2,,,,,,,,,,1874.79821777344
"H01806-04-01","P01806-002",1,,2,,,,,,,,,,937.399108886719
"H01806-04-01","P01806-004",2,"P01806-002",2,,,,,,,,,,937.399108886719
"H01806-04-01","P01806-009",2,"P01806-002",2,,,,,,,,,,937.399108886719
"H01806-04-01","P01806-011",2,"P01806-002",1,3,0,4,40,1,,5,0.5,5000,937.399108886719
"H01806-04-01","P01806-012",2,"P01806-002",2,,,,,,,,,,937.399108886719
"H01806-04-02","P01806-001",1,,1,7,5,96,8,1,,2,0.1,0,937.399108886719
"H01806-04-02","P01806-010",2,"P01806-001",2,,,,,,,,,,937.399108886719
"H01806-04-02","P01806-013",2,"P01806-001",1,7,0,96,40,1,,2,0.1,0,937.399108886719
"H01806-04-02","P01806-014",2,"P01806-001",1,7,0,96,40,1,,2,0.1,0,937.399108886719
"H01806-04-02","P01806-015",2,"P01806-001",1,7,0,96,40,1,,2,0.1,0,937.399108886719
"H01809-04-01","P01809-001",1,,1,4,3,8,4,1,,6,0.2,4500,1874.79821777344
"H01809-04-01","P01809-002",2,"P01809-001",1,8,6,4,8,1,,6,0.2,8000,1874.79821777344
"H01809-04-01","P01809-003",2,"P01809-001",2,,,,,,,,,,1874.79821777344
"H01809-04-01","P01809-004",2,"P01809-001",2,,,,,,,,,,1874.79821777344
"H01809-04-01","P01809-006",2,"P01809-001",2,,,,,,,,,,1874.79821777344
"H01809-04-01","P01809-012",2,"P01809-001",2,,,,,,,,,,1874.79821777344
"H01809-04-01","P01809-013",2,"P01809-001",2,,,,,,,,,,1874.79821777344
"H01813-04-01","P01813-001",1,,1,30,7,14,5,1,,5,0.5,75000,1874.79821777344
"H01813-04-01","P01813-004",2,"P01813-001",2,,,,,,,,,,1874.79821777344
"H01813-04-01","P01813-005",2,"P01813-001",2,,,,,,,,,,1874.79821777344
"H01813-04-01","P01813-006",2,"P01813-001",2,,,,,,,,,,1874.79821777344
"H01813-04-01","P01813-010",2,"P01813-001",2,,,,,,,,,,1874.79821777344
"H01813-04-01","P01813-014",2,"P01813-011",1,15,3,14,5,1,,5,0.5,25000,1874.79821777344
"H02108-04-01","P02108-001",1,,2,,,,,,,,,,1874.79821777344
"H02108-04-01","P02108-002",2,"P02108-001",2,,,,,,,,,,1874.79821777344
"H02108-04-01","P02108-003",2,"P02108-001",1,4,0,5,8,1,,1,5,0,1874.79821777344
"H02108-04-01","P02108-004",2,"P02108-001",2,,,,,,,,,,1874.79821777344
"H02108-04-01","P02108-005",2,"P02108-001",2,,,,,,,,,,1874.79821777344
"H02110-04-01","P02110-001",2,"P02110-002",1,7,3,19,4,1,,1,3,0,1874.79821777344
"H02110-04-01","P02110-002",1,,1,3,3,8,20,1,,7,0,10000,1874.79821777344
"H02110-04-01","P02110-003",2,"P02110-002",2,,,,,,,,,,1874.79821777344
"H02110-04-01","P02110-004",2,"P02110-002",2,,,,,,,,,,1874.79821777344
"H02110-04-01","P02110-007",2,"P02110-002",1,7,4,20,13,1,,7,0,10000,1874.79821777344
"H02111-04-01","P02111-001",2,"P02111-002",1,2,1,1,8,1,,7,1,10000,1874.79821777344
"H02111-04-01","P02111-002",1,,2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-003",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-004",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-005",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-006",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-007",2,"P02111-002",1,5,2,9,8,1,,7,1,25000,1874.79821777344
"H02111-04-01","P02111-008",2,"P02111-002",1,5,2,9,12,1,,7,1,15000,1874.79821777344
"H02111-04-01","P02111-009",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-011",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02111-04-01","P02111-012",2,"P02111-002",2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-001",1,,1,7,1,5,8,2,5,,,,1874.79821777344
"H02113-04-01","P02113-005",1,,2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-006",2,"P02113-001",2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-007",2,"P02113-001",2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-008",2,"P02113-001",2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-010",2,"P02113-001",1,7,4,5,8,2,96,,,,1874.79821777344
"H02113-04-01","P02113-011",2,"P02113-001",2,,,,,,,,,,1874.79821777344
"H02113-04-01","P02113-014",2,"P02113-001",2,,,,,,,,,,1874.79821777344
"H02203-04-01","P02203-002",2,"P02203-003",2,,,,,,,,,,1874.79821777344
"H02203-04-01","P02203-003",1,,1,14,14,5,11,1,,1,6,10000,1874.79821777344
"H02203-04-01","P02203-004",2,"P02203-003",2,,,,,,,,,,1874.79821777344
"H02203-04-01","P02203-005",2,"P02203-003",2,,,,,,,,,,1874.79821777344
"H02203-04-01","P02203-006",2,"P02203-003",2,,,,,,,,,,1874.79821777344
"H02203-04-01","P02203-007",2,"P02203-003",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-001",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-002",1,,2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-003",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-004",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-005",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-006",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-007",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-011",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02205-04-01","P02205-012",2,"P02205-002",2,,,,,,,,,,1874.79821777344
"H02206-04-01","P02206-001",2,"P02206-005",2,,,,,,,,,,1874.79821777344
"H02206-04-01","P02206-002",2,"P02206-005",2,,,,,,,,,,1874.79821777344
"H02206-04-01","P02206-003",2,"P02206-005",2,,,,,,,,,,1874.79821777344
"H02206-04-01","P02206-005",1,,2,,,,,,,,,,1874.79821777344
"H02206-04-01","P02206-006",2,"P02206-005",2,,,,,,,,,,1874.79821777344
"H02207-04-01","P02207-001",1,,2,,,,,,,,,,1874.79821777344
"H02207-04-01","P02207-003",2,"P02207-001",2,,,,,,,,,,1874.79821777344
"H02207-04-01","P02207-004",2,"P02207-001",2,,,,,,,,,,1874.79821777344
"H02207-04-01","P02207-005",2,"P02207-001",2,,,,,,,,,,1874.79821777344
"H02207-04-01","P02207-006",2,"P02207-001",2,,,,,,,,,,1874.79821777344
"H02304-04-01","P02304-001",2,"P02304-002",1,4,0,13,,1,,7,8,5000,1874.79821777344
"H02304-04-01","P02304-002",1,,2,,,,,,,,,,1874.79821777344
"H02305-04-01","P02305-001",1,,1,30,2,21,1,1,,1,10,60000,1874.79821777344
"H02305-04-01","P02305-002",2,"P02305-004",2,,,,,,,,,,1874.79821777344
"H02305-04-01","P02305-003",2,"P02305-004",2,,,,,,,,,,1874.79821777344
"H02305-04-01","P02305-004",1,,2,,,,,,,,,,1874.79821777344
"H02310-04-01","P02310-001",1,,1,7,4,9,4,1,,7,0.2,25000,1874.79821777344
"H02310-04-01","P02310-002",1,,1,6,0,13,40,2,1,,,,1874.79821777344
"H02310-04-01","P02310-003",2,"P02310-002",2,,,,,,,,,,1874.79821777344
"H02310-04-01","P02310-005",2,"P02310-002",2,,,,,,,,,,1874.79821777344
"H02401-04-01","P02401-001",1,,1,2,2,19,9,1,,6,0.5,5000,1874.79821777344
"H02407-04-01","P02407-001",1,,2,,,,,,,,,,1874.79821777344
"H02409-04-01","P02409-001",1,,2,,,,,,,,,,1874.79821777344
