"HHID","parcelID","plotID","Production2_ID","cropID","a5bq5_1","a5bq5_2","a5bq6a","a5bq6b","a5bq6c","a5bq6d","a5bq6a_1","a5bq6a_2","a5bq6a_3","a5bq6a_4","a5bq6e","a5bq6e_1","a5bq6f","a5bq6f_1","a5bq7a","a5bq7b","a5bq7c","a5bq7d","a5bq8","a5bq9","a5bq10","a5bq11e","a5bq11f","a5bq11g","a5bq11h","a5bq12","a5bq13","a5bq14a","a5bq14b","a5bq15","a5bq16","a5bq17","a5bq18","a5bq19","a5bq20","a5bq21","a5bq22","a5bq23a","a5bq23b","hh","wgt_X"
36020404,1,1,4,210,3602001,2,4,45,20,20,2,,3602001,3602010,11,2013,12,2013,0,,,,,,,,,,,0,2,0,0,2,0,,4,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,1,2,8,630,3602001,2,3,20,10,110,2,,3602001,3602010,10,2013,12,2013,0,,,,,,,,,,,0.75,2.25,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,1,3,7,130,3602001,2,3,45,10,100,2,,3602001,3602010,12,2013,1,2014,2,45,10,100,120000,2,0,2,,3602001,3602010,0,0.400000005960464,0,0,0.400000005960464,0,,4,2,,0.200000002980232,,3,,"H03602-04-04",2551.70141601563
36020404,1,3,6,130,3602001,2,1,12,10,100,2,,3602001,3602010,11,2013,12,2013,0,,,,,,,,,,,0.300000011920929,0.699999988079071,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,1,3,5,310,3602001,2,1,32,10,90,2,,3602001,3602010,12,2013,12,2013,0,,,,,,,,,,,0.200000002980232,0.600000023841858,0,0,0.200000002980232,0,,4,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,2,4,10,210,3602001,2,2.5,45,10,100,2,,3602001,3602010,12,2013,12,2013,2,45,10,100,220000,2,0,2,,3602001,3602010,0,0.5,0,0,0,0,,4,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,2,4,9,210,3602001,2,1,14,10,100,2,,3602001,3602010,11,2013,12,2013,0,,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,2,5,12,130,3602001,2,9,45,10,105,2,,3602001,3602010,12,2013,1,2014,9,45,10,105,405000,2,0,2,,3602001,3602010,0,0,0,0,0,0,,4,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,2,5,11,130,3602001,2,2,12,10,100,2,,3602001,3602010,12,2013,12,2013,0,,,,,,,,,,,0.5,1.5,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36030405,1,1,1,741,3603001,2,30,20,68,12,1,3603001,,,7,2013,12,2013,20,20,68,12,80000,2,0,1,3603001,,,0,10,0,0,0,0,,6,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,1,3,812,3603001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,1,1,2,741,3603001,2,50,20,69,5,1,3603001,,,7,2013,12,2013,20,20,69,5,50000,2,0,1,3603001,,,5,25,0,0,0,0,,6,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,2,4,812,3603001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,1,3,7,210,3603001,2,1,45,12,50,1,3603001,,,11,2013,12,2013,0,,,,,,,,,,,0,0.300000011920929,0,0,0.200000002980232,0,,4,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,3,8,130,3603001,2,5,12,20,20,1,3603001,,,12,2013,12,2013,0,,,,,,,,,,,1,3,0,0,0,0,,6,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,3,6,210,3603001,2,2,14,20,20,1,3603001,,,11,2013,11,2013,0,,,,,,,,,,,0.5,1.5,0,0,0,0,,6,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,3,9,130,3603001,2,1.5,45,12,50,1,3603001,,,12,2013,1,2014,0,,,,,,,,,,,0,1,0,0,0.5,0,,4,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,3,5,630,3603001,2,1.5,20,10,130,1,3603001,,,12,2013,1,2014,0,,,,,,,,,,,0.25,1.25,0,0,0,0,,6,2,,0,,3,,"H03603-04-05",2551.70141601563
36030405,1,4,10,620,3603001,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,"H03603-04-05",2551.70141601563
36040404,1,1,2,130,3604003,2,2,23,22,15,2,,3604002,3604003,10,2013,11,2013,0,,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,1,1,130,3604003,2,2,45,10,100,2,,3604001,3604003,11,2013,12,2013,2,45,10,100,120000,2,0,2,,3604001,3604002,0,0,0,0,0,0,,1,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,1,3,630,3604003,2,5,20,22,15,2,,3604002,3604003,7,2013,12,2013,0,,,,,,,,,,,0,5,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,2,7,130,3604003,2,1,43,10,40,2,,3604002,3604003,11,2013,11,2013,0,,,,,,,,,,,0,0.5,0,0,0,0,,1,2,,0.5,,3,,"H03604-04-04",850.567138671875
36040404,1,2,5,210,3604003,2,2,45,20,15,2,,3604002,3604003,11,2013,12,2013,1,45,20,20,7200,2,0,2,,3604002,3604003,0,0.75,0,0,0.25,0,,4,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,2,6,130,3604003,2,2,23,38,8,2,,3604002,3604003,10,2013,11,2013,0,,,,,,,,,,,1,1,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,2,4,210,3604003,2,3,24,22,8,2,,3604002,3604003,10,2013,11,2013,0,,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,3,10,812,3604003,2,7,24,20,13,2,,3604002,3604003,10,2013,11,2013,7,24,20,13,56000,2,0,1,3604001,,,0,0,0,0,0,0,,4,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,3,8,741,3604003,2,15,20,69,6,2,,3604002,3604003,7,2013,12,2013,0,,,,,,,,,,,2,13,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,3,9,741,3604003,2,15,20,68,11,2,,3604002,3604003,7,2013,12,2013,0,,,,,,,,,,,3,12,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040404,1,4,11,620,3604003,2,4,20,14,15,2,,3604002,3604003,11,2013,12,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,3,,"H03604-04-04",850.567138671875
36040408,1,1,1,130,3604023,2,300,45,1,,2,,3604022,3604023,11,2013,12,2013,250,45,1,,150000,2,0,2,,3604022,3604023,0,20,0,0,20,0,,4,2,,10,,3,,"H03604-04-08",850.567138671875
36040408,1,1,2,130,3604023,2,7,23,39,7,2,,3604022,3604023,11,2013,12,2013,0,,,,,,,,,,,2,4,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,1,2,3,210,3604023,2,300,45,1,,2,,3604022,3604023,11,2013,12,2013,240,45,1,,288000,2,0,2,,3604022,3604023,0,15,0,0,20,0,,4,2,,35,,3,,"H03604-04-08",850.567138671875
36040408,1,2,4,210,3604023,2,2,24,22,10,2,,3604022,3604023,11,2013,12,2013,0,,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,1,3,6,222,3604023,2,2,24,39,9,2,,3604022,3604023,11,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,1,3,5,310,3604023,2,2,42,22,10,2,,3604022,3604023,11,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0,,4,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,1,4,7,620,3604023,2,3,20,20,15,2,,3604022,3604023,12,2013,12,2013,0,,,,,,,,,,,0,3,0,0,0,0.5,3,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,2,5,8,741,3604023,2,25,20,69,7,2,,3604023,3604022,7,2013,12,2013,0,,,,,,,,,,,3,22,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,2,5,9,741,3604023,2,10,20,68,12,2,,3604022,3604023,9,2013,12,2013,0,,,,,,,,,,,1,9,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,2,5,11,630,3604023,2,4,20,38,10,2,,3604022,3604023,9,2013,12,2013,0,,,,,,,,,,,1,4,0,0,0,0,,6,2,,0,,3,,"H03604-04-08",850.567138671875
36040408,2,5,10,812,3604023,2,250,44,1,,2,,3604022,3604023,10,2013,12,2013,250,44,1,,375000,2,0,2,,3604022,3604023,0,0,0,0,0,0,,4,2,,0,,3,,"H03604-04-08",850.567138671875
36040409,1,1,1,630,3604032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,2,2,2,130,3604032,2,700,45,1,,2,,3604032,3604030,10,2013,11,2013,500,45,1,,250000,2,0,2,,3604032,3604029,0,150,0,0,0,0,,4,2,,50,,2,96,"H03604-04-09",850.567138671875
36050402,1,1,1,741,3605002,2,18,20,69,8,2,,3605013,3605002,7,2013,12,2013,0,,,,,,,,,,,1,17,0,0,0,0,,6,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,1,1,2,812,3605002,2,150,44,1,,2,,3605013,3605002,11,2013,12,2013,150,44,1,,180000,2,0,2,,3605013,3605006,0,0,0,0,0,0,,4,2,,0,,3,,"H03605-04-02",2551.70141601563
36050402,1,2,4,130,3605002,2,600,45,1,,1,3605013,,,12,2013,12,2013,400,45,1,,1600000,2,0,2,,3605013,3605002,0,150,0,0,25,0,,4,2,,25,,2,96,"H03605-04-02",2551.70141601563
36050402,1,2,3,210,3605002,2,130,45,1,,1,3605013,,,11,2013,12,2013,80,45,1,,80000,5,0,2,,3605013,3605002,0,40,0,0,10,0,,4,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,1,2,5,630,3605013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03605-04-02",2551.70141601563
36050402,2,3,8,741,3605013,2,13,20,69,8,2,,3605013,3605002,7,2013,12,2013,0,,,,,,,,,,,0,13,0,0,0,0,,6,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,2,3,6,741,3605013,2,5,20,67,20,2,,3605013,3605002,8,2013,12,2013,0,,,,,,,,,,,2,3,0,0,0,0,,6,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,2,3,7,741,3605013,2,7,20,68,12,1,3605013,,,7,2013,12,2013,0,,,,,,,,,,,0,7,0,0,0,0,,6,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,2,4,10,210,3605013,2,200,45,1,,1,3605013,,,12,2013,12,2013,150,45,1,,300000,5,0,1,3605013,,,0,40,0,0,10,0,,4,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,2,4,9,210,3605013,2,4,24,22,10,2,,3605013,3605002,10,2013,11,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,2,5,11,130,3605013,2,700,45,1,,2,,3605013,3605002,12,2013,12,2013,700,45,1,,350000,2,0,2,,3605013,3605002,0,0,0,0,0,0,,4,2,,0,,2,96,"H03605-04-02",2551.70141601563
36050402,3,6,12,130,3605002,2,650,45,1,,2,,3605013,3605002,12,2013,12,2013,600,45,1,,300000,2,0,2,,3605013,3605002,0,40,0,0,10,0,,4,2,,0,,2,96,"H03605-04-02",2551.70141601563
36070401,1,1,4,744,3607001,2,30,20,69,4,2,,3607001,3607006,7,2013,12,2013,0,,,,,,,,,,,3,27,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,1,1,741,3607001,2,40,20,67,18,2,,3607001,3607006,7,2013,12,2013,40,20,67,18,200000,2,0,2,,3607001,3607006,0,0,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,1,2,741,3607001,2,70,20,68,13,2,,3607001,3607006,7,2013,12,2013,50,20,68,13,150000,3,0,2,,3607001,3607006,0,20,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,1,3,741,3607001,2,100,20,69,5,2,,3607001,3607006,7,2013,12,2013,0,,,,,,,,,,,20,80,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,1,5,812,3607001,2,4,24,10,100,2,,3607001,3607006,8,2013,12,2013,4,24,10,100,400000,2,0,2,,3607001,3607006,0,0,0,0,0,0,,4,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,2,6,620,3607001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03607-04-01",2551.70141601563
36070401,1,3,7,130,3607001,2,4,12,12,40,2,,3607001,3607006,12,2013,12,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,3,8,130,3607001,2,5,45,10,110,2,,3607001,3607006,12,2013,1,2013,4,45,10,110,220000,2,0,2,,3607001,3607006,0.100000001490116,0.400000005960464,0,0,0.200000002980232,0,,4,2,,0.300000011920929,,3,,"H03607-04-01",2551.70141601563
36070401,1,4,11,630,3607006,2,5,20,10,120,2,,3607001,3607006,7,2013,1,2014,3,20,10,120,270000,2,0,2,,3607001,3607006,0,2,0,0,0,0,,4,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,4,9,210,3607001,2,5,14,20,15,2,,3607001,3607006,11,2013,11,2013,0,,,,,,,,,,,1,4,0,0,0,0,,6,2,,0,,3,,"H03607-04-01",2551.70141601563
36070401,1,4,10,210,3607006,2,2,45,10,100,2,,3607001,3607006,12,2013,12,2013,1,45,10,100,120000,2,0,2,,3607001,3607006,0.100000001490116,0.5,0,0,0.300000011920929,0,,4,2,,1,,3,,"H03607-04-01",2551.70141601563
36080401,1,1,2,210,3608001,2,4,45,10,100,2,,3608001,3608008,11,2013,11,2013,3,45,10,100,600000,2,0,2,,3608001,3608008,0,0.5,0,0,0.25,0,,4,2,,0.25,,2,96,"H03608-04-01",2551.70141601563
36080401,1,1,1,210,3608001,2,1,24,20,20,1,3608001,,,10,2013,11,2013,0,,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,96,"H03608-04-01",2551.70141601563
36080401,2,2,3,130,3608001,2,1,22,22,10,1,3608001,,,11,2013,12,2013,0,,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,96,"H03608-04-01",2551.70141601563
36080401,2,2,4,130,3608001,2,9,45,10,100,2,,3608001,3608008,1,2014,1,2014,8,45,10,100,480000,2,0,2,,3608001,3608008,0,1,0,0,0,0,,4,2,,0,,2,96,"H03608-04-01",2551.70141601563
36080401,2,3,5,610,3608001,2,1,20,10,120,1,3608001,,,10,2013,12,2013,0,,,,,,,,,,,0,0.5,0,0,0.5,0,,6,2,,0,,3,,"H03608-04-01",2551.70141601563
37040401,1,1,3,741,3704001,2,10,20,69,10,2,,3704001,3704002,7,2013,12,2013,0,,,,,,,,,,,0,10,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37040401,1,1,2,812,3704001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03704-04-01",2551.70141601563
37040401,1,1,1,630,3704001,2,2,20,12,50,2,,3704001,3704002,7,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37040401,1,1,5,210,3704001,2,5,24,40,5,2,,3704001,3704002,10,2013,12,2013,0,,,,,,,,,,,0,5,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37040401,1,1,4,640,3704001,2,4,20,39,12,2,,3704001,3704002,7,2013,12,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37040401,1,1,6,130,3704001,2,3,23,39,7,2,,3704001,3704002,10,2013,12,2013,0,,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37040401,1,2,7,620,3704002,2,8,20,21,7,2,,3704001,3704002,,2014,,2014,0,,,,,,,,,,,0,8,0,0,0,0,,6,2,,0,,3,,"H03704-04-01",2551.70141601563
37050401,1,1,1,811,3705002,2,400,44,1,,1,3705002,,,12,2013,12,2013,400,44,1,,680000,2,0,1,3705002,,,0,0,0,0,0,0,,4,2,,0,,3,,"H03705-04-01",2551.70141601563
37050401,1,1,2,741,3705002,2,100,20,69,5,1,3705002,,,8,2013,12,2013,0,,,,,,,,,,,0,100,0,0,0,0,,6,2,,0,,1,1,"H03705-04-01",2551.70141601563
37050401,1,2,3,620,3705002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,1,3,8,130,3705002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,1,3,5,210,3705002,2,4,45,20,15,1,3705002,,,11,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0.5,0,,4,2,,1.5,,3,,"H03705-04-01",2551.70141601563
37050401,1,3,4,630,3705002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,1,4,6,310,3705002,2,1,45,20,20,1,3705002,,,12,2013,12,2013,0,,,,,,,,,,,0,0.5,0,0,0.25,0,,4,2,,0.25,,3,,"H03705-04-01",2551.70141601563
37050401,1,5,7,610,3705002,2,4,20,20,25,1,3705002,,,12,2013,1,2014,0,,,,,,,,,,,0,3.5,0,0,0.5,0,,6,2,,0,,3,,"H03705-04-01",2551.70141601563
37060401,1,1,2,741,3706002,2,4,20,67,15,1,3706002,,,,2013,,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,2,96,"H03706-04-01",2551.70141601563
37060401,1,1,1,812,3706001,2,500,44,1,,1,3706001,,,,2013,,2013,500,44,1,,800000,2,0,1,3706001,,,0,0,0,0,0,0,,4,2,,0,,3,,"H03706-04-01",2551.70141601563
37060401,1,1,3,741,3706002,2,6,20,69,7,1,3706002,,,,2013,,2013,0,,,,,,,,,,,0,6,0,0,0,0,,6,2,,0,,2,96,"H03706-04-01",2551.70141601563
37060401,1,2,6,130,3706002,2,3,22,38,6,1,3706002,,,,2014,,2014,0,,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,1,96,"H03706-04-01",2551.70141601563
37060401,1,2,5,210,3706002,2,20,45,1,,1,3706002,,,,2014,,2014,0,,,,,,,,,,,0,0.75,0,0,0.25,0,,4,2,,0,,1,96,"H03706-04-01",2551.70141601563
37060401,1,2,4,210,3706002,2,1.5,24,20,18,1,3706002,,,,2013,,2013,0,,,,,,,,,,,0.25,1.25,0,0,0,0,,4,2,,0,,1,96,"H03706-04-01",2551.70141601563
37060401,1,2,7,130,3706002,2,150,32,1,,1,3706002,,,,2014,,2014,60,45,1,,36000,5,0,1,3706002,,,20,60,0,0,10,0,,4,2,,0,,1,96,"H03706-04-01",2551.70141601563
37060401,1,3,8,630,3706002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,1,3,9,620,3706002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37070401,1,1,1,811,3707002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,2,2,2,741,3707002,2,30,20,69,7,1,3707002,,,7,2013,12,2013,0,,,,,,,,,,,0,30,0,0,0,0,,6,2,,0,,3,,"H03707-04-01",1275.85070800781
37070401,2,2,5,210,3707002,2,1,45,20,20,1,3707002,,,10,2013,12,2013,0,,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,3,,"H03707-04-01",1275.85070800781
37070401,2,2,3,812,3707002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,2,2,4,210,3707002,2,4,24,39,7,1,3707002,,,10,2013,12,2013,0,,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,3,,"H03707-04-01",1275.85070800781
37070401,2,3,6,620,3707002,2,10,20,14,7,2,,3707002,3707005,2,2014,4,2014,0,,,,,,,,,,,0,10,0,0,0,0,,6,2,,0,,3,,"H03707-04-01",1275.85070800781
37070401,3,4,7,210,3707002,2,4,45,20,20,1,3707002,,,10,2013,12,2013,1,45,20,20,20000,2,0,1,3707002,,,0,0,0,0,0,0,,4,2,,3,,3,,"H03707-04-01",1275.85070800781
37070401,3,4,8,630,3707002,2,2,20,12,60,1,3707002,,,7,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,"H03707-04-01",1275.85070800781
37070401,3,5,9,130,3707002,2,7,45,10,100,2,,3707002,3707005,,2014,,2014,5,45,10,100,250000,2,0,2,,3707002,3707005,0,2,0,0,0,0,,4,2,,0,,3,,"H03707-04-01",1275.85070800781
37090401,1,1,1,630,3709001,2,2,20,12,80,2,,3709001,3709002,7,2013,12,2013,1,20,12,5,130000,3,0,2,,3709001,3709002,0,1,0,0,0,0,,6,2,,0,,3,,"H03709-04-01",2551.70141601563
