"HHID","PID","w2q1a","w2q1b","w2q1c","w2q2","w2q3","w2q4","w2q5","wgt_X"
"H03503-04-01","P03503-002",1,"P03503-001",1,,,23,30,1874.79809570313
"H03511-04-01","P03511-002",2,"P03511-001",2,,,15,18,1874.79809570313
"H03512-04-01","P03512-002",1,"P03512-001",1,,,22,40,1874.79809570313
"H03515-04-01","P03515-003",3,,,3,,,,1874.79809570313
"H03601-04-01","P03601-009",1,"P03601-001",2,,,18,30,2551.70141601563
"H03602-04-04","P03602-010",3,,,1,3,17,22,2551.70141601563
"H03602-04-04","P03602-004",3,,,3,,,,2551.70141601563
"H03604-04-04","P03604-004",3,,,3,,,,850.567138671875
"H03604-04-04","P03604-003",3,,,3,,,,850.567138671875
"H03604-04-08","P03604-023",2,"P03604-022",1,,,18,7,850.567138671875
"H03604-04-09","P03604-030",3,,,1,3,16,25,850.567138671875
"H03605-04-02","P03605-002",3,,,1,1,15,28,2551.70141601563
"H03608-04-01","P03608-001",1,"P03608-008",2,,,18,30,2551.70141601563
"H03706-04-01","P03706-002",1,"P03706-001",1,,,18,60,2551.70141601563
"H03707-04-01","P03707-003",3,,,3,,,,1275.85070800781
"H03709-04-01","P03709-003",3,,,3,,,,2551.70141601563
"H03711-04-02","P03711-008",2,"P03711-006",1,,,18,27,637.925354003906
"H03711-04-03","P03711-002",1,"P03711-001",2,,,15,15,637.925354003906
"H03711-04-04","P03711-010",1,"P03711-023",2,,,17,18,637.925354003906
"H03909-04-01","P03909-015",3,,,3,,,,1275.85070800781
"H03909-04-01","P03909-002",2,"P03909-001",1,,,15,21,1275.85070800781
"H03909-04-01","P03909-005",3,,,3,,,,1275.85070800781
"H04011-04-02","P04011-009",3,,,3,,,,1275.85070800781
"H04201-04-01","P04201-004",3,,,3,,,,2551.70141601563
"H04202-04-01","P04202-002",1,"P04202-001",1,,,14,20,2551.70141601563
"H04203-04-01","P04203-002",2,"P04203-001",2,,,16,20,2551.70141601563
"H04204-04-01","P04204-002",1,"P04204-001",1,,,15,35,2551.70141601563
"H04205-04-01","P04205-002",1,"P04205-001",2,,,15,20,2551.70141601563
"H04207-04-01","P04207-002",1,"P04207-001",1,,,19,22,2551.70141601563
"H04208-04-02","P04208-003",3,,,3,,,,1275.85070800781
"H04208-04-02","P04208-002",1,"P04208-001",1,,,16,28,1275.85070800781
"H04209-04-01","P04209-001",3,,,1,1,15,30,2551.70141601563
"H04209-04-01","P04209-013",3,,,3,,,,2551.70141601563
"H04210-04-01","P04210-002",2,"P04210-001",1,,,16,30,2551.70141601563
"H04509-04-01","P04509-002",1,"P04509-001",1,,,16,20,2792.466796875
"H04801-04-01","P04801-002",1,"P04801-001",1,,,18,23,2792.466796875
"H04802-04-01","P04802-002",3,,,3,,,,930.822265625
"H04802-04-03","P04802-010",1,"P04802-009",1,,,18,25,930.822265625
"H04806-04-01","P04806-002",1,"P04806-001",1,,,17,20,2792.466796875
"H04808-04-01","P04808-006",3,,,3,,,,1396.2333984375
"H04808-04-01","P04808-002",1,"P04808-001",1,,,15,25,1396.2333984375
"H04808-04-02","P04808-003",3,,,3,,,,1396.2333984375
"H04907-04-01","P04907-002",1,"P04907-001",1,,,16,25,2792.466796875
"H04908-04-01","P04908-003",3,,,3,,,,2792.466796875
"H04908-04-01","P04908-002",1,"P04908-001",1,,,18,20,2792.466796875
"H04909-04-01","P04909-002",2,"P04909-001",1,,,17,35,2792.466796875
"H04909-04-01","P04909-008",3,,,3,,,,2792.466796875
"H04910-04-01","P04910-006",3,,,3,,,,2792.466796875
"H04912-04-01","P04912-002",1,"P04912-001",1,,,16,20,2792.466796875
"H04913-04-02","P04913-025",1,"P04913-023",1,,,18,24,465.4111328125
"H04913-04-03","P04913-022",1,"P04913-007",2,,,18,24,465.4111328125
"H04913-04-06","P04913-014",2,"P04913-013",1,,,16,17,465.4111328125
"H04913-04-06","P04913-017",3,,,3,,,,465.4111328125
"H05003-04-01","P05003-002",2,"P05003-001",2,,,18,25,1396.23327636719
"H05004-04-01","P05004-003",3,,,3,,,,2792.46655273438
"H05007-04-01","P05007-002",1,"P05007-001",1,,,21,24,2792.46655273438
"H05008-04-01","P05008-007",3,,,3,,,,2792.46655273438
"H05009-04-01","P05009-004",3,,,3,,,,2792.46655273438
"H05009-04-01","P05009-005",3,,,3,,,,2792.46655273438
"H05010-04-01","P05010-002",1,"P05010-001",1,,,16,19,2792.46655273438
"H05102-04-01","P05102-002",2,"P05102-001",1,,,25,28,2792.466796875
"H05103-04-01","P05103-002",2,"P05103-001",1,,,18,20,2792.466796875
"H05104-04-01","P05104-001",3,,,1,1,16,23,2792.466796875
"H05105-04-01","P05105-002",1,"P05105-001",1,,,18,33,2792.466796875
"H05108-04-01","P05108-003",3,,,3,,,,2792.466796875
"H05108-04-01","P05108-002",1,"P05108-001",1,,,18,22,2792.466796875
"H05110-04-01","P05110-002",3,,,2,1,18,24,2792.466796875
"H05301-04-01","P05301-001",1,"P05301-004",1,,,26,28,2792.466796875
"H05302-04-01","P05302-008",3,,,3,,,,2792.466796875
"H05302-04-01","P05302-002",1,"P05302-001",1,,,18,25,2792.466796875
"H05304-04-01","P05304-011",3,,,3,,,,2792.466796875
"H05305-04-02","P05305-036",2,"P05305-035",2,,,27,24,465.4111328125
"H05305-04-05","P05305-021",1,"P05305-020",1,,,22,41,465.4111328125
"H05308-04-01","P05308-002",1,"P05308-001",1,,,15,19,2792.466796875
"H05309-04-01","P05309-007",2,"P05309-001",2,,,15,20,2792.466796875
"H05310-04-02","P05310-002",3,,,1,3,15,50,1396.2333984375
"H05310-04-02","P05310-005",3,,,3,,,,1396.2333984375
"H05403-04-01","P05403-003",3,,,3,,,,2792.46655273438
"H05404-04-01","P05404-003",3,,,2,3,17,20,2792.46655273438
"H05406-04-01","P05406-001",3,,,2,3,16,20,2792.46655273438
"H05407-04-01","P05407-009",3,,,3,,,,1396.23327636719
"H05407-04-02","P05407-010",1,"P05407-014",1,,,24,28,1396.23327636719
"H05409-04-01","P05409-002",3,,,2,3,19,28,2792.46655273438
"H05409-04-01","P05409-009",2,"P05409-001",2,,,16,26,2792.46655273438
"H05412-04-01","P05412-008",1,"P05412-007",2,,,20,33,930.822265625
"H05412-04-02","P05412-001",2,"P05412-013",2,,,20,26,930.822265625
"H05412-04-03","P05412-018",2,"P05412-028",2,,,17,24,930.822265625
"H05701-04-01","P05701-001",3,,,1,3,22,27,2792.466796875
"H05702-04-01","P05702-001",1,"P05702-007",2,,,16,24,2792.466796875
"H05704-04-01","P05704-002",1,"P05704-001",1,,,20,29,2792.466796875
"H05705-04-01","P05705-007",3,,,1,3,15,22,2792.466796875
"H05706-04-01","P05706-002",2,"P05706-001",1,,,17,23,2792.466796875
"H05710-04-01","P05710-002",1,"P05710-001",1,,,19,33,2792.466796875
"H05711-04-01","P05711-001",2,,2,,,20,30,1396.2333984375
"H05711-04-02","P05711-002",1,"P05711-011",1,,,19,25,1396.2333984375
"H05901-04-01","P05901-002",2,"P05901-001",1,,,23,24,2551.701171875
"H05903-04-01","P05903-003",1,"P05903-001",1,,,23,28,2551.701171875
"H05904-04-01","P05904-002",2,"P05904-001",1,,,25,30,2551.701171875
"H05906-04-01","P05906-003",3,,,3,,,,1275.8505859375
"H05906-04-01","P05906-048",2,"P05906-001",2,,,14,19,1275.8505859375
"H05910-04-01","P05910-003",3,,,3,,,,2551.701171875
"H06001-04-01","P06001-002",1,"P06001-001",2,,,17,20,2551.70141601563
"H06005-04-01","P06005-005",3,,,3,,,,2551.70141601563
"H06005-04-01","P06005-002",1,"P06005-001",1,,,18,22,2551.70141601563
"H06006-04-01","P06006-002",1,"P06006-001",2,,,19,30,2551.70141601563
"H06008-04-01","P06008-002",1,"P06008-001",2,,,23,25,2551.70141601563
"H06009-04-01","P06009-003",3,,,,,,,2551.70141601563
"H06010-04-01","P06010-002",1,"P06010-001",1,,,25,26,2551.70141601563
"H06101-04-01","P06101-002",1,"P06101-001",1,,,14,30,2551.70141601563
"H06102-04-01","P06102-002",1,"P06102-001",1,,,17,25,2551.70141601563
"H06102-04-01","P06102-005",3,,,3,,,,2551.70141601563
"H06103-04-01","P06103-001",3,,,2,3,20,25,2551.70141601563
"H06104-04-02","P06104-021",3,,,3,,,,850.567138671875
"H06105-04-01","P06105-002",1,"P06105-001",1,,,19,21,1275.85070800781
"H06105-04-02","P06105-003",1,"P06105-001",1,,,19,27,1275.85070800781
"H06107-04-01","P06107-002",2,"P06107-001",1,,,21,38,2551.70141601563
"H06108-04-01","P06108-003",3,,,2,3,20,23,2551.70141601563
"H06201-04-01","P06201-007",1,"P06201-006",1,,,21,23,2551.701171875
"H06203-04-01","P06203-001",3,,,1,1,18,20,2551.701171875
"H06207-04-01","P06207-002",2,"P06207-001",1,,,20,35,2551.701171875
"H06208-04-01","P06208-002",1,"P06208-001",1,,,19,22,2551.701171875
"H06301-04-01","P06301-001",2,"P06301-006",2,,,18,25,2551.70141601563
"H06303-04-01","P06303-003",3,,,1,2,18,30,850.567138671875
"H06303-04-02","P06303-012",1,"P06303-013",2,,,17,38,850.567138671875
"H06303-04-03","P06303-007",3,,,1,2,15,27,850.567138671875
"H06305-04-01","P06305-001",3,,,1,1,18,19,2551.70141601563
"H06306-04-01","P06306-004",2,"P06306-001",2,,,14,16,2551.70141601563
"H06307-04-01","P06307-001",2,"P06307-007",1,,,18,45,2551.70141601563
"H06307-04-01","P06307-010",3,,,2,3,18,34,2551.70141601563
"H06309-04-01","P06309-001",1,,2,,,16,40,2551.70141601563
"H06309-04-01","P06309-002",3,,,3,,,,2551.70141601563
"H06310-04-01","P06310-002",1,"P06310-001",1,,,24,57,850.567138671875
"H06310-04-02","P06310-023",2,"P06310-016",1,,,21,25,850.567138671875
"H06310-04-03","P06310-021",1,"P06310-019",1,,,21,29,850.567138671875
"H06404-04-01","P06404-005",1,"P06404-001",1,,,13,20,2551.70141601563
"H06405-04-01","P06405-003",3,,,3,,,,2551.70141601563
"H06406-04-01","P06406-006",2,"P06406-001",1,,,20,27,2551.70141601563
"H06408-04-01","P06408-004",3,,,2,3,15,18,2551.70141601563
"H06408-04-01","P06408-001",2,"P06408-002",2,,,18,50,2551.70141601563
"H06410-04-01","P06410-002",1,"P06410-001",1,,,17,40,2551.70141601563
"H06411-04-01","P06411-002",2,"P06411-001",1,,,18,24,2551.70141601563
"H06411-04-01","P06411-021",3,,,2,1,19,21,2551.70141601563
"H06602-04-01","P06602-004",3,,,3,,,,2551.70141601563
"H06602-04-01","P06602-001",3,,,1,3,19,21,2551.70141601563
"H06603-04-01","P06603-002",1,"P06603-001",1,,,20,25,2551.70141601563
"H06603-04-01","P06603-003",2,"P06603-001",1,,,14,27,2551.70141601563
"H06606-04-01","P06606-002",1,"P06606-001",1,,,19,26,2551.70141601563
"H06607-04-01","P06607-002",3,,,1,2,16,25,2551.70141601563
"H06608-04-01","P06608-002",1,"P06608-001",1,,,18,24,2551.70141601563
"H06609-04-01","P06609-002",1,"P06609-001",1,,,23,25,2551.70141601563
"H06702-04-01","P06702-008",2,"P06702-001",1,,,16,20,2551.701171875
"H06702-04-01","P06702-009",3,,,3,,,,2551.701171875
"H06704-04-01","P06704-001",3,,,1,2,17,21,2551.701171875
"H06706-04-01","P06706-002",1,"P06706-001",2,,,15,25,2551.701171875
"H06707-04-02","P06707-021",1,"P06707-015",2,,,20,27,1275.8505859375
"H06709-04-01","P06709-001",1,,1,,,18,22,2551.701171875
"H06801-04-01","P06801-004",1,,2,,,17,20,2551.701171875
"H06803-04-01","P06803-003",3,,,1,3,14,30,2551.701171875
"H06805-04-01","P06805-001",3,,,2,3,26,28,2551.701171875
"H06806-04-01","P06806-001",3,,,1,1,20,40,2551.701171875
"H06810-04-01","P06810-002",3,,,1,3,18,22,1275.8505859375
"H06810-04-02","P06810-005",3,,,3,,,,1275.8505859375
"H06810-04-02","P06810-010",2,"P06810-001",2,,,20,26,1275.8505859375
"H06810-04-02","P06810-006",3,,,3,,,,1275.8505859375
"H06901-04-01","P06901-006",3,,,3,,,,2551.70141601563
"H06901-04-01","P06901-002",3,,,3,,,,2551.70141601563
"H06903-04-01","P06903-002",2,"P06903-001",1,,,15,30,2551.70141601563
"H06903-04-01","P06903-010",3,,,3,,,,2551.70141601563
"H06908-04-01","P06908-002",3,,,3,,,,1275.85070800781
"H06911-04-01","P06911-002",3,,,3,,,,1275.85070800781
"H06911-04-03","P06911-003",2,,2,,,20,24,1275.85070800781
"H06914-04-01","P06914-002",1,"P06914-001",2,,,16,45,2551.70141601563
"H07003-04-01","P07003-002",2,"P07003-001",1,,,15,20,2551.70141601563
"H07007-04-01","P07007-002",1,"P07007-001",1,,,16,31,1275.85070800781
"H07007-04-01","P07007-003",3,,,3,,,,1275.85070800781
"H07007-04-02","P07007-004",2,"P07007-014",1,,,22,24,1275.85070800781
"H07008-04-01","P07008-001",3,,,2,1,18,24,2551.70141601563
"H07010-04-01","P07010-002",1,"P07010-001",2,,,15,20,2551.70141601563
"H07201-04-01","P07201-002",2,"P07201-001",1,,,19,30,2551.70141601563
"H07202-04-01","P07202-002",1,"P07202-001",1,,,18,21,1275.85070800781
"H07203-04-01","P07203-002",2,"P07203-001",1,,,17,20,2551.70141601563
"H07206-04-01","P07206-002",1,"P07206-001",1,,,16,18,2551.70141601563
"H07206-04-01","P07206-003",3,,,3,,,,2551.70141601563
"H07207-04-01","P07207-006",2,"P07207-001",2,,,29,28,1275.85070800781
"H07208-04-01","P07208-012",3,,,3,,,,1275.85070800781
"H07208-04-01","P07208-003",1,"P07208-001",2,,,15,28,1275.85070800781
"H07208-04-02","P07208-002",1,"P07208-001",1,,,15,20,1275.85070800781
"H07210-04-01","P07210-002",1,"P07210-001",1,,,17,19,2551.70141601563
"H07303-04-01","P07303-002",2,"P07303-001",1,,,15,20,2551.701171875
"H07309-04-01","P07309-002",2,"P07309-001",1,,,15,25,2551.701171875
"H07310-04-01","P07310-031",3,,,1,2,24,18,2551.701171875
"H07310-04-01","P07310-005",3,,,3,,,,2551.701171875
"H07310-04-01","P07310-024",3,,,3,,,,2551.701171875
"H07310-04-01","P07310-004",3,,,1,2,17,20,2551.701171875
"H07310-04-01","P07310-026",3,,,1,2,16,20,2551.701171875
"H07404-04-01","P07404-002",2,"P07404-001",2,,,18,25,2551.70141601563
"H07406-04-01","P07406-002",3,,,1,3,15,20,2551.70141601563
"H07408-04-01","P07408-002",2,"P07408-001",1,,,19,35,850.567138671875
"H07408-04-03","P07408-015",1,,1,,,18,21,850.567138671875
"H07410-04-01","P07410-003",1,"P07410-001",2,,,16,20,2551.70141601563
"H07410-04-01","P07410-002",1,"P07410-001",1,,,19,21,2551.70141601563
"H07412-04-01","P07412-004",2,"P07412-001",2,,,12,30,2551.70141601563
"H07413-04-01","P07413-006",1,"P07413-001",1,,,24,32,2551.70141601563
"H07501-04-01","P07501-002",2,"P07501-001",1,,,18,25,2551.70141601563
"H07502-04-01","P07502-002",1,"P07502-001",1,,,17,30,425.283569335938
"H07502-04-04","P07502-030",2,"P07502-029",2,,,16,23,425.283569335938
"H07502-04-07","P07502-004",2,"P07502-038",1,,,22,23,425.283569335938
"H07504-04-01","P07504-001",3,,,2,2,17,36,2551.70141601563
"H07504-04-01","P07504-012",3,,,3,,,,2551.70141601563
"H07506-04-01","P07506-003",3,,,3,,,,2551.70141601563
"H07508-04-01","P07508-006",3,,,3,,,,2551.70141601563
"H07508-04-01","P07508-003",3,,,3,,,,2551.70141601563
"H07509-04-01","P07509-011",1,"P07509-010",1,,,20,28,637.925354003906
"H07509-04-02","P07509-025",1,"P07509-001",2,,,19,22,637.925354003906
"H07509-04-03","P07509-018",3,,,3,,,,637.925354003906
"H07509-04-04","P07509-005",3,,,1,2,14,19,637.925354003906
"H07510-04-01","P07510-003",3,,,3,,,,2551.70141601563
"H08101-04-01","P08101-001",2,"P08101-002",1,,,26,32,2792.466796875
"H08102-04-01","P08102-001",3,,,1,3,19,30,465.4111328125
"H08102-04-02","P08102-005",2,"P08102-004",1,,,18,22,465.4111328125
"H08103-04-01","P08103-002",1,"P08103-001",2,,,25,30,2792.466796875
"H08107-04-01","P08107-002",1,"P08107-001",1,,,16,20,2792.466796875
"H08114-04-01","P08114-001",2,,1,,,17,33,2792.466796875
"H08302-04-01","P08302-002",2,"P08302-001",1,,,19,22,698.11669921875
"H08302-04-02","P08302-010",3,,,3,,,,698.11669921875
"H08302-04-04","P08302-018",1,"P08302-017",1,,,16,26,698.11669921875
"H08302-04-04","P08302-021",3,,,3,,,,698.11669921875
"H08303-04-01","P08303-014",3,,,3,,,,2792.466796875
"H08303-04-01","P08303-017",3,,,3,,,,2792.466796875
"H08303-04-01","P08303-003",1,"P08303-001",1,,,18,28,2792.466796875
"H08304-04-01","P08304-002",1,"P08304-001",1,,,19,26,2792.466796875
"H08306-04-01","P08306-001",2,"P08306-007",2,,,15,27,2792.466796875
"H08307-04-03","P08307-002",3,,,2,2,18,25,1396.2333984375
"H08308-04-01","P08308-001",3,,,1,2,16,15,1396.2333984375
"H08308-04-03","P08308-024",1,"P08308-023",1,,,27,37,1396.2333984375
"H08402-04-01","P08402-001",3,,,2,1,18,24,2792.466796875
"H08404-04-01","P08404-002",1,"P08404-001",1,,,18,24,2792.466796875
"H08405-04-01","P08405-002",2,"P08405-001",1,,,17,22,2792.466796875
"H08406-04-01","P08406-001",3,,,2,3,17,24,698.11669921875
"H08406-04-02","P08406-011",2,"P08406-010",1,,,17,20,698.11669921875
"H08406-04-04","P08406-020",2,"P08406-008",1,,,18,20,698.11669921875
"H08408-04-01","P08408-002",1,"P08408-001",1,,,22,30,2792.466796875
"H08409-04-01","P08409-004",3,,,3,,,,1396.2333984375
"H08409-04-02","P08409-008",1,"P08409-007",1,,,17,20,1396.2333984375
"H08410-04-01","P08410-002",2,"P08410-001",1,,,17,24,2792.466796875
"H08410-04-01","P08410-004",3,,,3,,,,2792.466796875
"H08411-04-01","P08411-001",3,,,1,2,16,17,2792.466796875
"H08501-04-01","P08501-002",1,"P08501-001",2,,,17,18,2792.466796875
"H08502-04-01","P08502-002",1,"P08502-001",1,,,17,25,2792.466796875
"H08502-04-01","P08502-004",3,,,3,,,,2792.466796875
"H08502-04-01","P08502-003",3,,,1,2,17,22,2792.466796875
"H08503-04-02","P08503-007",2,"P08503-006",1,,,19,23,930.822265625
"H08503-04-03","P08503-003",3,,,2,3,14,25,930.822265625
"H08504-04-01","P08504-006",3,,,2,3,19,30,2792.466796875
"H08505-04-01","P08505-002",2,"P08505-001",1,,,18,21,2792.466796875
"H08507-04-01","P08507-001",3,,,1,1,16,20,2792.466796875
"H08508-04-01","P08508-002",3,,,1,3,18,18,2792.466796875
"H08510-04-02","P08510-013",3,,,3,,,,1396.2333984375
"H08602-04-02","P08602-003",3,,,2,3,19,28,930.822265625
"H08602-04-03","P08602-015",2,"P08602-004",1,,,18,20,930.822265625
"H08603-04-01","P08603-014",3,,,3,,,,1396.23327636719
"H08603-04-01","P08603-002",1,"P08603-001",1,,,19,22,1396.23327636719
"H08609-04-01","P08609-007",3,,,3,,,,2792.46655273438
"H08708-04-02","P08708-011",2,"P08708-010",1,,,18,22,1396.2333984375
"H09001-04-01","P09001-002",2,"P09001-001",1,,,20,27,1275.85070800781
"H09001-04-02","P09001-012",2,"P09001-003",1,,,20,22,1275.85070800781
"H09003-04-01","P09003-002",2,"P09003-001",1,,,18,20,2551.70141601563
"H09004-04-02","P09004-003",2,"P09004-010",2,,,20,26,1275.85070800781
"H09007-04-01","P09007-004",3,,,3,,,,2551.70141601563
"H09007-04-01","P09007-002",1,"P09007-001",1,,,20,30,2551.70141601563
"H09008-04-01","P09008-020",3,,,1,2,15,27,1275.85070800781
"H09008-04-01","P09008-008",3,,,3,,,,1275.85070800781
"H09009-04-02","P09009-002",2,"P09009-010",2,,,16,24,1275.85070800781
"H09010-04-01","P09010-004",3,,,2,3,19,30,2551.70141601563
"H09011-04-01","P09011-002",2,"P09011-001",1,,,21,30,2551.70141601563
"H09101-04-01","P09101-002",3,,,3,,,,2551.701171875
"H09102-04-01","P09102-002",2,"P09102-001",2,,,15,30,2551.701171875
"H09103-04-01","P09103-002",1,"P09103-001",1,,,18,22,2551.701171875
"H09105-04-01","P09105-006",3,,,3,,,,1275.8505859375
"H09105-04-01","P09105-002",1,"P09105-001",1,,,20,30,1275.8505859375
"H09105-04-02","P09105-014",1,"P09105-004",1,,,19,21,1275.8505859375
"H09106-04-02","P09106-002",1,"P09106-006",1,,,19,27,1275.8505859375
"H09109-04-01","P09109-008",2,"P09109-002",1,,,20,24,2551.701171875
"H09110-04-01","P09110-004",3,,,3,,,,2551.701171875
"H09111-04-01","P09111-002",2,"P09111-001",2,,,17,35,2551.701171875
"H09203-04-01","P09203-002",1,"P09203-001",1,,,14,35,2551.70141601563
"H09206-04-01","P09206-008",1,"P09206-001",1,,,16,22,2551.70141601563
"H09403-04-01","P09403-001",3,,,1,3,23,32,1396.2333984375
"H09403-04-02","P09403-004",3,,,1,3,29,40,1396.2333984375
"H09504-04-01","P09504-008",3,,,3,,,,2792.466796875
"H09504-04-01","P09504-001",1,"P09504-002",1,,,32,31,2792.466796875
"H09505-04-01","P09505-002",1,"P09505-001",2,,,25,32,2792.466796875
"H09509-04-01","P09509-001",3,,,1,3,16,27,2792.466796875
