"District_Name","SubCounty","Parish","Villagecode","C4NQ113","C4NQ114","Health_Response","Reason_Health_Not_Done"
117,117110,11711003,1171100309,1,1,1,
117,117110,11711003,1171100312,1,1,1,
118,118101,11810104,1181010407,1,1,1,
119,119103,11910303,1191030304,1,1,1,
120,120105,12010502,1201050202,,,3,"Not there. Go to mainland at different locations"
122,122102,12210206,1221020604,1,1,1,
122,122105,12210502,1221050203,1,1,1,
122,122106,12210602,1221060206,1,1,1,
123,123108,12310803,1231080303,1,1,1,
124,124101,12410106,1241010603,1,1,1,
124,124103,12410302,1241030216,1,1,1,
124,124104,12410401,1241040102,1,1,1,
124,124107,12410701,1241070106,2,,1,
124,124108,12410802,1241080210,1,1,1,
201,201106,20110602,2011060205,1,1,1,
201,201106,20110602,2011060205,1,1,1,
201,201110,20111009,2011100902,1,1,1,
203,203202,20320203,2032020304,1,2,2,
203,203301,20330101,2033010101,1,1,1,
203,203303,20330304,2033030403,1,1,3,"Main facility is a Hospital"
204,204101,20410103,2041010302,1,1,,
204,204102,20410204,2041020405,1,1,1,
204,204203,20420301,2042030105,1,1,,
204,204301,20430101,2043010103,1,1,1,
204,204301,20430102,2043010202,1,1,,
204,204302,20430205,2043020514,1,1,2,
205,205104,20510401,2051040101,,,3,"they use a gov''t hospital (kamuli hospital)"
207,207103,20710301,2071030105,1,1,1,
208,208102,20810214,2081021402,1,1,1,
208,208102,20810214,2081021402,1,1,1,
208,208104,20810404,2081040401,1,1,1,
208,208107,20810713,2081071301,1,1,1,
209,209201,20920101,2092010105,1,2,1,
209,209201,20920104,2092010401,,,3,"weekend"
210,210205,21020504,2102050401,,,3,"staff gone on outreach"
210,210205,21020504,2102050401,,,1,
210,210205,21020504,2102050401,1,1,3,"staff gone on outreach"
210,210205,21020504,2102050401,1,1,1,
211,211101,21110105,2111010504,1,1,1,
211,211103,21110303,2111030302,1,1,1,
211,211106,21110603,2111060303,1,1,1,
212,212104,21210403,2121040306,1,1,1,
212,212105,21210504,2121050407,1,1,1,
212,212202,21220201,2122020101,1,1,1,
212,212305,21230502,2123050204,1,1,1,
212,212311,21231101,2123110101,1,1,1,
214,214101,21410104,2141010403,,,3,"They use a hospital called buloba st. francis hospital"
214,214101,21410106,2141010604,,,3,"it''s a gorvenment hospital (st francis buluba hospital)"
214,214102,21410202,2141020206,1,1,2,
214,214108,21410801,2141080105,,,,
214,214113,21411301,2141130103,1,1,2,
214,214113,21411303,2141130307,,,1,
214,214113,21411303,2141130307,,,,
214,214113,21411303,2141130307,1,1,,
214,214113,21411303,2141130307,1,1,1,
215,215109,21510902,2151090208,1,1,1,
215,215115,21511502,2151150202,1,1,1,
215,215120,21512002,2151200204,1,1,1,
216,216202,21620203,2162020306,1,1,1,
216,216202,21620203,2162020306,1,1,1,
218,218103,21810302,2181030213,1,1,1,
218,218115,21811504,2181150401,1,1,1,
219,219103,21910313,2191031301,1,1,1,
219,219103,21910317,2191031702,1,1,1,
219,219103,21910317,2191031702,1,1,1,
221,221109,22110902,2211090203,1,1,1,
221,221109,22110905,2211090505,1,1,1,
222,222106,22210602,2221060201,1,1,1,
223,223108,22310805,2231080506,1,1,1,
223,223120,22312002,2231200204,1,1,2,
223,223121,22312101,2231210104,1,2,1,
223,223121,22312101,2231210105,1,2,3,
223,223121,22312103,2231210302,1,2,1,
223,223126,22312601,2231260115,1,1,1,
223,223128,22312801,2231280102,1,1,2,
224,224105,22410505,2241050511,1,1,,
225,225103,22510304,2251030415,1,2,1,
225,225111,22511103,2251110322,2,,2,
226,226101,22610101,2261010102,1,1,1,
226,226103,22610302,2261030205,1,1,1,
226,226103,22610303,2261030301,1,2,,
226,226104,22610405,2261040510,1,1,1,
228,228102,22810203,2281020304,1,2,1,
230,230107,23010709,2301070905,,,,
232,232101,23210104,2321010406,1,1,1,
232,232203,23220304,2322030405,1,1,1,
302,302101,30210102,3021010215,1,1,,
302,302201,30220105,3022010508,1,1,1,
302,302201,30220107,3022010708,1,1,2,
302,302203,30220302,3022030205,,,,
302,302204,30220405,3022040505,1,1,1,
302,302205,30220505,3022050502,1,1,1,
303,303201,30320102,3032010205,1,1,1,
303,303202,30320207,3032020706,1,2,1,
303,303204,30320405,3032040506,,,3,"The Community uses the Referal Hospital"
303,303402,30340204,3034020408,1,1,1,
303,303404,30340401,3034040102,1,1,1,
303,303404,30340403,3034040304,1,1,1,
303,303405,30340507,3034050711,1,1,1,
303,303503,30350304,3035030411,1,1,,
303,303504,30350402,3035040205,1,1,1,
304,304102,30410201,3041020101,1,1,,
304,304204,30420401,3042040105,1,1,1,
304,304204,30420402,3042040201,1,1,1,
304,304301,30430104,3043010404,1,1,1,
305,305102,30510208,3051020803,,,,
306,306102,30610203,3061020306,1,1,1,
306,306103,30610301,3061030101,1,1,1,
306,306103,30610301,3061030101,1,1,1,
306,306106,30610601,3061060103,1,1,1,
307,307108,30710802,3071080206,1,1,,
307,307108,30710803,3071080301,1,1,,
307,307202,30720203,3072020302,,,3,"FACILITY MAINLY USED IS HOSPITAL"
308,308102,30810206,3081020606,1,1,1,
309,309102,30910205,3091020502,1,1,1,
309,309103,30910305,3091030501,1,1,1,
309,309204,30920406,3092040606,1,1,1,
310,310102,31010202,3101020203,1,1,1,
310,310206,31020603,3102060309,1,1,1,
310,310206,31020604,3102060408,1,1,1,
310,310207,31020706,3102070603,,,3,"THE COMMUNITY USES THE HOSPITAL"
311,311103,31110302,3111030202,1,1,1,
311,311103,31110302,3111030202,1,1,1,
311,311302,31130201,3113020101,1,1,1,
312,312105,31210502,3121050202,1,1,,
313,313102,31310205,3131020505,1,1,1,
313,313104,31310403,3131040312,1,1,1,
314,314103,31410304,3141030403,1,1,1,
317,317101,31710101,3171010102,1,1,,
317,317102,31710202,3171020201,1,1,1,
317,317106,31710605,3171060512,1,1,2,
318,318103,31810302,3181030204,2,,1,
318,318103,31810302,3181030204,2,,1,
318,318107,31810705,3181070501,1,1,1,
318,318114,31811402,3181140207,1,1,1,
319,319103,31910303,3191030304,1,1,1,
319,319105,31910508,3191050803,1,1,1,
319,319107,31910702,3191070202,1,1,1,
320,320103,32010303,3201030323,1,1,1,
320,320108,32010808,3201080801,1,1,1,
321,321103,32110304,3211030405,1,1,,
321,321105,32110505,3211050502,1,1,1,
321,321106,32110601,3211060105,1,1,1,
321,321107,32110706,3211070617,1,1,1,
322,322108,32210802,3221080206,1,1,1,
322,322111,32211104,3221110412,1,1,2,
323,323104,32310403,3231040301,1,1,1,
323,323106,32310604,3231060409,1,1,,
323,323107,32310701,3231070104,1,1,2,
323,323108,32310802,3231080204,1,1,1,
325,325101,32510102,3251010205,1,1,1,
325,325103,32510305,3251030508,1,1,1,
325,325103,32510306,3251030601,1,1,2,
325,325103,32510306,3251030602,1,1,2,
327,327103,32710303,3271030305,1,1,1,
329,329106,32910602,3291060206,1,1,,
330,330107,33010701,3301070101,1,1,1,
330,330107,33010703,3301070303,1,1,1,
330,330110,33011001,3301100102,1,1,1,
402,402207,40220705,4022070507,1,1,1,
402,402208,40220805,4022080505,1,1,1,
403,403101,40310102,4031010202,1,1,1,
403,403105,40310505,4031050502,1,1,1,
403,403201,40320102,4032010205,1,1,1,
403,403205,40320504,4032050403,1,1,3,"INCHARGE HAD GONE TO THE REFUGEE CAMP FOR A MEETING"
403,403301,40330104,4033010412,,,3,"THE COMMUNITY USES A HOSPITAL"
404,404102,40410203,4041020302,1,1,1,
404,404207,40420704,4042070409,1,1,1,
404,404403,40440303,4044030303,1,1,1,
405,405104,40510402,4051040205,1,1,1,
405,405208,40520803,4052080304,1,2,1,
405,405211,40521103,4052110310,1,1,1,
405,405301,40530104,4053010409,1,1,1,
405,405302,40530203,4053020304,1,1,2,
406,406108,40610804,4061080401,1,1,1,
406,406201,40620102,4062010203,1,1,,
406,406210,40621003,4062100306,1,1,1,
406,406212,40621201,4062120102,1,1,3,"THEY HAD ALL GONE FOR OUTREACH(THEY ARE ONLY TWO)"
406,406303,40630307,4063030706,1,1,1,
407,407202,40720204,4072020402,1,1,1,
407,407205,40720501,4072050104,,,3,"THE COMMUNITY USE KAGADI HOSPITAL"
407,407303,40730303,4073030305,1,1,3,"INCHARGE NOT AROUND & OTHERS WERE TOO BUSY TO ATTEND TO ME"
407,407306,40730604,4073060419,1,1,3,"WEEKEND"
408,408102,40810201,4081020104,1,1,1,
408,408112,40811202,4081120206,2,,1,
408,408113,40811304,4081130406,1,1,1,
409,409101,40910104,4091010401,,,3,"THEY USE A PRIVATE HOSPITAL & P7 PUPILS HAD ALREADY LEFT SCHOOL."
409,409203,40920305,4092030509,1,1,1,
409,409301,40930103,4093010304,,,3,"THE COMMUNITY USE  MASINDI HOSPITAL"
410,410102,41010204,4101020405,1,2,1,
410,410105,41010502,4101050204,1,2,1,
410,410201,41020101,4102010106,,,3,"IN CHARGE & ASSISTANT IN WORKSOP FOR A WEEK. TO BE DONE DURING SECOND VISIST"
410,410201,41020101,4102010107,1,1,3,"IN CHARGE NOT AROUND TO BE CAPTURED DURING 2nd VISIT"
410,410303,41030306,4103030601,1,1,1,
411,411103,41110301,4111030105,1,1,1,
411,411203,41120302,4112030202,1,1,1,
411,411302,41130202,4113020204,1,1,1,
411,411304,41130402,4113040203,1,1,2,
411,411402,41140202,4114020204,1,1,1,
411,411403,41140303,4114030308,1,1,1,
412,412103,41210304,4121030414,1,1,1,
412,412201,41220107,4122010704,1,1,1,
412,412203,41220304,4122030405,1,1,3,"NO BODY WAS AT THE HEALTH CENTER/ IT WAS LOCKED FOR THE THREE DAS WE WERE IN THE EA"
414,414116,41411601,4141160106,1,1,1,
415,415105,41510502,4151050204,1,1,1,
415,415106,41510608,4151060812,1,1,1,
415,415110,41511004,4151100404,1,1,1,
415,415114,41511407,4151140703,1,1,1,
417,417101,41710101,4171010109,1,1,1,
417,417102,41710201,4171020103,1,1,1,
417,417104,41710401,4171040107,1,1,1,
417,417105,41710501,4171050107,1,1,2,
417,417110,41711004,4171100404,1,1,1,
417,417114,41711404,4171140402,1,1,1,
418,418104,41810403,4181040301,2,,1,
418,418201,41820102,4182010203,2,,1,
418,418202,41820201,4182020104,1,2,3,"HEALTH WORK NOT FOUND TO BE DONE DURING THE 2nd VISIT"
418,418209,41820907,4182090702,1,1,1,
419,419204,41920402,4192040205,1,1,1,
420,420107,42010704,4201070403,1,1,2,
420,420108,42010803,4201080309,1,1,1,
421,421108,42110801,4211080107,1,1,1,
422,422102,42210204,4221020401,1,1,2,
423,423109,42310905,4231090509,,,3,"NOT DONE, ITS A WEEKEND"
426,426104,42610402,4261040201,2,,1,
