"District_Name","SubCounty","Parish","Villagecode","HSD_ID","C4H_Element","C4H_Month","C4H_Year","C4HQ82","C4HQ83","C4HQ84","C4HQ85","C4HQ86","C4H_Element_V2","C4H_Month_V2","C4H_Year_V2","C4HQ82_V2","C4HQ83_V2","C4HQ84_V2","C4HQ85_V2","C4HQ86_V2","Health_Response","Reason_Health_Not_Done"
102,102102,10210208,1021020805,1,1,1,4,2234,"2234","2288",1,"Re attendencies",,,,,,,,,1,
102,102102,10210208,1021020805,2,1,2,4,2747,"2747","2843",1,"Re attendences",,,,,,,,,1,
102,102102,10210208,1021020805,3,2,1,4,105,"105","105",2,,,,,,,,,,1,
102,102102,10210208,1021020805,4,2,2,4,94,"94","94",2,,,,,,,,,,1,
102,102102,10210208,1021020805,5,3,1,4,62,"62","62",2,,,,,,,,,,1,
102,102102,10210208,1021020805,6,3,2,4,54,"54","54",2,,,,,,,,,,1,
102,102103,10210301,1021030109,,,,,,,,,,,,,,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,1,1,4,1825,"1825","1825",2,,,,,,,,,,1,
102,102103,10210302,1021030203,2,2,1,4,190,"190","190",2,,,,,,,,,,1,
102,102103,10210302,1021030203,3,3,1,4,54,"54","54",2,,,,,,,,,,1,
102,102103,10210302,1021030203,4,1,2,4,3414,"3414","3414",2,,,,,,,,,,1,
102,102103,10210302,1021030203,5,2,2,4,189,"189","189",2,,,,,,,,,,1,
102,102103,10210302,1021030203,6,3,2,4,65,"65","65",2,,,,,,,,,,1,
102,102103,10210304,1021030412,1,1,1,4,1826,"1826","1826",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,2,2,1,4,190,"190","190",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,3,3,1,4,54,"54","54",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,4,1,2,4,3414,"3414","3414",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,5,2,2,4,189,"189","189",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210304,1021030412,6,3,2,4,65,"65","65",2,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210305,1021030504,1,1,1,4,3255,"-","4040",1,"WRONG NUMBERING",,,,,,,,,1,
102,102103,10210305,1021030504,2,1,2,4,3045,"-","3430",1,"WRONG NUMBERING",,,,,,,,,1,
102,102103,10210305,1021030504,3,2,1,4,247,"-","247",2,,,,,,,,,,1,
102,102103,10210305,1021030504,4,2,2,4,215,"-","215",2,,,,,,,,,,1,
102,102103,10210305,1021030504,5,3,1,4,344,"-","212",1,"MISSING  TALLY  SHEETS",,,,,,,,,1,
102,102103,10210305,1021030504,6,3,2,3,267,"-","199",1,"MISSING  TALLY SHEETS",,,,,,,,,1,
102,102103,10210305,1021030509,,,,,,,,,,,,,,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,,,,,,,,,,,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,,,,,,,,,,,,,,,,
102,102103,10210309,1021030904,1,1,1,4,1825,"1825","1825",2,,,,,,,,,,1,
102,102103,10210309,1021030904,1,1,1,4,1825,"1825","1825",2,,,,,,,,,,1,
102,102103,10210309,1021030904,2,1,2,4,3414,"3414","3414",2,,,,,,,,,,1,
102,102103,10210309,1021030904,2,1,2,4,3414,"3414","3414",2,,,,,,,,,,1,
102,102103,10210309,1021030904,3,2,1,4,190,"190","190",2,,,,,,,,,,1,
102,102103,10210309,1021030904,3,2,1,4,190,"190","190",2,,,,,,,,,,1,
102,102103,10210309,1021030904,4,2,2,4,189,"189","189",2,,,,,,,,,,1,
102,102103,10210309,1021030904,4,2,2,4,189,"189","189",2,,,,,,,,,,1,
102,102103,10210309,1021030904,5,3,1,4,54,"54","54",2,,,,,,,,,,1,
102,102103,10210309,1021030904,5,3,1,4,54,"54","54",2,,,,,,,,,,1,
102,102103,10210309,1021030904,6,3,2,4,65,"65","65",2,,,,,,,,,,1,
102,102103,10210309,1021030904,6,3,2,4,65,"65","65",2,,,,,,,,,,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,1,1,1,4,1806,"1806","2024",1,"RE ATTENDENCES",1,3,4,2913,"2913",2972,1,"re attendence",1,
102,102104,10210401,1021040102,2,1,2,4,29954,"29954","30703",1,"RE ATTENDENCE",1,4,4,2940,"2940",2972,1,"re attendence",1,
102,102104,10210401,1021040102,3,2,1,4,173,"173","173",2,,2,3,4,158,"158",158,2,,1,
102,102104,10210401,1021040102,4,2,2,4,1914,"1914","1914",2,,2,4,4,182,"182",182,2,,1,
102,102104,10210401,1021040102,5,3,1,4,105,"105","105",2,,3,3,4,162,"162",162,2,,1,
102,102104,10210401,1021040102,6,3,2,4,1263,"1263","1263",2,,3,4,4,170,"170",170,2,,1,
102,102104,10210402,1021040203,,,,,,,,,,,,,,,,,,3,
102,102104,10210410,1021041002,1,1,1,4,3389,"3389","3389",2,,,,,,,,,,2,
102,102104,10210410,1021041002,2,1,2,4,2902,"2902","2902",2,,,,,,,,,,2,
102,102104,10210410,1021041002,3,2,1,4,187,"187","187",2,,,,,,,,,,2,
102,102104,10210410,1021041002,4,2,2,4,153,"153","153",2,,,,,,,,,,2,
102,102104,10210410,1021041002,5,3,1,4,1648,"1648","1648",2,,,,,,,,,,2,
102,102104,10210410,1021041002,6,3,2,4,497,"497","497",2,,,,,,,,,,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,,,,,,
102,102104,10210417,1021041701,,,,,,,,,,,,,,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,,,,,,,,,,,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,,,,,,,,,,,,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,,,,,,,,,,,,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,,,,,,,,,,,,,,,,3,
102,102105,10210510,1021051004,1,1,1,4,2234,"2234","2288",1,"RE ATTENDENCES",,,,,,,,,1,
102,102105,10210510,1021051004,2,1,2,4,2747,"2747","2843",1,"RE ATTENDENCES",,,,,,,,,1,
102,102105,10210510,1021051004,3,2,1,4,105,"105","105",2,,,,,,,,,,1,
102,102105,10210510,1021051004,4,2,2,4,94,"94","94",2,,,,,,,,,,1,
102,102105,10210510,1021051004,5,3,1,4,62,"62","62",2,,,,,,,,,,1,
102,102105,10210510,1021051004,6,3,2,4,54,"54","54",2,,,,,,,,,,1,
102,102105,10210513,1021051305,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,,,,,,,,,,,,,,,,,,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,,,,,,,,,,,,,,,,,,3,"Hospital level"
104,104102,10410204,1041020405,1,1,1,4,1057,"-","1057",2,,1,3,4,1196,"1196",1196,2,,1,
104,104102,10410204,1041020405,2,1,2,4,1725,"-","1725",2,,1,4,4,1535,"1535",1535,2,,1,
104,104102,10410204,1041020405,3,2,1,4,35,"-","35",2,,2,3,4,40,"40",40,2,,1,
104,104102,10410204,1041020405,4,2,2,4,39,"-","39",2,,2,4,4,29,"29",29,2,,1,
104,104102,10410204,1041020405,5,3,1,4,40,"-","40",2,,3,3,4,35,"35",35,2,,1,
104,104102,10410204,1041020405,6,3,2,4,34,"-","34",2,,3,4,4,56,"56",56,2,,1,
104,104104,10410403,1041040304,1,1,1,4,879,"879","879",2,,1,3,4,775,"775",775,2,,1,
104,104104,10410403,1041040304,2,1,2,4,1560,"1560","1560",2,,1,4,4,1082,"1082",1082,2,,1,
104,104104,10410403,1041040304,3,2,1,4,0,"0","0",2,,2,3,4,9,"9",9,2,,1,
104,104104,10410403,1041040304,4,2,2,4,10,"10","10",2,,2,4,4,19,"19",19,2,,1,
104,104104,10410403,1041040304,5,3,1,4,18,"18","18",2,,3,3,4,30,"30",30,2,,1,
104,104104,10410403,1041040304,6,3,2,4,20,"20","20",2,,3,4,4,19,"19",19,2,,1,
104,104105,10410504,1041050403,1,1,1,4,1364,"1364","1364",2,,1,3,4,1073,"1073",1073,2,,1,
104,104105,10410504,1041050403,2,1,2,4,1893,"1893","1893",2,,1,4,4,1646,"1646",1646,2,,1,
104,104105,10410504,1041050403,3,2,1,4,41,"41","41",2,,2,3,4,64,"64",64,2,,1,
104,104105,10410504,1041050403,4,2,2,4,42,"42","42",2,,2,4,4,55,"55",55,2,,1,
104,104105,10410504,1041050403,5,3,1,4,47,"47","47",2,,3,3,4,105,"105",105,2,,1,
104,104105,10410504,1041050403,6,3,2,4,41,"41","41",2,,3,4,4,70,"70",70,2,,1,
104,104208,10420804,1042080404,1,1,1,4,971,"971","971",2,,1,3,4,819,"819",819,2,,1,
104,104208,10420804,1042080404,2,1,2,4,1442,"1442","1442",2,,1,4,4,923,"923",923,2,,1,
104,104208,10420804,1042080404,3,2,1,4,46,"46","46",2,,2,3,4,50,"50",50,2,,1,
104,104208,10420804,1042080404,4,2,2,4,43,"43","43",2,,2,4,4,49,"49",49,2,,1,
104,104208,10420804,1042080404,5,3,1,4,17,"17","17",2,,3,3,4,9,"9",9,2,,1,
104,104208,10420804,1042080404,6,3,2,4,12,"12","12",2,,3,4,4,10,"10",10,2,,1,
105,105105,10510502,1051050201,2,,,,,"-",,,,1,4,5,736,"-",739,1,,1,
105,105105,10510502,1051050201,4,,,,,"-",,,,1,4,5,750,"-",750,2,,1,
105,105105,10510502,1051050201,5,,,,,,,,,3,3,5,15,"-",15,2,,1,
105,105105,10510502,1051050201,6,,,,,,,,,3,4,5,14,"-",14,2,,1,
106,106101,10610101,1061010108,1,1,1,4,1122,"1122","1122",2,,1,3,4,1430,"1430",1430,2,,1,
106,106101,10610101,1061010108,2,1,2,4,1830,"1830","1830",2,,1,4,4,1625,"1625",1625,2,,1,
106,106101,10610101,1061010108,3,2,1,4,46,"46","46",2,,2,3,4,50,"50",50,2,,1,
106,106101,10610101,1061010108,4,2,2,4,40,"40","40",2,,2,4,4,54,"54",54,2,,1,
106,106101,10610101,1061010108,5,3,1,4,86,"86","86",2,,3,3,4,175,"175",175,2,,1,
106,106101,10610101,1061010108,6,3,2,4,167,"167","167",2,,3,4,4,197,"197",197,2,,1,
106,106101,10610109,1061010902,1,1,1,4,1122,"1122","1122",2,,1,3,4,1743,"1743",1743,2,,1,
106,106101,10610109,1061010902,2,1,2,4,1830,"1380","1380",2,,1,4,4,1609,"1609",1609,2,,1,
106,106101,10610109,1061010902,3,2,1,4,46,"46","46",2,,2,3,4,52,"52",52,2,,1,
106,106101,10610109,1061010902,4,2,2,4,40,"40","40",2,,2,4,4,40,"40",40,2,,1,
106,106101,10610109,1061010902,5,3,1,4,86,"86","86",2,,3,3,4,74,"74",74,2,,1,
106,106101,10610109,1061010902,6,3,2,4,167,"167","167",2,,3,4,4,98,"98",98,2,,1,
106,106106,10610606,1061060602,1,1,1,4,963,"963","963",2,,1,3,4,1101,"1101",1101,2,,1,
106,106106,10610606,1061060602,2,1,2,4,2573,"2573","2573",2,,1,4,4,1172,"1172",1172,2,,1,
106,106106,10610606,1061060602,3,2,1,4,34,"34","34",2,,2,3,4,45,"45",45,2,,1,
106,106106,10610606,1061060602,4,2,2,4,47,"47","47",2,,2,4,4,33,"33",33,2,,1,
106,106106,10610606,1061060602,5,3,1,4,3,"3","3",2,,3,3,4,11,"11",11,2,,1,
106,106106,10610606,1061060602,6,3,2,4,36,"36","36",2,,3,4,4,18,"18",18,2,,1,
107,107105,10710503,1071050302,,,,,,,,,,,,,,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,,,,,,,,,,,,,,,,,,3,"Refferal Hospital"
107,107202,10720206,1072020601,,,,,,,,,,,,,,,,,,3,"Hospital"
107,107302,10730203,1073020305,1,1,1,4,651,"-","651",2,,1,3,4,225,"225",291,1,,1,
107,107302,10730203,1073020305,2,1,2,4,618,"-","578",1,"Could not account for variance",1,4,4,464,"464",469,1,"Miscount",1,
107,107302,10730203,1073020305,3,2,1,4,19,"-","19",2,,2,3,5,15,"15",15,2,,1,
107,107302,10730203,1073020305,4,2,2,4,18,"-","18",2,,2,4,4,14,"14",14,2,,1,
107,107302,10730203,1073020305,5,3,1,4,53,"-","53",2,,3,3,5,21,"21",21,2,,1,
107,107302,10730203,1073020305,6,3,2,4,40,"-","40",2,,3,4,5,39,"39",39,2,,1,
107,107305,10730507,1073050702,1,1,1,4,783,"-","785",1,"Error in ticking",1,3,4,501,"501",534,1,"Included re-attendance",1,
107,107305,10730507,1073050702,2,1,2,4,1190,"-","1190",2,,1,4,4,1099,"1099",1078,1,,1,
107,107305,10730507,1073050702,3,2,1,4,57,"-","57",2,,2,3,4,74,"74",74,2,,1,
107,107305,10730507,1073050702,4,2,2,4,62,"-","66",1,"Error in counting",2,4,4,66,"66",66,2,,1,
107,107305,10730507,1073050702,5,3,1,4,57,"-","57",2,,3,3,4,64,"64",64,2,,1,
107,107305,10730507,1073050702,6,3,2,4,89,"-","92",1,"Error in counting",3,4,4,104,"104",104,2,,1,
108,108106,10810603,1081060309,1,1,1,4,1037,"1037","1049",1,"Missed names in register",1,3,4,897,"897",880,1,"Counted re-attendance",1,
108,108106,10810603,1081060309,2,1,2,4,1397,"1397","1455",1,"Missed names in register",1,4,4,1167,"1167",1213,1,"Missed some names",1,
108,108106,10810603,1081060309,3,2,1,4,14,"14","14",2,,2,3,4,17,"17",17,2,,1,
108,108106,10810603,1081060309,4,2,2,4,12,"15","15",2,,2,4,4,15,"15",15,1,,1,
108,108106,10810603,1081060309,5,3,1,4,25,"25","25",2,,3,3,4,52,"52",52,2,,1,
108,108106,10810603,1081060309,6,3,2,4,46,"46","46",2,,3,4,4,45,"45",45,2,,1,
108,108301,10830101,1083010101,1,1,1,4,1110,"-","1110",2,,1,3,4,1089,"-",1089,2,,1,
108,108301,10830101,1083010101,2,1,2,4,1463,"-","1463",2,,1,4,4,1200,"-",1180,1,,1,
108,108301,10830101,1083010101,3,2,1,4,29,"-","29",2,,2,3,4,16,"-",16,2,,1,
108,108301,10830101,1083010101,4,2,2,4,18,"-","18",2,,2,4,4,22,"-",22,2,,1,
108,108301,10830101,1083010101,5,3,1,4,37,"-","37",2,,3,3,4,44,"-",44,2,,1,
108,108301,10830101,1083010101,6,3,2,4,47,"-","47",2,,3,4,4,36,"-",36,2,,1,
108,108301,10830105,1083010505,1,1,1,4,1110,"-","1110",2,,1,3,4,1233,"-",1233,2,,1,
108,108301,10830105,1083010505,2,1,2,4,1463,"-","1463",2,,1,4,4,1313,"-",1313,2,,1,
108,108301,10830105,1083010505,3,2,1,4,29,"-","29",2,,2,3,4,34,"-",34,2,,1,
108,108301,10830105,1083010505,4,2,2,4,18,"-","18",2,,2,4,4,23,"-",23,2,,1,
108,108301,10830105,1083010505,5,3,1,4,37,"-","37",2,,3,3,4,55,"-",55,2,,1,
108,108301,10830105,1083010505,6,3,2,4,47,"-","47",2,,3,4,4,34,"-",34,2,,1,
108,108305,10830502,1083050204,1,1,1,4,992,"992","992",2,,1,3,4,798,"798",798,2,,1,
108,108305,10830502,1083050204,2,1,2,4,1058,"1058","1058",2,,1,4,4,1452,"1452",1452,2,,1,
108,108305,10830502,1083050204,3,2,1,4,32,"32","32",2,,2,3,4,40,"40",40,2,,1,
108,108305,10830502,1083050204,4,2,2,4,41,"41","41",2,,2,4,4,35,"35",35,2,,1,
108,108305,10830502,1083050204,5,3,1,4,43,"43","43",2,,3,3,4,55,"55",55,2,,1,
108,108305,10830502,1083050204,6,3,1,4,44,"44","44",2,,3,4,4,271,"271",271,2,,1,
110,110105,11010501,1101050107,1,1,1,4,197,"-","197",2,,1,3,4,277,"-",265,1,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,2,1,2,4,202,"-","187",1,"Double counting",1,4,4,217,"-",225,1,"Wrong tallying",3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,3,3,1,4,30,"-","30",2,,3,3,4,24,"-",24,2,,3,"Facility not open. Staff absenteeism."
110,110105,11010501,1101050107,4,3,2,4,18,"-","18",2,,3,4,4,19,"-",19,2,,3,"Facility not open. Staff absenteeism."
110,110203,11020306,1102030601,1,1,1,4,1267,"1267","1267",2,,1,3,4,1139,"1139",1139,2,,1,
110,110203,11020306,1102030601,2,1,2,4,1641,"1641","1641",2,,1,4,4,1335,"1335",1335,2,,1,
110,110203,11020306,1102030601,3,2,1,4,25,"25","25",2,,2,3,4,29,"29",29,2,,1,
110,110203,11020306,1102030601,4,2,2,4,31,"31","31",2,,2,4,4,27,"27",27,2,,1,
110,110203,11020306,1102030601,5,3,1,4,40,"40","40",2,,3,3,4,51,"51",51,2,,1,
110,110203,11020306,1102030601,6,3,2,4,55,"55","55",2,,3,4,4,29,"29",29,2,,1,
110,110204,11020401,1102040107,1,1,1,4,665,"-","673",1,"Poor record keeping",1,3,4,522,"-",542,2,"Miscont by staff",1,
110,110204,11020401,1102040107,2,1,2,4,707,"-","725",1,"Poor rtecording",1,4,4,374,"-",374,2,,1,
110,110204,11020401,1102040107,3,3,1,4,24,"-","24",2,,3,3,4,17,"-",17,2,,1,
110,110204,11020401,1102040107,4,3,2,4,18,"-","18",2,,3,4,4,19,"-",17,2,,1,
110,110206,11020603,1102060309,1,1,1,4,875,"875","875",2,,,,,,,,,,1,
110,110206,11020603,1102060309,2,1,2,4,1584,"1584","1584",2,,,,,,,,,,1,
110,110206,11020603,1102060309,3,2,1,4,20,"20","20",2,,,,,,,,,,1,
110,110206,11020603,1102060309,4,2,2,4,17,"17","17",2,,,,,,,,,,1,
110,110206,11020603,1102060309,5,3,1,4,10,"10","10",2,,,,,,,,,,1,
110,110206,11020603,1102060309,6,3,2,4,26,"26","26",2,,,,,,,,,,1,
110,110207,11020704,1102070403,1,1,1,4,10588,"-","1436",1,"Numbering from 1000 onwords was a problem.",1,3,4,518,"-",518,2,,1,
110,110207,11020704,1102070403,2,1,2,4,2319,"-","2451",1,"Miscount",1,4,4,899,"-",899,2,,1,
110,110207,11020704,1102070403,3,2,1,4,15,"-","15",2,,2,3,4,18,"-",18,2,,1,
110,110207,11020704,1102070403,4,2,2,4,20,"-","20",2,,2,4,4,21,"-",18,2,,1,
110,110207,11020704,1102070403,5,3,1,4,10,"-","10",2,,3,3,4,33,"-",18,2,,1,
110,110207,11020704,1102070403,6,3,2,4,16,"-","16",2,,3,4,4,21,"-",21,2,,1,
110,110305,11030501,1103050102,1,1,1,4,996,"996","996",2,,1,3,4,544,"544",544,2,,1,
110,110305,11030501,1103050102,2,1,2,4,987,"987","987",2,,1,4,4,707,"707",4707,2,,1,
110,110305,11030501,1103050102,3,2,1,4,5,"5","5",2,,2,3,4,4,"4",4,2,,1,
110,110305,11030501,1103050102,4,2,2,4,4,"4","4",2,,2,4,4,4,"4",4,2,,1,
110,110305,11030501,1103050102,5,3,1,4,0,"0","0",2,,3,3,4,24,"24",24,2,,1,
110,110305,11030501,1103050102,6,3,2,4,34,"34","34",2,,3,4,4,7,"7",7,2,,1,
110,110306,11030601,1103060102,1,1,1,4,1382,"1382","1382",2,,1,3,4,825,"825",825,2,,2,
110,110306,11030601,1103060102,2,1,2,4,1438,"1438","1438",2,,1,4,4,780,"780",780,2,,2,
110,110306,11030601,1103060102,3,2,1,4,0,"0","0",2,,2,3,4,1,"1",1,2,,2,
110,110306,11030601,1103060102,4,2,2,4,6,"6","6",2,,2,4,4,2,"2",2,2,,2,
110,110306,11030601,1103060102,5,3,1,4,0,"0","0",2,,3,3,4,1,"1",1,2,,2,
110,110306,11030601,1103060102,6,3,2,4,1,"1","1",2,,3,4,4,0,"0",0,2,,2,
111,111102,11110201,1111020105,1,1,1,4,1204,"1204","1204",2,,1,3,4,965,"965",965,2,,2,
111,111102,11110201,1111020105,2,1,2,4,1409,"1409","1409",2,,1,4,4,1292,"1292",1292,2,,2,
111,111102,11110201,1111020105,3,2,1,4,20,"20","20",2,,2,3,4,17,"17",17,2,,2,
111,111102,11110201,1111020105,4,2,2,4,11,"11","11",2,,2,4,4,15,"15",15,2,,2,
111,111102,11110201,1111020105,5,3,1,4,20,"20","20",2,,3,3,4,56,"56",56,2,,2,
111,111102,11110201,1111020105,6,3,2,4,11,"11","11",2,,3,4,4,8,"8",8,2,,2,
111,111202,11120204,1112020403,1,1,1,4,1591,"1591","1591",2,,,,,,,,,,1,
111,111202,11120204,1112020403,2,1,2,4,3525,"3525","3525",2,,,,,,,,,,1,
111,111202,11120204,1112020403,3,2,1,4,39,"39","39",2,,,,,,,,,,1,
111,111202,11120204,1112020403,4,2,2,4,40,"40","40",2,,,,,,,,,,1,
111,111202,11120204,1112020403,5,3,1,4,50,"50","50",2,,,,,,,,,,1,
111,111202,11120204,1112020403,6,3,2,4,82,"82","82",2,,,,,,,,,,1,
111,111202,11120206,1112020618,1,1,1,4,1591,"1591","1591",2,,1,3,4,1434,"1434",1434,2,,1,
111,111202,11120206,1112020618,2,1,2,4,3525,"3525","3525",2,,1,4,4,1893,"1893",1893,2,,1,
111,111202,11120206,1112020618,3,2,1,4,39,"39","39",2,,2,3,4,24,"24",24,2,,1,
111,111202,11120206,1112020618,4,2,2,4,40,"40","40",2,,2,4,4,24,"24",24,2,,1,
111,111202,11120206,1112020618,5,3,1,4,50,"50","50",2,,3,3,4,142,"142",142,2,,1,
111,111202,11120206,1112020618,6,3,2,4,82,"82","82",2,,3,4,4,115,"115",115,2,,1,
112,112102,11210203,1121020302,1,1,1,4,1489,"1489","1489",2,,1,3,4,1224,"1224",1224,2,,1,
112,112102,11210203,1121020302,2,1,2,4,1762,"1762","1762",2,,1,4,4,1654,"1654",1654,2,,1,
112,112102,11210203,1121020302,3,2,1,4,22,"22","22",2,,2,3,4,17,"17",17,2,,1,
112,112102,11210203,1121020302,4,2,2,4,21,"21","21",2,,2,4,4,15,"15",15,2,,1,
112,112102,11210203,1121020302,5,3,1,4,56,"56","56",2,,3,3,4,39,"39",39,2,,1,
112,112102,11210203,1121020302,6,3,2,4,61,"61","61",2,,3,4,4,77,"77",77,2,,1,
112,112104,11210402,1121040209,1,1,1,4,1748,"1748","1748",2,,1,3,4,1988,"1988",1988,2,,1,
112,112104,11210402,1121040209,2,1,2,4,1764,"1764","1764",2,,1,4,4,1617,"1617",1617,2,,1,
112,112104,11210402,1121040209,3,2,1,4,26,"26","26",2,,2,3,4,36,"36",36,2,,1,
112,112104,11210402,1121040209,4,2,2,4,26,"26","26",2,,2,4,4,28,"28",28,2,,1,
112,112104,11210402,1121040209,5,3,1,4,103,"103","103",2,,3,3,4,81,"81",81,2,,1,
112,112104,11210402,1121040209,6,3,2,4,62,"62","62",2,,3,4,4,90,"90",90,2,,1,
112,112203,11220301,1122030104,1,1,1,4,837,"-","837",2,,1,3,4,1271,"-",1266,1,,1,
112,112203,11220301,1122030104,2,1,2,4,1092,"-","1092",2,,1,4,4,1340,"-",1340,2,,1,
112,112203,11220301,1122030104,3,3,1,4,20,"-","20",2,,3,3,4,27,"-",27,2,,1,
112,112203,11220301,1122030104,4,3,2,4,23,"-","23",2,,3,4,4,24,"-",24,2,,1,
112,112204,11220403,1122040303,,,,,,,,,,,,,,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
113,113105,11310504,1131050402,1,1,1,4,485,"-","4875",1,"Missed some names in the register",1,3,4,399,"-",407,1,"Missed some names",1,
113,113105,11310504,1131050402,2,1,2,4,434,"-","431",1,"Miscount",1,4,4,548,"-",548,2,,1,
113,113105,11310504,1131050402,3,3,1,4,17,"-","17",2,,2,3,4,4,"-",4,2,,1,
113,113105,11310504,1131050402,4,3,2,4,13,"-","13",2,,2,4,4,3,"-",3,2,,1,
113,113105,11310504,1131050402,5,2,1,4,8,"-","8",2,,3,3,4,22,"-",22,2,,1,
113,113105,11310504,1131050402,6,2,2,4,6,"-","6",2,,3,4,4,27,"-",27,2,,1,
113,113105,11310505,1131050505,1,1,1,4,3389,"3389","3389",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,2,1,2,4,2902,"2902","2902",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,3,2,1,4,187,"187","187",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,4,2,2,4,153,"153","153",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,5,3,1,4,1648,"1648","1648",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113105,11310505,1131050505,6,3,2,4,497,"497","497",2,,,,,,,,,,3,"The community members mainly go to Entebbe hospital"
113,113111,11311102,1131110205,1,1,1,4,356,"-","356",2,,1,3,4,455,"-",464,1,,1,
113,113111,11311102,1131110205,2,1,2,4,615,"-","356",1,"Miscount",1,4,4,611,"-",611,2,,1,
113,113111,11311102,1131110205,3,3,1,4,59,"-","59",2,,3,3,5,34,"-",34,2,,1,
113,113111,11311102,1131110205,4,3,2,4,58,"-","52",1,"Miscount",3,4,5,63,"-",63,2,,1,
