"District_Name","SubCounty","Parish","Villagecode","C4BQ16","C4BQ17","C4BQ18","C4BQ19","C4BQ20","C4BQ21","C4BQ22","C4BQ23","C4BQ24","C4BQ25","C4BQ26","C4BQ27","C4BQ28","C4BQ29","C4BQ30","C4BQ31","C4BQ32","C4BQ33","C4BQ34","C4BQ35","C4BQ36","C4BQ37","C4BQ38","C4BQ39","C4BQ40","C4BQ41","C4BQ42","C4BQ43","C4BQ44","Health_Response","Reason_Health_Not_Done"
112,112104,11210402,1121040209,4,1,2,2,2,2,2,,2,2,14,13,1,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,
112,112203,11220301,1122030104,2,3,,2,1,2,2,,2,2,6,6,3,2,3,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,
112,112204,11220403,1122040303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
113,113105,11310504,1131050402,0,3,,2,2,2,2,,2,2,15,12,0,2,3,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,
113,113105,11310505,1131050505,6,1,0,2,2,1,,,2,2,2,2,0.0500000007450581,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,"The community members mainly go to Entebbe hospital"
113,113111,11311102,1131110205,0,1,3,2,2,2,2,,2,2,0.400000005960464,6,0.400000005960464,2,3,3,2,2,1,1,2,2,1,2,2,2,1,1,2,1,
113,113112,11311203,1131120307,8,1,0,2,2,2,1,8,2,2,5,20,0.5,2,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
113,113113,11311302,1131130204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Hospital Level"
113,113113,11311306,1131130602,4,1,4,1,2,2,2,,2,2,2,12,0,1,3,3,1,2,2,1,1,1,1,1,2,2,1,1,1,1,
113,113303,11330301,1133030101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113303,11330301,1133030109,4,1,1,2,2,2,2,,2,2,1,11,0.699999988079071,2,3,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,
113,113303,11330305,1133030504,4,1,2,2,2,2,2,,2,2,1.5,9,0.5,2,3,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,
113,113304,11330403,1133040308,2,1,0,1,2,,,,,,,,,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,3,"THE ONE RESPONSIBLE FOR ANSWERING WASNT PRESENT. WILL DO IT NEXT VISIT"
113,113306,11330606,1133060601,14,1,0,1,1,2,2,,2,2,4,8,1,1,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,"INCHARGE NEEDED AN INTRODUCTORY LETTER FROM THE DISTRICT HEALTH OFFFICER"
113,113307,11330701,1133070102,0,1,3,2,2,2,2,,2,2,0.400000005960464,7,0.100000001490116,2,3,3,2,2,1,1,2,2,1,2,2,2,1,1,2,1,
115,115103,11510302,1151030204,8,1,4,2,1,1,,,2,2,19,0,0.200000002980232,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
115,115104,11510403,1151040307,7,3,,2,1,2,1,12,2,2,19.2000007629395,19.2000007629395,4,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,
115,115202,11520209,1152020907,8,3,,2,1,2,2,,2,2,11,11,2,2,3,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,
115,115203,11520307,1152030702,3,3,,1,1,2,1,12,2,2,28.7999992370605,28.7999992370605,0,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,
115,115205,11520504,1152050405,2,1,2,2,2,2,1,4.5,2,2,3,5,1.5,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,
115,115207,11520703,1152070306,0,3,,2,1,2,2,,2,2,21,21,1.5,2,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,
116,116102,11610205,1161020501,2,1,6,2,1,2,2,,1,1,28.7999992370605,8,0.25,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,
117,117103,11710308,1171030802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Refferal Hospital"
117,117104,11710405,1171040504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Refferal hospital"
117,117110,11711003,1171100309,2,3,,2,1,2,2,,2,2,15,12,3,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,
117,117110,11711003,1171100312,1,3,,2,2,2,2,,2,2,17,15,0.25,2,3,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,
118,118101,11810104,1181010407,1,1,1,2,2,2,2,,2,2,43.2000007629395,9.60000038146973,3,1,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
119,119103,11910303,1191030304,5,1,7,2,2,2,1,28,2,2,17,28,7,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
120,120105,12010502,1201050202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not there. Go to mainland at different locations"
122,122102,12210206,1221020604,15,1,4,2,1,2,1,12,2,2,18,12,0.800000011920929,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
122,122105,12210502,1221050203,1,1,0,2,2,2,1,2,2,2,0.5,30,0,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,
122,122106,12210602,1221060206,4,3,,2,1,2,2,,2,2,20,40,4,2,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
123,123108,12310803,1231080303,17,1,7,1,1,2,2,,2,2,23,24,0,1,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
124,124101,12410106,1241010603,4,1,3,2,2,2,2,,2,2,16,16,0.300000011920929,1,3,2,1,1,1,1,1,2,1,2,2,2,1,1,2,1,
124,124103,12410302,1241030216,1,3,,2,2,2,2,,2,2,12,12,0.600000023841858,2,3,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,
124,124104,12410401,1241040102,4,1,3,1,1,1,,,2,2,0.5,0,0.200000002980232,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
124,124107,12410701,1241070106,0,3,,2,2,2,2,,2,2,2,16,0.300000011920929,2,3,3,2,2,2,1,2,2,2,2,2,2,2,1,2,1,
124,124108,12410802,1241080210,0,1,3,1,1,1,,,1,2,45,35,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,
201,201106,20110602,2011060205,5,3,,2,1,2,2,,2,2,7,10,0.100000001490116,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
201,201106,20110602,2011060205,5,3,,2,1,2,2,,2,2,7,10,0.100000001490116,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
201,201110,20111009,2011100902,0,3,,2,2,2,1,15,2,2,15,15,0.200000002980232,1,3,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,
203,203202,20320203,2032020304,6,1,2,2,1,1,,,2,2,0.100000001490116,2,0,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,
203,203301,20330101,2033010101,1,3,,2,2,2,2,,2,2,5,5,0.200000002980232,2,3,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,
203,203303,20330304,2033030403,2,3,,2,1,2,2,,2,2,0,2,1,2,3,2,2,2,2,2,2,1,1,1,1,2,1,1,2,3,"Main facility is a Hospital"
204,204101,20410103,2041010302,9,1,0,1,1,1,,,2,2,7,0,0,1,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,,
204,204102,20410204,2041020405,6,1,1,2,1,2,2,,2,2,30,1,0,1,3,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,
204,204203,20420301,2042030105,0,1,2,2,2,2,1,1,2,2,3,1,0.5,2,3,2,2,2,2,1,2,2,1,1,2,2,1,1,2,,
204,204301,20430101,2043010103,12,1,1,1,1,1,,,2,2,9,0,0.100000001490116,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,
204,204301,20430102,2043010202,2,3,,2,2,2,2,,2,2,10,3,1,2,,,2,2,1,1,2,1,1,1,2,2,1,1,2,,
204,204302,20430205,2043020514,3,1,1,2,1,2,2,,2,2,25,7,1,2,3,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,
205,205104,20510401,2051040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"they use a gov''t hospital (kamuli hospital)"
207,207103,20710301,2071030105,0,3,,2,1,2,1,6,2,2,35,18,0.400000005960464,2,3,3,2,2,2,2,2,2,2,2,1,1,2,1,2,1,
208,208102,20810214,2081021402,0,3,,2,2,2,2,,2,2,10,10,5,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,2,1,
208,208102,20810214,2081021402,0,3,,2,2,2,2,,2,2,10,10,5,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,2,1,
208,208104,20810404,2081040401,17,1,3,2,2,2,2,,2,2,0.400000005960464,0.600000023841858,1,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,
208,208107,20810713,2081071301,3,3,,2,1,2,1,7,2,2,7,13,0.00999999977648258,2,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,
209,209201,20920101,2092010105,0,1,3,2,2,2,2,,2,2,2,2,0.300000011920929,2,3,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,
209,209201,20920104,2092010401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"weekend"
210,210205,21020504,2102050401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"staff gone on outreach"
210,210205,21020504,2102050401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
210,210205,21020504,2102050401,4,3,,2,1,2,2,,2,2,15,15,0.300000011920929,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,
210,210205,21020504,2102050401,4,3,,2,1,2,2,,2,2,15,15,0.300000011920929,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,"staff gone on outreach"
211,211101,21110105,2111010504,0,3,,2,2,2,1,12,2,2,12,12,0.5,2,3,3,2,2,1,1,2,2,1,1,1,2,2,1,2,1,
211,211103,21110303,2111030302,0,3,,2,1,2,1,12,2,2,12,12,2,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,2,1,
211,211106,21110603,2111060303,0,3,,2,2,2,2,,2,2,1,1,0.5,2,3,3,2,2,1,1,2,2,2,2,1,2,2,1,2,1,
212,212104,21210403,2121040306,2,3,,2,2,2,2,,2,2,20,13,0.300000011920929,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,
212,212105,21210504,2121050407,5,1,2,2,2,2,2,,2,2,15,8,0.200000002980232,2,3,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,
212,212202,21220201,2122020101,0,3,,2,1,2,2,,2,2,3,3,2,2,3,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,
212,212305,21230502,2123050204,5,1,4,2,1,1,,,2,2,25,25,0.200000002980232,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
212,212311,21231101,2123110101,0,3,,2,1,2,1,8,2,2,8,6,3,2,3,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,
214,214101,21410104,2141010403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"They use a hospital called buloba st. francis hospital"
214,214101,21410106,2141010604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"it''s a gorvenment hospital (st francis buluba hospital)"
214,214102,21410202,2141020206,1,3,,2,1,2,2,,2,2,30,5,0,1,3,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,
214,214108,21410801,2141080105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,214113,21411301,2141130103,2,3,,2,2,2,2,,2,2,20,21,7,2,3,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,
214,214113,21411303,2141130307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
214,214113,21411303,2141130307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,214113,21411303,2141130307,5,1,0,2,2,2,2,,2,2,20,5,0.100000001490116,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
214,214113,21411303,2141130307,5,1,0,2,2,2,2,,2,2,20,5,0.100000001490116,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,,
215,215109,21510902,2151090208,1,3,,2,2,2,2,,2,2,26,8,2,2,3,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,
215,215115,21511502,2151150202,83,3,,2,1,2,2,,2,2,20,17,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
215,215120,21512002,2151200204,1,1,3,2,2,2,2,,2,2,1,10,1,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,
216,216202,21620203,2162020306,14,3,,2,1,2,2,,2,2,46,17,0.5,2,3,3,2,1,1,2,1,1,1,2,2,2,1,1,2,1,
216,216202,21620203,2162020306,14,3,,2,1,2,2,,2,2,46,17,0.5,2,3,3,2,1,1,2,1,1,1,2,2,2,1,1,2,1,
218,218103,21810302,2181030213,0,3,,2,2,2,2,,2,2,40,5,0.100000001490116,2,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,
218,218115,21811504,2181150401,5,1,4,2,1,1,,,2,2,45,7,0.200000002980232,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,
219,219103,21910313,2191031301,3,1,2,2,1,2,1,10,2,2,17,10,1,1,3,3,1,2,2,1,1,1,1,2,1,2,1,1,1,1,
219,219103,21910317,2191031702,3,1,3,2,1,2,1,10,2,2,17,10,1,1,3,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,
219,219103,21910317,2191031702,3,1,3,2,1,2,1,10,2,2,17,10,1,1,3,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,
221,221109,22110902,2211090203,4,1,4,1,1,2,2,,2,2,15,15,0.300000011920929,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
221,221109,22110905,2211090505,0,3,,2,2,2,2,,2,2,15,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,
222,222106,22210602,2221060201,4,3,,2,2,2,1,30,2,2,60,15,0,1,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,
223,223108,22310805,2231080506,0,3,,2,2,2,2,,2,2,30,6,0.200000002980232,2,3,3,2,2,1,1,2,2,1,2,2,2,1,1,2,1,
223,223120,22312002,2231200204,4,3,,2,2,2,2,,2,2,55,5,2,2,3,3,1,2,1,1,2,1,2,2,2,2,1,1,2,2,
223,223121,22312101,2231210104,10,3,,2,1,1,,,2,2,35,6,0.200000002980232,2,3,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,
223,223121,22312101,2231210105,16,1,3,1,1,1,,,2,2,55,29,0.5,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,
223,223121,22312103,2231210302,16,1,3,1,1,1,,,2,2,55,29,0.5,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
223,223126,22312601,2231260115,4,3,,2,1,2,2,,2,2,30,18,0.5,2,3,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,
223,223128,22312801,2231280102,6,3,,2,1,2,2,,2,2,25,10,0.5,2,3,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,
224,224105,22410505,2241050511,0,3,,2,2,2,2,,2,2,30,8,0.100000001490116,2,3,2,2,2,1,1,2,2,1,1,2,2,2,1,2,,
225,225103,22510304,2251030415,1,3,,2,2,2,2,,2,2,10,10,0.100000001490116,2,3,2,1,2,1,1,1,2,1,2,2,2,2,1,2,1,
225,225111,22511103,2251110322,10,3,,2,1,2,2,,2,2,30,30,0.200000002980232,2,3,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,
226,226101,22610101,2261010102,3,3,,2,1,2,2,,2,2,25,7,1,2,3,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,
226,226103,22610302,2261030205,5,3,,2,1,2,2,,2,2,35,0.100000001490116,0.300000011920929,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,
226,226103,22610303,2261030301,1,3,,2,2,2,2,,2,2,35,15,0,2,3,2,2,2,1,1,2,1,1,2,2,2,1,1,1,,
226,226104,22610405,2261040510,2,3,,2,2,2,2,,2,2,49,30,0.5,2,3,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,
228,228102,22810203,2281020304,8,1,3,2,2,2,2,,2,2,14,16,0.5,2,3,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,
230,230107,23010709,2301070905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,232101,23210104,2321010406,5,3,,2,1,1,,,2,2,30,0,0.5,1,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,
232,232203,23220304,2322030405,9,1,7,2,1,2,1,30,2,2,35,35,0.5,1,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
302,302101,30210102,3021010215,0,3,,2,2,2,2,,2,2,23,15,2,2,3,2,2,2,1,1,2,2,1,2,1,2,2,2,2,,
302,302201,30220105,3022010508,12,3,,2,1,1,,,2,2,26,27,0.100000001490116,2,3,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,
302,302201,30220107,3022010708,4,3,,2,1,2,2,,2,2,50,50,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,
302,302203,30220302,3022030205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,302204,30220405,3022040505,1,3,,2,1,2,2,,2,2,12.8000001907349,12.8000001907349,0.100000001490116,2,3,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,
302,302205,30220505,3022050502,6,1,1,2,1,2,2,,2,2,20.7999992370605,20.7999992370605,0.200000002980232,2,3,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,
303,303201,30320102,3032010205,8,3,,1,1,1,,,2,2,15,0,5,1,3,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,
303,303202,30320207,3032020706,9,3,,2,1,2,2,,2,2,11,11,2,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,
303,303204,30320405,3032040506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"The Community uses the Referal Hospital"
303,303402,30340204,3034020408,0,3,,2,2,2,2,,2,2,42,42,6,2,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,
303,303404,30340401,3034040102,16,3,,2,1,1,,,2,2,45,0,0.100000001490116,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
303,303404,30340403,3034040304,16,3,,2,1,1,,,2,2,45,0,0.100000001490116,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
303,303405,30340507,3034050711,5,3,,2,1,2,1,3,2,2,42,3,0.5,2,3,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,
303,303503,30350304,3035030411,0,3,,2,1,2,1,36.7999992370605,2,2,56,36.7999992370605,0.200000002980232,2,3,2,2,2,1,1,2,1,1,2,2,1,1,1,2,,
